January,February,March,April,May,June,July,August,September,October,November,December
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
13051.4412,26425.02482,26317.42436,26515.43106,27680.78036,13867.49131,15844.13384,15408.83012,15546.09732,13906.38192,13043.25005,13318.59425
26992.2637,54840.32232,54368.31808,55127.07004,58343.0752,29021.68884,34305.6488,32766.76696,33208.50828,29019.27218,27328.01218,27542.39866
90067.95408,183059.1113,180978.3526,184844.0547,198043.4412,98173.59136,119482.4552,113184.6228,115062.2516,97978.51869,92025.2229,91338.35997
141842.7433,286740.5406,282437.1018,289564.7756,313999.739,154731.6068,193048.615,182402.8617,186926.3561,154317.4763,145254.6284,141986.2203
142971.253,287611.892,283465.372,291846.4104,320978.1058,156500.0542,200250.4949,188657.7823,195371.9308,156097.648,147210.2334,141707.1246
142655.9725,285956.305,283581.5854,293960.104,328111.4948,158563.9732,207610.6119,196283.2129,204585.8604,157390.1509,147454.1293,140580.2286
142409.3476,284521.6732,282222.1312,293768.7346,332449.1912,159953.6574,213641.9251,203032.8228,212327.0684,157195.4176,147244.648,139523.9731
141272.1437,281712.5734,279074.5538,291492.1316,334117.2478,160413.4266,217693.7204,207550.1829,217351.2394,157001.4231,145981.9984,137809.9444
125831.0381,250783.9488,247850.9102,259456.5371,298761.5599,143181.1759,196257.2769,187028.1785,195237.7822,139371.9822,129610.0378,123426.8627
126687.0628,250162.9891,245173.2122,255602.0738,292422.5332,140281.4631,191468.9715,182086.6747,188381.4289,136208.3077,129731.3452,128489.7519
137816.5637,262918.8824,247551.7063,252813.42,282921.9167,136854.8627,183253.2804,173410.7258,178261.5983,140136.2153,139589.659,143126.6153
78204.7533,155182.7274,148692.3493,147311.5466,155578.0148,75449.0309,96967.2459,92778.36115,98860.226,80135.71335,77251.7518,80221.89395
15364.80073,30638.36582,29769.85146,30257.7541,32132.57422,15785.48956,19349.10479,18867.05595,19335.47217,15639.432,15076.15089,15822.60328
14900.21114,29730.00146,28449.96122,28762.24442,30851.55776,15477.22704,18716.7518,18042.21891,18189.92023,14866.67384,14546.99011,15443.64031
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
