Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6/1/2017,42,3.64,0.04,0.04,0.04,0.05,0.03,0.04,6.45,8.03,12.84,13.25,1.23,2.04,1.25,1.63,6.44,0.85,0.03,0.04,2.45,9.23,8.44,7.65,0.03
6/2/2017,42,0.04,0.04,0.04,0.04,0.05,0.03,0.04,3.65,2.83,3.24,3.25,0.03,0.04,3.65,2.43,3.64,2.45,3.63,5.24,0.05,0.03,0.04,0.05,1.63
6/3/2017,42,3.24,1.24,0.04,0.44,0.05,0.03,1.64,7.65,4.03,5.64,5.65,2.82,7.15,7.71,5.41,7.02,7.15,0.03,0.04,8.05,4.43,1.64,0.05,0.03
6/4/2017,42,3.64,2.04,0.44,0.44,0.45,0.03,0.22,3.94,0.83,2.84,0.05,0.03,0.04,0.05,0.02,0.04,0.05,0.03,0.04,6.05,9.63,6.04,0.05,0.03
6/5/2017,42,0.04,0.04,0.04,0.04,0.05,0.03,0.85,4.84,8.03,9.24,5.65,0.83,2.84,7.65,3.23,3.24,8.45,0.03,0.04,7.25,4.83,6.44,2.45,0.03
6/6/2017,42,0.04,0.04,0.04,0.04,0.05,0.03,0.04,3.25,6.83,9.64,10.45,2.03,3.24,6.85,9.23,12.84,21.25,11.63,12.84,8.05,0.03,0.04,0.05,0.03
6/7/2017,42,0.04,0.04,0.04,0.04,0.05,0.03,0.04,12.21,7.01,8.77,12.85,2.83,4.44,8.45,5.63,3.24,0.05,0.02,0.05,0.05,1.23,6.44,8.05,4.43
6/8/2017,42,4.44,0.04,0.04,0.04,0.05,1.63,7.24,6.45,8.83,12.44,14.05,5.23,9.24,6.85,2.43,2.44,0.05,0.03,4.84,4.85,1.23,4.84,8.05,4.83
6/9/2017,42,6.84,5.64,2.04,0.44,0.05,0.03,1.24,7.65,5.23,5.24,10.45,4.83,3.24,2.45,0.03,0.04,0.05,3.23,9.24,8.05,4.83,0.44,0.05,0.43
6/10/2017,42,3.24,2.04,0.04,0.04,0.05,0.03,0.04,0.05,0.03,0.04,0.05,0.03,1.64,4.45,2.43,3.64,5.25,2.83,3.64,5.25,4.43,6.44,1.25,0.03
6/11/2017,42,0.04,0.04,0.04,0.04,0.05,0.03,0.04,0.05,0.03,3.6,7.68,8.61,14.94,15.29,10.21,12.03,0.05,0.03,0.04,0.45,4.83,6.04,1.25,0.03
6/12/2017,42,3.24,0.85,0.04,0.04,0.05,0.03,0.04,11.25,11.63,11.64,8.85,2.03,2.04,0.05,0.03,0.04,0.84,0.03,0.04,0.05,4.03,6.45,7.65,1.23
6/13/2017,42,3.24,2.44,0.04,0.04,0.05,0.03,2.04,12.05,7.23,8.84,4.85,0.03,7.64,4.85,4.43,6.04,9.64,4.83,2.84,0.05,0.03,0.04,0.05,1.23
6/14/2017,42,1.64,0.05,0.04,0.04,0.05,2.03,8.84,17.25,12.83,10.84,11.24,1.63,0.04,0.05,0.03,0.04,7.25,3.23,4.84,0.85,1.23,6.44,13.65,2.03
6/15/2017,42,0.04,0.04,0.04,0.04,0.05,0.03,0.84,18.45,7.63,13.64,14.05,3.23,4.04,10.25,9.07,10.17,16.76,9.88,7.71,8.45,0.43,0.04,0.05,0.03
6/16/2017,42,0.04,0.04,0.04,0.04,0.05,0.03,0.04,9.54,10.06,8.6,6.36,0.19,0.05,0.4,3.12,8.85,9.53,5.65,4.24,0.07,0.05,0.06,0.08,0.04
6/17/2017,42,0.86,6.46,6.47,6.46,8.07,3.25,2.47,7.68,8.72,12.08,13.06,4.05,0.07,3.28,0.06,4.4,7.84,6.94,2.4,0.08,0.04,0.06,2.08,0.05
6/18/2017,42,1.26,2.46,0.06,0.06,0.09,0.05,0.06,0.07,0.05,0.07,0.08,0.05,4.06,7.69,4.44,2.07,0.88,4.45,6.46,1.68,3.65,4.86,0.07,0.05
6/19/2017,42,0.06,0.06,0.07,0.06,2.47,4.45,4.87,11.67,7.25,10.06,3.29,1.24,10.07,16.88,14.45,12.87,2.08,0.05,0.06,5.28,4.84,1.67,0.07,0.05
6/20/2017,42,2.86,0.06,0.06,0.06,4.48,4.85,6.07,3.28,1.24,9.66,11.28,2.85,3.27,4.48,2.05,0.07,4.08,4.85,12.46,11.28,4.85,8.46,8.48,2.84
6/21/2017,42,0.87,0.06,0.06,0.06,0.08,0.05,0.07,14.48,10.44,12.46,14.89,8.45,7.66,16.89,9.65,5.26,0.88,2.85,3.27,2.08,0.04,0.07,0.07,0.05
6/22/2017,42,4.06,0.46,0.47,0.46,0.08,0.05,0.06,6.89,2.85,3.26,3.28,3.64,12.47,11.68,9.65,2.47,2.48,3.25,2.47,1.68,0.84,0.06,0.08,0.05
6/23/2017,42,0.06,0.06,0.07,0.06,0.08,0.05,0.06,10.88,7.65,8.87,2.88,0.05,1.27,1.68,2.05,10.07,3.68,2.45,3.25,10.88,4.45,0.06,0.09,0.04
6/24/2017,42,0.07,0.06,0.06,0.06,0.08,0.05,0.07,0.08,0.45,4.07,3.67,0.05,0.06,4.49,0.05,0.06,0.09,3.64,7.67,8.08,7.24,5.27,0.47,3.25
6/25/2017,42,5.66,3.66,0.47,0.46,0.48,0.05,0.06,0.09,2.85,5.26,9.28,6.04,3.27,12.48,5.65,3.67,0.08,1.25,3.27,2.48,0.04,0.07,2.87,2.85
6/26/2017,42,9.26,6.86,0.47,0.06,0.48,0.45,0.06,16.87,13.25,10.47,8.48,0.45,0.07,0.88,1.65,5.27,11.28,2.05,6.46,8.08,8.45,8.86,0.88,0.84
6/27/2017,42,3.27,3.26,3.26,3.26,10.88,0.05,0.47,5.68,2.44,6.87,8.08,3.65,7.66,13.69,7.25,10.06,20.08,7.65,10.87,8.08,2.44,3.27,0.07,0.05
6/28/2017,42,0.06,0.06,0.07,0.06,0.88,4.85,6.46,14.49,6.05,4.46,13.29,7.25,4.06,4.87,4.05,14.87,22.08,12.05,5.27,0.48,0.04,2.06,8.08,5.65
6/29/2017,42,7.26,6.46,0.06,0.07,0.08,0.04,4.07,15.68,10.85,10.47,14.48,12.05,16.07,13.28,6.45,3.66,4.09,4.85,0.06,7.68,4.85,6.46,2.88,0.04
6/30/2017,42,0.07,0.06,0.06,0.06,0.08,0.05,0.06,2.09,2.45,3.26,11.72,4.87,10.49,21.3,6.07,6.09,10.51,3.65,3.53,8.02,2.91,2.5,1.29,0.07
7/1/2017,99,3.46,3.48,3.06,0.22,0.29,0.17,0.21,1.5,3.15,4.6,0.26,0.18,0.22,1.49,6.16,9.82,19.89,8.57,0.63,0.27,0.18,2.62,5.08,1.36
7/2/2017,99,0.23,0.22,0.23,0.22,0.28,0.18,0.22,1.48,0.17,1.02,7.89,2.95,0.23,0.28,0.17,0.23,0.27,3.38,3.81,15.48,9.36,12.22,1.89,0.16
7/3/2017,99,1.85,3.42,1.02,0.22,3.87,5.68,6.92,25.53,16.03,11.17,5.91,0.17,6.85,18.84,18.77,17.47,14.63,5.43,2.51,11.03,7.33,7.38,9.88,8.56
7/4/2017,99,3.03,0.62,0.62,0.23,0.27,0.17,0.23,1.47,0.17,0.23,2.23,4.87,7.72,13.24,4.67,5.47,5.86,4.96,7.02,1.48,0.18,1.02,6.67,0.17
7/5/2017,99,0.23,0.21,0.22,0.23,0.29,0.17,0.63,11.4,9.56,11.02,23.08,10.96,5.82,5.25,11.66,13.6,13.88,13.34,18.58,11.41,7.27,6.77,8.28,4.17
7/6/2017,99,3.43,2.22,1.42,0.62,0.27,0.57,0.23,5.22,9.46,13.9,10.2,4.97,13.82,27.48,16.56,5.83,1.88,0.17,2.35,9.37,10.52,10.13,6.23,4.56
7/7/2017,99,6.22,3.03,0.22,0.23,0.27,0.16,0.23,10.86,10.05,12.85,9.95,8.05,13.88,17.49,9.17,11.11,6.2,6.58,9.02,12.28,4.56,0.22,4.28,4.96
7/8/2017,99,1.03,0.21,0.22,0.22,0.29,0.16,0.23,2.28,4.16,4.23,8.28,2.56,0.21,13.49,9.34,10.22,7.88,4.98,2.62,4.66,2.58,3.01,0.69,1.36
7/9/2017,99,3.42,1.83,0.22,0.22,0.28,0.17,1.44,9.48,9.36,6.22,3.49,0.17,0.22,4.04,5.37,9.03,5.08,0.18,2.63,14.68,10.56,6.22,6.29,4.57
7/10/2017,99,6.62,6.22,0.23,0.22,0.26,0.17,2.99,18.17,15.55,20.44,18.07,2.74,5.45,14.73,13.2,11.6,11.17,3.93,1.43,9.88,12.57,15.02,3.48,0.15
7/11/2017,99,2.62,3.43,2.22,0.62,0.28,0.17,1.38,6.66,7.35,11.79,24.26,12.16,15.53,20.06,6.55,5.83,2.69,0.17,1.81,13.48,7.37,5.81,0.28,0.17
7/12/2017,99,0.22,0.22,0.22,0.21,0.29,0.16,6.54,32.43,16.69,17.94,13.5,9.62,10.67,7.26,0.47,4.23,7.08,0.18,2.23,12.67,13.77,8.22,0.28,0.97
7/13/2017,99,3.42,2.62,1.42,4.23,5.07,4.57,6.23,12.52,10,17.63,12.92,0.54,12.42,35.52,13,11.85,6.28,1.78,6.22,11.07,9.36,9.82,2.68,0.17
7/14/2017,99,0.23,0.21,0.22,0.22,0.29,0.18,1.02,8.57,6.18,5.44,5.13,5.75,9.35,14.39,5.02,12.4,12.67,5.77,15.04,15.88,8.56,0.62,0.27,0.18
7/15/2017,99,0.22,0.22,0.22,0.23,0.27,0.17,0.24,1.47,0.17,0.23,4.69,4.96,6.24,12.28,3.37,4.23,7.09,0.18,1.02,6.29,0.16,0.22,0.29,0.16
7/16/2017,99,0.23,0.23,0.22,0.23,0.29,0.18,0.22,1.49,0.17,0.22,3.1,0.17,0.23,0.28,1.38,9.83,15.89,7.77,3.44,9.47,3.37,10.61,4.29,0.16
7/17/2017,99,0.22,0.21,0.22,0.24,0.26,0.17,3.6,26.87,16.8,18.92,16.16,5,2.31,3.04,4.93,11.74,10.7,4.58,1.01,2.68,9.36,12.63,3.47,1.37
7/18/2017,99,3.42,1.82,0.63,3.81,3.09,0.16,2.18,25.12,19.59,28.81,28.41,11.9,8.71,13.47,11.47,12.99,9.47,9.37,10.63,9.87,3.77,8.62,11.48,0.57
7/19/2017,99,0.23,0.22,2.22,4.23,2.65,0.15,1.37,17,14.31,17.67,26.24,6.97,21.4,23.37,18.52,13.98,9.62,6.81,9.44,12.67,12.17,21.26,14.51,5.91
7/20/2017,99,6.03,1.33,1.03,0.21,0.28,0.17,5.03,24.46,19.84,21.08,17.88,7.38,25.14,24.82,15.48,7.46,1.48,2.98,5.44,17.07,9.77,9.01,12.28,4.97
