Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,14.163756521739131,8.050340245261985,0.05,0,0,-0.1414136231957761,6.911912463220715,0,6.911912463220715,-1.13842778204127,877.8,0,6.911912463220715,4.576
2,0.05,SOP,0,12.112826086956522,6.884640468227425,0.05,0,0,-0.14402511013623842,5.893079366542566,0,5.893079366542566,-0.9915611016848587,877.8,0,5.893079366542566,4.582
3,0.05,SOP,0,10.11785652173913,5.750747510219249,0.05,0,0,-0.14651391014144421,4.908183006260852,0,4.908183006260852,-0.8425645039583971,877.8,0,4.908183006260852,4.604
4,0.05,SOP,0,8.128991304347826,4.620324117428465,0.05,0,0,-0.14948247889007799,3.929666615079647,0,3.929666615079647,-0.6906575023488184,877.8,0,3.929666615079647,4.586
5,0.05,SOP,0,14.23755652173913,8.092286399108138,0.05,0,0,-0.15369322010192266,6.848556844442216,0,6.848556844442216,-1.2437295546659222,877.8,0,6.848556844442216,7.062
6,0.05,SOP,0,14.354665217391304,8.15884817911557,0.05,0,0,-0.16055590338710227,6.848896939119455,0,6.848896939119455,-1.3099512399961144,877.8,0,6.848896939119455,17.468
7,0.05,SOP,0,40.401317391304346,22.963141936083236,0.05,0,0,-0.17343091599944632,18.980623195883023,0,18.980623195883023,-3.982518740200213,877.8,0,18.980623195883023,37.484
8,0.05,SOP,0,115.26848260869565,65.51584695280565,0.05,0,0,-0.2028643939686308,52.22501436538317,0,52.22501436538317,-13.290832587422479,877.8,0,52.22501436538317,84.304
9,0.12,OP,0,81.46103913043478,46.30050514678558,0.12,0,0,0.34338814297280795,62.19954962784322,0,62.19954962784322,15.899044481057636,877.8,1657,62.19954962784322,114.936
10,0.12,OP,0,97.01972173913043,55.14368799702712,0.12,0,0,0.3562880433039023,74.7907246940488,0,74.7907246940488,19.647036697021683,877.8,10392,74.7907246940488,96.658
11,0.12,OP,0,96.88772173913044,55.06866235600149,0.12,0,0,0.36826538284454546,75.34854438127138,0,75.34854438127138,20.27988202526989,877.8,35800,75.34854438127138,71.038
12,0.12,OP,1,54.27911304347826,30.850948866592343,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.3787376070650924,42.535363416013055,0,42.535363416013055,11.684414549420712,877.8,20391,42.535363416013055,67.104
13,0.29,P,1,71.22346956521739,40.481715607580824,0.24,-0.17241379310344826,-0.17241379310344826,0.4177106217431608,57.391358203253226,0,57.391358203253226,16.909642595672402,877.8,31734,57.391358203253226,79.034
14,0.29,P,1,74.8509956521739,42.543514622816794,0.24,-0.17241379310344826,-0.17241379310344826,0.3951039406067892,59.352624897554264,0,59.352624897554264,16.80911027473747,877.8,12668,59.352624897554264,69.622
15,0.29,P,1,38.88476956521739,22.101172445187665,0.24,-0.17241379310344826,-0.17241379310344826,0.4158832912682089,31.292680782578557,0,31.292680782578557,9.191508337390893,877.8,11793,31.292680782578557,53.056
16,0.29,P,0,48.321852173913044,27.464984355258267,0.29,0,0,0.480267096556467,40.655512648526944,0,40.655512648526944,13.190528293268677,877.8,12469,40.655512648526944,31.7
17,0.29,P,0,58.076608695652176,33.00935451505017,0.29,0,0,0.5374144866601854,50.74905982673994,0,50.74905982673994,17.739705311689768,877.8,6504,50.74905982673994,22.058
18,0.29,P,0,30.836682608695654,17.52683242289112,0.29,0,0,0.5880653114808845,27.83375459093185,0,27.83375459093185,10.306922168040732,877.8,3024,27.83375459093185,17.216
19,0.12,OP,0,38.22105652173913,21.72393383500557,0.12,0,0,0.16249229876709118,25.253905782119816,0,25.253905782119816,3.5299719471142446,877.8,1590,25.253905782119816,19.12
20,0.12,OP,0,42.34633478260869,24.06864327387588,0.12,0,0,0.13635590056216723,27.35054480279478,0,27.35054480279478,3.2819015289188975,877.8,450,27.35054480279478,18.818
21,0.12,OP,0,20.406026086956523,11.598296878483836,0.12,0,0,0.24104588088344392,14.39401856630567,0,14.39401856630567,2.7957216878218336,877.8,7,14.39401856630567,5.264
22,0.12,OP,0,25.672708695652172,14.591753232998885,0.12,0,0,0.22133973825046327,17.82148807420621,0,17.82148807420621,3.2297348412073266,877.8,0,17.82148807420621,4.594
23,0.12,OP,0,29.169508695652173,16.57925066889632,0.12,0,0,0.1947360896789792,19.80782911396479,0,19.80782911396479,3.228578445068468,877.8,0,19.80782911396479,10.018
24,0.05,SOP,0,14.260130434782608,8.105116871051653,0.05,0,0,-0.13786297516506674,6.987721345147896,0,6.987721345147896,-1.1173955259037571,877.8,0,6.987721345147896,7.352
