Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,17.439472727272726,10.881038539238538,0.05,0,0,0,10.881038539238538,0,10.881038539238538,0,963.5999999999999,0,10.881038539238538,19.1679
2,0.05,SOP,0,14.936963636363636,9.3196439782439775,0.05,0,0,0,9.3196439782439775,0,9.3196439782439775,0,963.5999999999999,0,9.3196439782439775,16.3819
3,0.05,SOP,0,12.054686363636364,7.52130003885004,0.05,0,0,0,7.52130003885004,0,7.52130003885004,0,963.5999999999999,0,7.52130003885004,6.4928
4,0.05,SOP,0,10.548313636363636,6.581426456876457,0.05,0,0,0,6.581426456876457,0,6.581426456876457,0,963.5999999999999,0,6.581426456876457,4.7684
5,0.05,SOP,0,16.865872727272727,10.52315135975136,0.05,0,0,0,10.52315135975136,0,10.52315135975136,0,963.5999999999999,0,10.52315135975136,7.5649
6,0.05,SOP,0,17.12430909090909,10.68439797979798,0.05,0,0,0,10.68439797979798,0,10.68439797979798,0,963.5999999999999,0,10.68439797979798,10.951
7,0.05,SOP,0,41.92619545454546,26.159079215229216,0.05,0,0,0,26.159079215229216,0,26.159079215229216,0,963.5999999999999,0,26.159079215229216,27.435
8,0.05,SOP,0,114.10305,71.19250128205128,0.05,0,0,0,71.19250128205128,0,71.19250128205128,0,963.5999999999999,2843,71.19250128205128,39.7631
9,0.12,OP,0,79.7304909090909,49.74637466977467,0.12,0,0,0,49.74637466977467,0,49.74637466977467,0,963.5999999999999,10667,49.74637466977467,53.7859
10,0.12,OP,0,95.73802727272727,59.73398282828283,0.12,0,0,0,59.73398282828283,0,59.73398282828283,0,963.5999999999999,24759,59.73398282828283,46.2544
11,0.12,OP,0,92.9291909090909,57.981460994561,0.12,0,0,0,57.981460994561,0,57.981460994561,0,963.5999999999999,7233,57.981460994561,49.1225
12,0.12,OP,1,47.46020909090909,29.61192533022533,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.16666666666666669,34.54724621859622,0,34.54724621859622,4.935320888370892,963.5999999999999,29088,34.54724621859622,47.8317
13,0.29,P,1,61.83403181818182,38.580207886557886,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,40.90832387971224,0,40.90832387971224,2.3281159931543556,963.5999999999999,30410,40.90832387971224,40.8985
14,0.29,P,1,66.72136818181818,41.6295716006216,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,44.141700921348765,0,44.141700921348765,2.512129320727162,963.5999999999999,21709,44.141700921348765,50.1291
15,0.29,P,1,32.53586818181818,20.30015707070707,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,21.525166549111805,0,21.525166549111805,1.2250094784047363,963.5999999999999,21660,21.525166549111805,43.1285
16,0.29,P,0,39.503750000000004,24.647638888888892,0.29,0,0,0,24.647638888888892,0,24.647638888888892,0,963.5999999999999,39583,24.647638888888892,20.659
17,0.29,P,0,53.170322727272726,33.174645804195805,0.29,0,0,0,33.174645804195805,0,33.174645804195805,0,963.5999999999999,23362,33.174645804195805,26.6098
18,0.29,P,0,28.328886363636364,17.675288073038075,0.29,0,0,0,17.675288073038075,0,17.675288073038075,0,963.5999999999999,21054,17.675288073038075,7.193
19,0.12,OP,0,36.37568636363636,22.695941064491066,0.12,0,0,0,22.695941064491066,0,22.695941064491066,0,963.5999999999999,7609,22.695941064491066,18.1594
20,0.12,OP,0,45.070786363636365,28.121088927738928,0.12,0,0,0,28.121088927738928,0,28.121088927738928,0,963.5999999999999,1959,28.121088927738928,37.4488
21,0.12,OP,0,21.983086363636364,13.715942773892772,0.12,0,0,0,13.715942773892772,0,13.715942773892772,0,963.5999999999999,319,13.715942773892772,36.1044
22,0.12,OP,0,23.624295454545454,14.739945027195027,0.12,0,0,0,14.739945027195027,0,14.739945027195027,0,963.5999999999999,0,14.739945027195027,10.5436
23,0.12,OP,0,25.54649090909091,15.939263558663558,0.12,0,0,0,15.939263558663558,0,15.939263558663558,0,963.5999999999999,0,15.939263558663558,21.5386
24,0.05,SOP,0,14.27115909090909,8.904227466977467,0.05,0,0,0,8.904227466977467,0,8.904227466977467,0,963.5999999999999,0,8.904227466977467,18.0732
