Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,17.439472727272726,10.881038539238538,9.342311455271942,0,-1.538727083966597,0.544051926961927,0.4671155727635971,-0.3362481648798851,0,0,2.591553118113712,0.009679630431005594,-0.36648091613677114,-0.001368831610444593,2.225072201976941,0.008310798820561
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,14.936963636363636,9.3196439782439775,7.977381227846857,0,-1.3422627503971203,0.4659821989121989,0.3988690613923429,-0.2929670463570669,0,0,2.2127965086370613,0.008269021873288577,-0.3186982608655367,-0.001190946786019352,1.8940982477715247,0.0070780750872692245
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,12.054686363636364,7.52130003885004,6.4193249608111245,0,-1.1019750780389153,0.37606500194250203,0.32096624804055623,-0.23897177316701412,0,0,1.7960949784316336,0.006725478803039356,-0.2631528982754315,-9.853761970066957e-4,1.5329420801562021,0.00574010260603266
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,10.548313636363636,6.581426456876457,5.597618515469822,0,-0.983807941406635,0.3290713228438229,0.2798809257734911,-0.19770160004460602,0,0,1.6122123597209173,0.006029330335688462,-0.24099750002830464,-9.012792446258565e-4,1.3712148596926126,0.005128051091062605
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,16.865872727272727,10.52315135975136,8.905814341651247,0,-1.6173370181001125,0.526157567987568,0.4452907170825624,-0.3239752636170761,0,0,2.5798627852522977,0.009637186200471173,-0.3965074188865406,-0.001481170179872228,2.183355366365757,0.008156016020598945
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,17.12430909090909,10.68439797979798,8.968954810004185,0,-1.7154431697937955,0.5342198989898991,0.44844774050020925,-0.32380800480123606,0,0,2.656602476394586,0.009921499910846465,-0.42653321053794585,-0.001592955381141009,2.23006926585664,0.008328544529705455
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,41.92619545454546,26.159079215229216,21.622286145229936,0,-4.5367930699992804,1.307953960761461,1.0811143072614968,-0.8900704108989742,0,0,6.5018255100649505,0.024299744182769152,-1.1276175538791315,-0.004214326892169872,5.374207956185819,0.020085417290599282
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,114.10305,71.19250128205128,56.75007765435698,2843,-14.442423627694303,3.559625064102564,2.837503882717849,-3.9725408852696247,-3.9725408852696247,0,15.971401984784258,0.05928228058756923,-3.240028784472645,-0.012026263924475557,12.731373200311612,0.047256016663093675
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,79.7304909090909,49.74637466977467,66.82868988725812,10667,17.082315217483455,5.96956496037296,8.019442786470975,6.3610715089653365,6.3610715089653365,0,9.585235640280741,0.03519237631088671,3.2914562664727773,0.012084644748195626,12.876691906753518,0.04727702105908234
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,95.73802727272727,59.73398282828283,81.01648668892062,24759,21.282503860637796,7.168077939393939,9.721978402670475,8.7970709776377,8.7970709776377,0,10.760031064475829,0.03921595706659596,3.833670413851299,0.01397217660954732,14.593701478327128,0.05318813367614328
