Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,17.439472727272726,12.81875773115773,21.0179,0,0.6409378865578865,1.0508950000000001,8.199142268842271,1.791705995309016,0,0,3.053062577503825,0.01140340023378741,1.9528018980955753,0.007293850373512589,5.005864475599401,0.0186972506073
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,14.936963636363636,10.979306604506604,19.4051,0,0.5489653302253302,0.9702550000000001,8.425793395493397,1.8390436623248767,0,0,2.6068561608601,0.009741587412367365,2.0005663576387,0.007475936854432635,4.6074225184988,0.0172175242668
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,12.054686363636364,8.860709634809636,14.7655,0,0.4430354817404818,0.738275,5.9047903651903635,1.2804992162438096,0,0,2.115947508837267,0.007923166809060063,1.410070635239733,0.005280010401439937,3.5260181440769998,0.0132031772105
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,10.548313636363636,7.753461305361305,11.3949,0,0.3876730652680653,0.5697450000000001,3.641438694638695,0.7317670716960084,0,0,1.8993186703561489,0.007103046696838461,0.8920212827917512,0.0033359693268615385,2.7913399531479,0.0104390160237
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,16.865872727272727,12.397137218337217,2.5427,0,0.6198568609168609,0.127135,-9.854437218337218,-1.9739818354983734,0,0,3.0392904045438023,0.01135339744165097,-2.4159203816483026,-0.009024772440050972,0.6233700228954997,0.0023286250015999987
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,17.12430909090909,12.58709898989899,9.639,0,0.6293549494949495,0.48195,-2.948098989898991,-0.556484801528273,0,0,3.129696068081293,0.011688342360723232,-0.7330246488412933,-0.0027375958777232333,2.3966714192399996,0.008950746482999998
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,41.92619545454546,30.817545376845377,26.6025,0,1.540877268842269,1.330125,-4.215045376845378,-0.8269469452630737,0,0,7.659684847473777,0.02862709588654996,-1.0476473323762774,-0.003915448381549962,6.6120375150975,0.024711647504999996
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,114.10305,83.87061794871795,45.0371,2843,4.193530897435898,2.2518550000000004,-38.83351794871795,-10.681568533574604,-10.681568533574604,0,18.815624256047208,0.06983939904836924,-8.711953007313108,-0.03233682572996923,10.1036712487341,0.037502573318400005
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,79.7304909090909,58.6053181041181,63.3579,10667,7.032638172494171,7.602948,4.752581895881903,1.769755030686789,1.769755030686789,0,11.292195411837586,0.04145951181830489,0.9157374316050151,0.00336214752609511,12.2079328434426,0.044821659344399994
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,95.73802727272727,70.3715414141414,50.8971,24759,8.444584969696969,6.107652,-19.474441414141403,-8.049712782474973,-8.049712782474973,0,12.676200980067414,0.04619962065379798,-3.507979623288412,-0.012785165532797972,9.168221356779002,0.033414455121000004
