Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,18.59805,9.299025,11.772,0,0.5579415,0.70632,2.472975,0.540403372507275,0,0,2.2147626026011498,0.008272291752675,0.58899213059085,0.0021999264113249997,2.8037547331919996,0.010472218164
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,16.333181818181817,8.166590909090909,6.326,0,0.4899954545454545,0.37955999999999995,-1.840590909090909,-0.40173392432181815,0,0,1.9390229812736361,0.007245954782727272,-0.4370181035856363,-0.0016330974147272725,1.502004877688,0.005612857367999999
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,13.970418181818182,6.985209090909091,4.812,0,0.41911254545454546,0.28872000000000003,-2.173209090909091,-0.4712771098611727,0,0,1.6680758521362,0.006246111102209091,-0.5189647953282,-0.0019432640102090908,1.149111056808,0.004302847092000001
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,12.469431818181818,6.234715909090909,4.774,0,0.37408295454545454,0.28644,-1.4607159090909088,-0.29353887103714765,0,0,1.527280767147784,0.005711704295625,-0.357822769593784,-0.0013381808336249996,1.1694579975539998,0.004373523462000001
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,12.950904545454545,6.4754522727272725,6.474,0,0.38852713636363634,0.38844,-0.0014522727272723301,-2.909105736135568e-4,0,0,1.5875261853575795,0.005930270994981818,-3.560401475794481e-4,-1.3300029818178182e-6,1.58717014521,0.005928940992
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,10.59149090909091,5.295745454545455,18.55,0,0.3177447272727273,1.113,13.254254545454547,2.501880444111273,0,0,1.3167508843738183,0.004917613341854546,3.295579733626182,0.012307861008145456,4.6123306180000005,0.017225474350000002
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,31.330022727272727,15.665011363636365,26.306,0,0.9399006818181819,1.57836,10.640988636363636,2.08764847366975,0,0,3.893530412960898,0.01455157368593182,2.644812181613102,0.009884648446068182,6.538342594574,0.024436222132
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,95.0828090909091,47.54140454545455,28.794,11,2.852484272727273,1.72764,-18.747404545454547,-5.156671274113395,-5.156671274113395,0,10.665489612571541,0.039587917730618184,-4.205812814197541,-0.015611038754618183,6.459676798374,0.023976878976000003
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,95.00015454545455,47.500077272727275,36.404,11488,4.2750069545454545,3.2763600000000004,-11.096077272727271,-4.131930602040572,-4.131930602040572,0,9.1524143540709,0.03360326466550909,-2.1380154040948995,-0.00784976452150909,7.014398949976002,0.025753500144000005
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,137.44851818181817,68.72425909090909,36.554,32469,6.185183318181817,3.28986,-32.170259090909084,-13.29749800328431,-13.29749800328431,0,12.37947191345059,0.045118163335772725,-5.79490887399059,-0.021120096795772723,6.584563039460001,0.02399806654
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,153.76322727272728,76.88161363636364,40.716,43260,6.919345227272728,3.66444,-36.16561363636364,-15.88304928162,-15.88304928162,0,13.170636129829774,0.04736614710845455,-6.195553333069773,-0.022281345236454548,6.975082796760001,0.025084801872
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,85.4193090909091,42.70965454545455,54.662,52447,3.8438689090909093,2.1864799999999995,11.952345454545451,8.964259090909088,8.964259090909088,0,7.233920831554,0.025917499667818186,1.2887867127047814,0.004325816771599999,8.522707544258783,0.030243316439418185
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,113.23959545454545,56.619797727272726,36.674,67105,6.2281777499999995,2.20044,-19.945797727272726,-14.959348295454545,-14.959348295454545,0,9.67210565299881,0.034506086427920454,-2.1506974662810157,-0.0072188230050499996,7.521408186717795,0.027287263422870453
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,127.17936818181818,63.589684090909095,35.964,67271,6.99486525,2.1578399999999998,-27.625684090909097,-20.719263068181824,-20.719263068181824,0,11.259108070340728,0.04032387201383182,-2.9787973181618117,-0.009998342837550002,8.280310752178917,0.03032552917628182
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,64.81100454545455,32.405502272727276,46.61,45859,3.5646052500000005,2.7965999999999998,14.204497727272724,10.653373295454543,10.653373295454543,0,5.910042365281371,0.02104196200725682,1.5316297542749155,0.005140920226449999,7.441672119556287,0.02618288223370682
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,83.23365909090909,41.61682954545454,35.8,45860,4.57785125,3.9379999999999997,-5.816829545454546,-2.3212952056996023,-2.3212952056996023,0,7.7929732333215,0.027766290887602272,-1.0892323477215,-0.003880924687602273,6.7037408856,0.0238853662
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,94.90575909090909,47.45287954545454,41.882,12377,5.21981675,4.6070199999999994,-5.570879545454545,-2.132176309693718,-2.132176309693718,0,9.184720367001622,0.032701060522520455,-2.4595757139827388,-0.005648225637063636,6.725144653018884,0.027052834885456817
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,52.67516818181818,26.33758409090909,42.042,1730,2.8971342499999997,4.62462,15.704415909090912,5.318934874607533,5.318934874607533,0,5.443735298651493,0.019486941430606818,6.933590945042149,0.01592245601957273,12.377326243693641,0.03540939745017955
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,68.32635,34.163175,51.588,0,3.07468575,4.64292,17.424825,4.33189056885585,0,0,7.963617772264651,0.028720844569800005,7.693161562857375,0.0176667512703,15.656779335122025,0.04638759584010001
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,74.39080909090909,37.195404545454544,53.888,0,3.347586409090909,4.84992,16.692595454545454,3.036045739135086,0,0,9.54627946804395,0.034588453031672725,7.369877960624387,0.016924355449836365,16.91615742866834,0.05151280848150909
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,34.706568181818184,17.353284090909092,34.672,0,1.5617955681818183,3.1204799999999997,17.318715909090905,3.0382784618900787,0,0,4.480562855595739,0.016316772432159093,0.6186825846084544,0.017559168960772725,5.099245440204194,0.03387594139293182
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,36.553945454545456,18.276972727272728,17.844,0,1.6449275454545456,1.60596,-0.43297272727272684,-0.0782691427903363,0,0,4.68207419042181,0.01716028624758182,-0.11091609435380899,-4.065189595818178e-4,4.571158096068001,0.016753767288
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,38.81979090909091,19.409895454545456,10.13,0,1.746890590909091,0.9117000000000001,-9.279895454545455,-1.7417746283938276,0,0,4.9032597774536,0.018035733086050002,-2.3442546729736002,-0.00862290669605,2.55900510448,0.009412826390000002
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,18.95063181818182,9.47531590909091,21.454,0,0.5685189545454545,1.28724,11.978684090909091,2.3992565748216705,0,0,2.352440451925732,0.008672481867429546,2.973952666766268,0.010963742166570456,5.326393118692,0.019636224034
