Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,14.083104347826087,6.6202627276105535,4.679472931433111,0,-1.9407897961774427,0.3972157636566332,0.28076837588598663,-0.4241083517552732,0,0,1.5767578115454186,0.005889299659066889,-0.4622407897692186,-0.0017265013724121028,1.1145170217762,0.004162798286654786
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,11.360926086956521,5.340606280193237,3.7488967846275716,0,-1.5917094955656652,0.3204363768115942,0.22493380707765429,-0.3474121809879663,0,0,1.2680393112016135,0.004738549053014493,-0.37792529658582596,-0.0014122729007115566,0.8901140146157875,0.0033262761523029363
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,9.49595652173913,4.4639111854329245,3.113144470966068,0,-1.3507667144668565,0.2678346711259755,0.18678866825796409,-0.2929241534804722,0,0,1.0659870531566666,0.003991589206813452,-0.32256462318413953,-0.001207843439175833,0.7434224299725272,0.002783745767637619
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,8.604721739130435,4.044954663693794,2.7993312329914026,0,-1.2456234307023912,0.24269727982162762,0.16795987397948414,-0.25031485815291604,0,0,0.9908681569334012,0.0037056355518205126,-0.3051328619555011,-0.0011411318179710597,0.6857352949779001,0.0025645037338494527
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,16.418778260869566,7.718229096989967,5.283489416322708,0,-2.434739680667259,0.463093745819398,0.3170093649793625,-0.4877124687405781,0,0,1.8922061780404098,0.007068415952856189,-0.5969023992142729,-0.002229754077472521,1.295303778826137,0.004838661875383668
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,26.83347391304348,12.614026198439243,8.481354322079069,0,-4.132671876360174,0.7568415719063546,0.5088812593247442,-0.7800854370146378,0,0,3.1363913343027203,0.011713346885792085,-1.0275605945813229,-0.0038375867063724285,2.1088307397213972,0.007875760179419657
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,66.63669565217391,31.324942400594576,20.348520879011843,0,-10.976421521582733,1.8794965440356746,1.2209112527407107,-2.1534568280225828,0,0,7.785798113372791,0.029098428144645114,-2.7281838504737754,-0.010196239432671676,5.0576142628990155,0.01890218871197344
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,171.36714782608695,80.55720624303233,48.1385657692838,0,-32.418640473748525,4.833432374581939,2.888313946157028,-8.917088852031046,0,0,18.07228992532976,0.06708030786739799,-7.272832524244691,-0.02699513159705229,10.799457401085068,0.040085176270345704
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,119.38499565217391,56.12115180230398,96.63908850481681,2478,40.517936702512834,5.050903662207358,8.697517965433512,15.087971945197769,15.087971945197769,0,10.813541046959804,0.03970212314641471,7.807080888399628,0.02866384706907887,18.62062193535943,0.06836597021549358
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,138.27410869565216,65.00064938684503,113.3417787755745,19243,48.34112938872947,5.850058444816052,10.200760089801705,19.98168773545223,19.98168773545223,0,11.708728825669368,0.04267357632895763,8.707808006204019,0.031736434854994784,20.416536831873387,0.07441001118395241
