Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,14.083104347826087,9.02763099219621,11.306,0,0.5416578595317726,0.67836,2.2783690078037893,0.497877372651653,0,0,2.1501242884710257,0.00803086317145485,0.542642532244974,0.002026807450545149,2.692766820716,0.010057670621999998
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,11.360926086956521,7.282644927536232,7.858,0,0.43695869565217393,0.47147999999999995,0.5753550724637675,0.12557904637999986,0,0,1.7291445152749276,0.006461657799565218,0.1366086192290723,5.104941444347821e-4,1.865753134504,0.006972151944
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,9.49595652173913,6.087151616499442,5.206,0,0.36522909698996653,0.31236,-0.8811516164994417,-0.19108450673728966,0,0,1.4536187088499999,0.005443076191109252,-0.2104200052459998,-7.879178451092523e-4,1.243198703604,0.004655158346
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,8.604721739130435,5.5158472686733555,5.17,0,0.3309508361204013,0.3102,-0.3458472686733556,-0.06949990492048494,0,0,1.351183850363729,0.005053139388846154,-0.08472012029372908,-3.1683517884615377e-4,1.26646373007,0.00473630421
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,16.418778260869566,10.524857859531773,5.192,0,0.6314914715719063,0.31152,-5.332857859531773,-1.068246142602826,0,0,2.580281151873286,0.009638749026622075,-1.3074069791932859,-0.004883873890622074,1.2728741726800004,0.004754875136000001
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,26.83347391304348,17.200944816053514,7.422,0,1.0320566889632108,0.44532,-9.778944816053514,-1.8458790507926341,0,0,4.276897274049165,0.015972745753352845,-2.4314677405291643,-0.009080698819352844,1.8454295335200004,0.006892046934000001
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,66.63669565217391,42.71583054626533,22.718,0,2.56294983277592,1.3630799999999998,-19.99783054626533,-3.923361056316651,0,0,10.616997427326533,0.03967967474269788,-4.970450363404533,-0.01857642474669788,5.646547063922,0.021103249996
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,171.36714782608695,109.85073578595318,45.724,0,6.591044147157191,2.7434399999999997,-64.12673578595317,-17.638734766101813,0,0,24.644031716358764,0.09147314709190635,-14.386260585954762,-0.05339858939590635,10.257771130404002,0.038074557695999996
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,119.38499565217391,76.52884336677815,62,2478,6.887595903010033,5.58,-14.528843366778148,-5.410215794639079,-5.410215794639079,0,14.745737791308823,0.05413925883602006,-2.7994479633088236,-0.010278226836020065,11.946289828,0.043861031999999994
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,138.27410869565216,88.63724916387959,64.006,19243,7.977352424749163,5.76054,-24.631249163879588,-10.18126666774792,-10.18126666774792,0,15.966448398640049,0.05819124044857859,-4.436888243700048,-0.01617066138857859,11.52956015494,0.04202057906
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,147.5482739130435,94.58222686733558,59.908,96604,8.512400418060201,5.39172,-34.67422686733558,-15.228068841121923,-15.228068841121923,0,16.202938979801647,0.058271353315150515,-5.940062955921647,-0.02136251377915051,10.26287602388,0.03690883953600001
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,85.64371739130435,54.89981884057971,53.982,115965,4.940983695652174,2.1592799999999994,-0.917818840579713,-0.6883641304347847,-0.6883641304347847,0,9.298622229237319,0.03331485706702899,-0.09896574115161624,-3.321788304202909e-4,9.199656488085703,0.0329826782366087
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,112.87705652173914,72.35708751393534,64.344,102532,7.959279626532887,3.8606399999999996,-8.013087513935346,-6.00981563545151,-6.00981563545151,0,12.360436159611373,0.044096941629055184,-0.8640279646345954,-0.002900112659218508,11.496408194976777,0.041196828969836674
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,126.17792173913044,80.88328316610925,56.362,49401,8.897161148272017,3.38172,-24.52128316610925,-18.39096237458194,-18.39096237458194,0,14.321090586788852,0.051290192820992196,-2.6440587785165293,-0.008874791846044592,11.677031808272323,0.0424154009749476
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,69.43702173913043,44.510911371237455,39.06,34274,4.89620025083612,2.3436,-5.450911371237453,-4.08818352842809,-4.08818352842809,0,8.117799554759323,0.02890240361341973,-0.5877559491648238,-0.0019728047453010013,7.530043605594499,0.02692959886811873
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,78.27451304347827,50.17596989966555,32.796,30575,5.519356688963211,3.60756,-17.379969899665554,-6.9357440316990475,-6.9357440316990475,0,9.395717901983879,0.03347685518138796,-3.25449203371188,-0.011595724737387961,6.141225868271999,0.021881130444
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,84.10836956521739,53.91562151616499,40.054,29585,5.930718366778149,4.40594,-13.861621516164988,-5.3053419607363255,-5.3053419607363255,0,10.43561342920666,0.03715471050857023,-6.119986504715959,-0.014054076269295423,4.315626924490701,0.023100634239274803
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,48.16717391304348,30.87639353400223,33.96,14459,3.3964032887402453,3.7356000000000003,3.0836064659977716,1.0443879012441588,1.0443879012441588,0,6.3818652764784005,0.022845165688266444,1.361430185909616,0.0031264192581716846,7.743295462388017,0.025971584946438128
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,65.59645652173913,42.049010590858416,28.076,834,3.7844109531772574,2.52684,-13.973010590858415,-3.4737538424094634,-3.4737538424094634,0,9.801847985367418,0.03535043500769231,-6.169165428920577,-0.014167011869901894,3.6326825564468415,0.021183423137790418
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,61.90633043478261,39.68354515050167,12.884,10,3.5715190635451504,1.15956,-26.79954515050167,-4.874295617269217,-4.874295617269217,0,10.184866031675519,0.03690220483799331,-11.832155023301539,-0.02717163003537124,-1.64728899162602,0.009730574802622068
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,27.120239130434783,17.38476867335563,12.45,0,1.5646291806020067,1.1204999999999998,-4.934768673355631,-0.8657224619520486,0,0,4.488692074819886,0.016346376440496097,-0.1762864783568562,-0.005003283001616501,4.312405596463029,0.011343093438879596
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,28.022265217391304,17.962990523968784,12.452,0,1.6166691471571906,1.12068,-5.510990523968784,-0.9962301943443295,0,0,4.601640302803894,0.01686548772893534,-1.4117691633598937,-0.00517428002493534,3.189871139444,0.011691207704000001
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,28.074982608695652,17.996783723522853,10.276,0,1.6197105351170566,0.92484,-7.720783723522853,-1.4491397308103433,0,0,4.546284443506177,0.016722665426248604,-1.950397330610176,-0.007174175398248606,2.5958871128960004,0.009548490027999998
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,14.080030434782609,9.025660535117057,13.762,0,0.5415396321070234,0.82572,4.736339464882944,0.9486595952832526,0,0,2.2408043332664045,0.008260925343637125,1.1758928840095955,0.004335034158362877,3.416697217276,0.012595959502000001
