Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,12.601799999999999,9.478276923076923,0.05,0,0,-0.1414136231957761,8.137919441731702,0,8.137919441731702,-1.3403574813452206,1161.6,0,8.137919441731702,5.716
2,0.05,SOP,0,10.586215,7.962281367521367,0.05,0,0,-0.14402511013623842,6.815512916628383,0,6.815512916628383,-1.146768450892984,1161.6,0,6.815512916628383,5.77
3,0.05,SOP,0,7.74048,5.821899487179488,0.05,0,0,-0.14651391014144421,4.968910228862352,0,4.968910228862352,-0.8529892583171357,1161.6,0,4.968910228862352,5.734
4,0.05,SOP,0,7.405855,5.570215726495726,0.05,0,0,-0.14948247889007799,4.737566071746649,0,4.737566071746649,-0.8326496547490772,1161.6,0,4.737566071746649,5.694
5,0.05,SOP,0,13.24719,9.963698461538462,0.05,0,0,-0.15369322010192266,8.432345560860043,0,8.432345560860043,-1.531352900678419,1161.6,0,8.432345560860043,7.974
6,0.05,SOP,0,18.84677,14.175348376068374,0.05,0,0,-0.16055590338710227,11.899412511721824,0,11.899412511721824,-2.2759358643465504,1161.6,0,11.899412511721824,26.172
7,0.05,SOP,0,49.17086,36.983210940170935,0.05,0,0,-0.17343091599944632,30.56917879021635,0,30.56917879021635,-6.414032149954586,1161.6,0,30.56917879021635,42.336
8,0.05,SOP,0,144.47031,108.66142974358975,0.05,0,0,-0.2028643939686308,86.61789465089147,0,86.61789465089147,-22.043535092698278,1161.6,47,86.61789465089147,82.148
9,0.12,OP,0,109.477545,82.34208512820513,0.12,0,0,0.34338814297280795,110.61738082888834,0,110.61738082888834,28.275295700683216,1161.6,374,110.61738082888834,136.208
10,0.12,OP,0,131.88397,99.19478085470087,0.12,0,0,0.3562880433039023,134.53669523138163,0,134.53669523138163,35.34191437668076,1161.6,45097,134.53669523138163,132.504
11,0.12,OP,0,123.84291,93.1468041025641,0.12,0,0,0.36826538284454546,127.44954757614076,0,127.44954757614076,34.302743473576655,1161.6,117871,127.44954757614076,91.576
12,0.12,OP,1,67.563075,50.816671794871795,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.3787376070650924,70.06285646947372,0,70.06285646947372,19.24618467460192,1161.6,102274,70.06285646947372,79.61
13,0.29,P,1,89.336535,67.19329128205128,0.24,-0.17241379310344826,-0.17241379310344826,0.4177106217431608,95.26064276044622,0,95.26064276044622,28.06735147839494,1161.6,93877,95.26064276044622,86.06
14,0.29,P,1,104.295045,78.44413641025642,0.24,-0.17241379310344826,-0.17241379310344826,0.3951039406067892,109.43772382344524,0,109.43772382344524,30.99358741318882,1161.6,68622,109.43772382344524,92.72
15,0.29,P,1,57.767815,43.44929675213675,0.24,-0.17241379310344826,-0.17241379310344826,0.4158832912682089,61.51913328870449,0,61.51913328870449,18.069836536567735,1161.6,52139,61.51913328870449,90.484
16,0.29,P,0,66.691585,50.161192136752135,0.29,0,0,0.480267096556467,74.25196224408117,0,74.25196224408117,24.090770107329035,1161.6,38783,74.25196224408117,56.89
17,0.29,P,0,76.504365,57.541744615384616,0.29,0,0,0.5374144866601854,88.46551175939304,0,88.46551175939304,30.923767144008423,1161.6,55195,88.46551175939304,45.11
18,0.29,P,0,39.56329,29.757004444444444,0.29,0,0,0.5880653114808845,47.25606653180473,0,47.25606653180473,17.499062087360283,1161.6,26782,47.25606653180473,30.142
19,0.12,OP,0,49.70147,37.38230222222222,0.12,0,0,0.16249229876709118,43.45663844351725,0,43.45663844351725,6.074336221295027,1161.6,2596,43.45663844351725,28.196
20,0.12,OP,0,49.119910000000004,36.94488957264957,0.12,0,0,0.13635590056216723,41.98254326149803,0,41.98254326149803,5.037653688848458,1161.6,243,41.98254326149803,15.22
21,0.12,OP,0,22.404275000000002,16.851078632478636,0.12,0,0,0.24104588088344392,20.912961725280628,0,20.912961725280628,4.061883092801992,1161.6,113,20.912961725280628,18.75
22,0.12,OP,0,23.208045,17.45562358974359,0.12,0,0,0.22133973825046327,21.31924674609605,0,21.31924674609605,3.8636231563524603,1161.6,0,21.31924674609605,15.126
23,0.12,OP,0,23.01057,17.307095384615387,0.12,0,0,0.1947360896789792,20.677411463516496,0,20.677411463516496,3.3703160789011086,1161.6,0,20.677411463516496,15.122
24,0.05,SOP,0,11.854935,8.916532307692307,0.05,0,0,-0.13786297516506674,7.687272635598408,0,7.687272635598408,-1.2292596720938995,1161.6,0,7.687272635598408,5.742
