Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,12.601799999999999,9.478276923076923,5.716,0,0.47391384615384613,0.2858,-3.7622769230769224,-0.822146256042646,0,0,2.257455299488738,0.00843175193316923,-0.8960670855127383,-0.00334687264116923,1.3613882139759999,0.005084879292000001
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,10.586215,7.962281367521367,5.77,0,0.3981140683760684,0.2885,-2.1922813675213675,-0.478495135796882,0,0,1.8905130337561449,0.007064677464397948,-0.520521230996145,-0.0019451411043979487,1.36999180276,0.0051195363599999995
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,7.74048,5.821899487179488,5.734,0,0.2910949743589744,0.2867,-0.08789948717948803,-0.01906168000562685,0,0,1.3902761995724802,0.005205890124340514,-0.020990497216480206,-7.859893034051358e-5,1.369285702356,0.005127291194
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,7.405855,5.570215726495726,5.694,0,0.2785107863247863,0.2847,0.12378427350427401,0.024875128469855484,0,0,1.3645021636890429,0.0051029470398471785,0.030322687184957047,1.1340038215282098e-4,1.394824850874,0.005216347422
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,13.24719,9.963698461538462,7.974,0,0.4981849230769231,0.39870000000000005,-1.9896984615384614,-0.39856447752159996,0,0,2.442706940690246,0.009124834760664616,-0.48779579798024614,-0.0018221817686646154,1.9549111427099999,0.007302652992000001
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,18.84677,14.175348376068374,26.172,0,0.7087674188034188,1.3086000000000002,11.996651623931626,2.264494618674985,0,0,3.524603414326509,0.013163185975971964,2.9828853691934913,0.011140054708028035,6.50748878352,0.024303240684
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,49.17086,36.983210940170935,42.336,0,1.8491605470085468,2.1168,5.352789059829064,1.0501601206903501,0,0,9.192157810926586,0.03435451827296546,1.3304329320174135,0.004972323519034534,10.522590742944,0.039326841791999995
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,144.47031,108.66142974358975,82.148,47,5.433071487179488,4.1074,-26.513429743589754,-7.292798382064148,-7.292798382064148,0,24.37722152506818,0.09048280719320616,-5.948051224560181,-0.022077839001206162,18.429170300507998,0.068404968192
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,109.477545,82.34208512820513,136.208,374,9.881050215384615,16.34496,53.86591487179487,20.058459994031452,20.058459994031452,0,15.865845386828822,0.05825175533475692,10.378997272723177,0.038106687353243074,26.244842659552,0.09635844268799999
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,131.88397,99.19478085470087,132.504,45097,11.903373702564103,15.900479999999998,33.309219145299124,13.768284359287021,13.768284359287021,0,17.868202870361596,0.06512236557891966,6.000072584598403,0.02186783546108033,23.86827545496,0.08699020103999999
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,123.84291,93.1468041025641,91.576,117871,11.177616492307692,10.989119999999998,-1.5708041025641108,-0.6898585828973984,-0.6898585828973984,0,15.95703583036076,0.057387000833156926,-0.2690954090007604,-9.677598411569283e-4,15.687940421359999,0.056419240992
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,67.563075,50.816671794871795,79.61,102274,6.098000615384615,5.572699999999999,28.793328205128205,21.594996153846154,21.594996153846154,0,8.60704177075318,0.030837080945282053,3.104700993327195,0.010420938930656409,11.711742764080373,0.04125801987593846
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,89.336535,67.19329128205128,86.06,93877,19.48605447179487,20.6544,18.866708717948725,14.150031538461544,14.150031538461544,0,11.478328050255088,0.04094994347247692,2.034342431001003,0.006828276952617438,13.512670481256091,0.04777822042509436
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,104.295045,78.44413641025642,92.72,68622,22.74879955897436,22.2528,14.27586358974358,10.706897692307685,10.706897692307685,0,13.889218384305396,0.04974346644529026,1.5393249280500492,0.005166749102127176,15.428543312355446,0.054910215547417436
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,57.767815,43.44929675213675,90.484,52139,12.600296058119657,21.71616,47.03470324786324,35.27602743589743,35.27602743589743,0,7.924184676591932,0.028213062207955213,5.071615509473564,0.017022893868873158,12.995800186065496,0.04523595607682837
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,66.691585,50.161192136752135,56.89,38783,14.546745719658118,16.498099999999997,6.728807863247866,2.6852341659618797,2.6852341659618797,0,9.39295068708331,0.03346699562052752,1.2600051503966896,0.00448938658947248,10.65295583748,0.03795638221
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,76.504365,57.541744615384616,45.11,55195,16.68710593846154,13.0819,-12.431744615384616,-4.758076555202696,-4.758076555202696,0,11.137466024911735,0.03965356984156616,-5.488687538287246,-0.012604346957624617,5.648778486624488,0.02704922288394154
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,39.56329,29.757004444444444,30.142,26782,8.629531288888888,8.74118,0.3849955555555553,0.13039429793934215,0.13039429793934215,0,6.150497893702604,0.022016939775404445,0.16997777652693324,3.903408338488887e-4,6.320475670229538,0.022407280609253333
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,49.70147,37.38230222222222,28.196,2596,4.485876266666667,3.38352,-9.18630222222222,-2.2837564198839284,-2.2837564198839284,0,8.714013447083218,0.031427151949013334,-4.055805849458533,-0.009313844842275555,4.658207597624685,0.022113307106737777
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,49.119910000000004,36.94488957264957,15.22,243,4.433386748717949,1.8264,-21.724889572649573,-3.9513183315218043,-3.9513183315218043,0,9.481984268931297,0.03435549615228171,-9.591665076557652,-0.022026517939476242,-0.10968080762635424,0.012328978212805465
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,22.404275000000002,16.851078632478636,18.75,113,2.0221294358974364,2.25,1.898921367521364,0.333133929908425,0.333133929908425,0,4.350895000731326,0.01584456370576069,0.06783583643228705,0.0019252859917880307,4.418730837163612,0.017769849697548717
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,23.208045,17.45562358974359,15.126,0,2.0946748307692307,1.8151199999999998,-2.329623589743589,-0.4211296229716645,0,0,4.4716663917379496,0.016389119899657436,-0.5967875887159496,-0.0021872882476574353,3.874878803022,0.014201831652
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,23.01057,17.307095384615387,15.122,0,2.0768514461538463,1.8146399999999998,-2.185095384615387,-0.410127864067619,0,0,4.372057791999312,0.01608180495267077,-0.5519911394873115,-0.0020303971866707715,3.8200666525120006,0.014051407765999998
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,11.854935,8.916532307692307,5.742,0,0.4458266153846154,0.2871,-3.1745323076923073,-0.6358392502390923,0,0,2.2137110248106278,0.008161043441793846,-0.7881423994946276,-0.0029055573597938458,1.425568625316,0.005255486082000001
