Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,7.475395652173913,0.9006500785751702,0.048,0,0.045032503928758516,0.0024000000000000002,-0.8526500785751702,-0.1863241553313782,0,0,0.21450916758026503,8.012066014494499e-4,-0.20307693625226503,-7.585064254494499e-4,0.011432231328000003,4.2700175999999955e-5
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,5.414704347826087,0.652374017810372,0,0,0.0326187008905186,0,-0.652374017810372,-0.1423894755787952,0,0,0.15489550376669253,5.788305900345731e-4,-0.15489550376669253,-5.788305900345731e-4,0,0
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,2.7111521739130433,0.3266448402304872,0,0,0.016332242011524358,0,-0.3266448402304872,-0.07083544648273704,0,0,0.07800315826228915,2.920828763305396e-4,-0.07800315826228915,-2.920828763305396e-4,0,0
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,1.8379304347826086,0.22143740178103719,0,0,0.01107187008905186,0,-0.22143740178103719,-0.044499060029173386,0,0,0.05424418526820534,2.028616824578313e-4,-0.05424418526820534,-2.028616824578313e-4,0,0
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,3.463217391304348,0.41725510738606597,0,0,0.0208627553693033,0,-0.41725510738606597,-0.08358204375348349,0,0,0.10229453960141434,3.8212556538501835e-4,-0.10229453960141434,-3.8212556538501835e-4,0,0
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,4.422326086956522,0.5328103719224725,0.472,0,0.026640518596123625,0.0236,-0.06081037192247252,-0.011478599553842329,0,0,0.13247965455557884,4.947661129360922e-4,-0.015120083035578841,-5.646832893609221e-5,0.11735957152,4.38297784e-4
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,12.01812608695652,1.4479669984284964,6.608,0,0.07239834992142483,0.3304,5.160033001571503,1.012343437996334,0,0,0.3598914430685966,0.0013450484001141956,1.2825235141634033,0.004793268175885804,1.642414957232,0.006138316576
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,17.865913043478262,2.1525196437925618,6.588,0,0.1076259821896281,0.3294,4.435480356207439,1.2200256352442516,0,0,0.4828985622369618,0.0017924117174646413,0.9950604135110384,0.003693442234535359,1.4779589757480003,0.005485853952
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,10.675317391304349,1.2861828182294397,6.632,1657,0.15434193818753275,0.7958399999999999,5.34581718177056,1.9906625614948503,1.9906625614948503,0,0.2478243986832698,9.098920281969618e-4,1.03004324872473,0.0037818235238030375,1.2778676474079997,0.0046917155519999995
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,13.959026086956522,1.6818103719224724,6.612,10392,0.20181724463069667,0.79344,4.930189628077528,2.0378818383125847,2.0378818383125847,0,0.3029486900022211,0.0011041253272708223,0.888087333877779,0.0032367187927291783,1.1910360238800002,0.00434084412
