Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,2.9327681818181817,1.1307058050383352,0.05,0,0,-0.1414136231957761,0.9708086003793673,0,0.9708086003793673,-0.15989720465896784,211.2,0,0.9708086003793673,0.544
2,0.05,SOP,0,1.9395272727272728,0.7477695509309967,0.05,0,0,-0.14402511013623842,0.6400719590016344,0,0.6400719590016344,-0.10769759192936235,211.2,0,0.6400719590016344,0.34
3,0.05,SOP,0,1.7150227272727272,0.6612135815991237,0.05,0,0,-0.14651391014144421,0.5643365943204072,0,0.5643365943204072,-0.09687698727871652,211.2,0,0.5643365943204072,0.33
4,0.05,SOP,0,1.4388318181818183,0.5547303395399781,0.05,0,0,-0.14948247889007799,0.47180787327000756,0,0.47180787327000756,-0.08292246626997052,211.2,0,0.47180787327000756,0.34
5,0.05,SOP,0,1.8041045454545455,0.6955583789704272,0.05,0,0,-0.15369322010192266,0.5886557719375888,0,0.5886557719375888,-0.10690260703283838,211.2,0,0.5886557719375888,0.32
6,0.05,SOP,0,4.411490909090909,1.7008157721796275,0.05,0,0,-0.16055590338710227,1.4277397593822956,0,1.4277397593822956,-0.27307601279733196,211.2,0,1.4277397593822956,0.35
7,0.05,SOP,0,12.700009090909091,4.896389047097481,0.05,0,0,-0.17343091599944632,4.047203809569709,0,4.047203809569709,-0.849185237527772,211.2,0,4.047203809569709,0.34
8,0.05,SOP,0,18.72375,7.218795180722891,0.05,0,0,-0.2028643939686308,5.754358671201869,0,5.754358671201869,-1.464436509521022,211.2,2843,5.754358671201869,6.9573
9,0.12,OP,0,10.399881818181818,4.009592990142387,0.12,0,0,0.34338814297280795,5.38643968110417,0,5.38643968110417,1.3768466909617825,211.2,10667,5.38643968110417,13.3407
10,0.12,OP,0,11.895231818181818,4.586113472070099,0.12,0,0,0.3562880433039023,6.22009086740362,0,6.22009086740362,1.6339773953335213,211.2,24759,6.22009086740362,13.3458
11,0.12,OP,0,12.350722727272727,4.761724424972617,0.12,0,0,0.36826538284454546,6.515302693335381,0,6.515302693335381,1.753578268362764,211.2,7233,6.515302693335381,11.3236
12,0.12,OP,1,7.073586363636363,2.72716582694414,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.3787376070650924,3.760046086310658,0,3.760046086310658,1.032880259366518,211.2,29088,3.760046086310658,7.1203
13,0.29,P,1,15.9434,6.146853012048193,0.24,-0.17241379310344826,-0.17241379310344826,0.4177106217431608,8.714458805474663,0,8.714458805474663,2.5676057934264707,211.2,30410,8.714458805474663,6.918
14,0.29,P,1,27.557581818181816,10.624609857612267,0.24,-0.17241379310344826,-0.17241379310344826,0.3951039406067892,14.82243507976461,0,14.82243507976461,4.197825222152343,211.2,21709,14.82243507976461,9.3635
15,0.29,P,1,28.859772727272727,11.126659364731653,0.24,-0.17241379310344826,-0.17241379310344826,0.4158832912682089,15.754051082156492,0,15.754051082156492,4.627391717424839,211.2,21660,15.754051082156492,11.8104
16,0.29,P,0,45.01046363636364,17.353431763417305,0.29,0,0,0.480267096556467,25.687714051724505,0,25.687714051724505,8.3342822883072,211.2,39583,25.687714051724505,4.6821
17,0.29,P,0,74.94548636363636,28.89464534501643,0.29,0,0,0.5374144866601854,44.423046340336555,0,44.423046340336555,15.528400995320126,211.2,23362,44.423046340336555,15.1557
18,0.29,P,0,41.89656818181818,16.152893756845565,0.29,0,0,0.5880653114808845,25.651850255282586,0,25.651850255282586,9.498956498437021,211.2,21054,25.651850255282586,19.126
19,0.12,OP,0,43.73386818181818,16.86125038335159,0.12,0,0,0.16249229876709118,19.601073718229884,0,19.601073718229884,2.739823334878295,211.2,7609,19.601073718229884,18.852
20,0.12,OP,0,37.27291363636364,14.37027995618839,0.12,0,0,0.13635590056216723,16.32975242094492,0,16.32975242094492,1.95947246475653,211.2,1959,16.32975242094492,18.626
21,0.12,OP,0,14.392795454545455,5.549029572836802,0.12,0,0,0.24104588088344392,6.886600294269529,0,6.886600294269529,1.3375707214327273,211.2,319,6.886600294269529,18.888
22,0.12,OP,0,13.846931818181819,5.338576122672508,0.12,0,0,0.22133973825046327,6.520215164295015,0,6.520215164295015,1.1816390416225069,211.2,0,6.520215164295015,5.916
23,0.12,OP,0,8.85593181818182,3.414335158817087,0.12,0,0,0.1947360896789792,4.079229436498583,0,4.079229436498583,0.6648942776814959,211.2,0,4.079229436498583,2.994
24,0.05,SOP,0,4.333454545454545,1.6707294633077765,0.05,0,0,-0.13786297516506674,1.4403977288002312,0,1.4403977288002312,-0.2303317345075453,211.2,0,1.4403977288002312,5.826
