Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.06,SOP,0,18.810022727272727,15.410621029572836,0.06,0,0,-0.29315902948732825,10.892858324746252,0,10.892858324746252,-4.517762704826584,448.79999999999995,0,10.892858324746252,6.7123
2,0.06,SOP,0,15.033554545454546,12.316647097480832,0.06,0,0,-0.29803910119134885,8.645804666856609,0,8.645804666856609,-3.670842430624223,448.79999999999995,0,8.645804666856609,4.4851
3,0.06,SOP,0,11.226845454545455,9.19789748083242,0.06,0,0,-0.3025971302643322,6.414640098666999,0,6.414640098666999,-2.783257382165421,448.79999999999995,0,6.414640098666999,4.1313
4,0.06,SOP,0,8.192490909090909,6.71192026286966,0.06,0,0,-0.3079449670679142,4.645018198557797,0,4.645018198557797,-2.066902064311863,448.79999999999995,0,4.645018198557797,3.8177
5,0.06,SOP,0,6.39425,5.23866265060241,0.06,0,0,-0.31545314994818996,3.5861100159539454,0,3.5861100159539454,-1.6525526346484645,448.79999999999995,0,3.5861100159539454,7.8174
6,0.06,SOP,0,6.65565,5.452821686746987,0.06,0,0,-0.327625122331799,3.666340314573019,0,3.666340314573019,-1.7864813721739683,448.79999999999995,0,3.666340314573019,16.9581
7,0.06,SOP,0,14.504945454545455,11.883569769989048,0.06,0,0,-0.3504051621615875,7.719505577677496,0,7.719505577677496,-4.164064192311552,448.79999999999995,0,7.719505577677496,12.0087
8,0.06,SOP,0,21.916486363636363,17.955675575027385,0.06,0,0,-0.40243004922421227,10.729772169515128,0,10.729772169515128,-7.225903405512257,448.79999999999995,11,10.729772169515128,17.3125
9,0.09,OP,0,11.592540909090909,9.49750339539978,0.09,0,0,0.7219726502628449,16.354441092656927,0,16.354441092656927,6.8569376972571465,448.79999999999995,11488,16.354441092656927,13.0609
10,0.09,OP,0,14.962440909090908,12.258385323110625,0.09,0,0,0.7437022528964587,21.374974104780883,0,21.374974104780883,9.116588781670258,448.79999999999995,32469,21.374974104780883,15.0109
11,0.09,OP,0,19.358895454545454,15.860299890470975,0.09,0,0,0.7637860591756667,27.974175841158058,0,27.974175841158058,12.113875950687083,448.79999999999995,43260,27.974175841158058,22.9659
12,0.09,OP,1,13.231086363636363,10.83992617743702,0.039999999999999994,-0.5555555555555556,-0.5555555555555556,0.7813183378180719,19.30935928046272,0,19.30935928046272,8.469433103025699,448.79999999999995,52447,19.30935928046272,17.1746
13,0.11,P,1,19.955722727272725,16.349266812705366,0.06,-0.4545454545454546,-0.4545454545454546,0.8928339571868322,30.946447398196447,0,30.946447398196447,14.597180585491081,448.79999999999995,67105,30.946447398196447,19.1281
14,0.11,P,1,28.679100000000002,23.49613012048193,0.06,-0.4545454545454546,-0.4545454545454546,0.8113027828324596,42.55860587302249,0,42.55860587302249,19.062475752540564,448.79999999999995,67271,42.55860587302249,37.2256
15,0.11,P,1,19.010431818181818,15.57481161007667,0.06,-0.4545454545454546,-0.4545454545454546,0.8454714638049575,28.74287038053464,0,28.74287038053464,13.16805877045797,448.79999999999995,45859,28.74287038053464,44.771
16,0.11,P,0,33.99541363636364,27.851664184008765,0.11,0,0,0.9966916341571861,55.611184873565634,0,55.611184873565634,27.75952068955687,448.79999999999995,45860,55.611184873565634,51.5041
17,0.11,P,0,46.85318636363636,38.385743044906896,0.11,0,0,1.1308502941696483,81.79427185916039,0,81.79427185916039,43.40852881425349,448.79999999999995,12377,81.79427185916039,50.2973
18,0.11,P,0,35.43627272727273,29.032127053669225,0.11,0,0,1.2497278198152904,65.31438390105177,0,65.31438390105177,36.28225684738254,448.79999999999995,1730,65.31438390105177,40.6609
19,0.09,OP,0,46.48738181818182,38.08604775465498,0.09,0,0,0.4237707574004314,54.22580105803412,0,54.22580105803412,16.139753303379145,448.79999999999995,0,54.22580105803412,44.3157
20,0.09,OP,0,38.73822727272727,31.73734282584885,0.09,0,0,0.3777408884111052,43.72583490069281,0,43.72583490069281,11.988492074843961,448.79999999999995,0,43.72583490069281,28.6375
21,0.09,OP,0,13.55955,11.10902891566265,0.09,0,0,0.5589215539101255,17.318104619637335,0,17.318104619637335,6.209075703974685,448.79999999999995,0,17.318104619637335,60.6402
22,0.09,OP,0,25.20962727272727,20.65367053669222,0.09,0,0,0.5255510447720679,31.508228665628895,0,31.508228665628895,10.854558128936674,448.79999999999995,0,31.508228665628895,46.3039
23,0.09,OP,0,39.290977272727275,32.1901982475356,0.09,0,0,0.48066511397969447,47.66290355721626,0,47.66290355721626,15.472705309680663,448.79999999999995,0,47.66290355721626,37.1548
24,0.06,SOP,0,16.443504545454545,13.471786856516978,0.06,0,0,-0.2864064821932916,9.613379774084127,0,9.613379774084127,-3.8584070824328514,448.79999999999995,0,9.613379774084127,7.5334
