Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,18.810022727272727,16.770381708652792,17.0441,0,1.0062229025191676,1.022646,0.27371829134720826,0.05981390340013959,0,0,3.9942267323370544,0.01491871355305531,0.06519189219554553,2.4349623364468894e-4,4.0594186245326,0.0151622097867
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,15.033554545454546,13.403410076670317,8.7348,0,0.804204604600219,0.524088,-4.668610076670317,-1.0189874555859364,0,0,3.1824197459391885,0.011892416851907119,-1.1084848414767885,-0.0041423083255071195,2.0739349044624,0.0077501085263999995
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,11.226845454545455,10.009476670317635,3.4358,0,0.6005686002190581,0.206148,-6.573676670317635,-1.4255523572530038,0,0,2.3902743796183956,0.008950383953307998,-1.5698014434211953,-0.005878122515507997,0.8204729361972003,0.003072261437800001
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,8.192490909090909,7.30414852135816,2.0481,0,0.4382489112814896,0.12288599999999998,-5.25604852135816,-1.0562317692809648,0,0,1.789253226565673,0.006691425414346988,-1.2875425175605733,-0.004815134379046988,0.5017107090050998,0.0018762910353000003
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,6.39425,5.700897590361446,6.2322,0,0.34205385542168676,0.373932,0.5313024096385535,0.10642731619736129,0,0,1.3976358443499097,0.005220927620433736,0.13025445206309016,4.865709971662644e-4,1.527890296413,0.0057074986176
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,6.65565,5.9339530120481925,18.4979,0,0.35603718072289153,1.109874,12.563946987951809,2.371577606436362,0,0,1.4754368282071806,0.0055102509651289155,3.1239394811568197,0.011666843481171085,4.5993763093640005,0.0171770944463
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,14.504945454545455,12.932120043811612,21.5859,0,0.7759272026286966,1.295154,8.653779956188387,1.6977793261871488,0,0,3.2142716992548332,0.01201293081533757,2.1508924994912664,0.00803868658446243,5.3651641987461,0.0200516173998
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,21.916486363636363,19.539999890470977,10.3581,11,1.1723999934282585,0.621486,-9.181899890470977,-2.5255783696445873,-2.5255783696445873,0,4.383624502768142,0.016271036068794743,-2.0598772552430415,-0.007645804766394744,2.3237472475251004,0.0086252313024
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,11.592540909090909,10.335518400876232,8.0801,11488,0.9301966560788608,0.727209,-2.2554184008762324,-0.8398672866032925,-0.8398672866032925,0,1.9914693280563638,0.007311717795442278,-0.43457874032696386,-0.0015955641718422783,1.5568905877294,0.0057161536236
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,14.962440909090908,13.340007557502739,14.6485,32469,1.2006006801752465,1.318365,1.3084924424972613,0.5408621544592059,0.5408621544592059,0,2.4029687779517865,0.008757848361576124,0.2357020018132135,8.59038373423877e-4,2.638670779765,0.009616886735
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,19.358895454545454,17.259738116100767,11.6221,43260,1.553376430449069,1.0459889999999998,-5.637638116100767,-2.4759122001993252,-2.4759122001993252,0,2.956776265109473,0.010633586575424755,-0.9657872246284732,-0.003473303742224754,1.9909890404809998,0.007160282833200001
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,13.231086363636363,11.796390251916756,20.4138,52447,1.061675122672508,0.8165519999999998,8.617409748083242,6.463057311062432,6.463057311062432,0,1.998006167192542,0.0071584034965706455,0.9291902767953173,0.003118830170845783,2.9271964439878593,0.010277233667416428
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,19.955722727272725,17.79184917853231,26.4081,67105,1.957103409638554,1.584486,8.616250821467691,6.462188116100768,6.462188116100768,0,3.039301656390315,0.010842975604118838,0.9290653131027264,0.0031184107298072297,3.9683669694930415,0.013961386333926067
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,28.679100000000002,25.569318072289157,25.2258,67271,2.8126249879518075,1.513548,-0.3435180722891573,-0.257638554216868,-0.257638554216868,0,4.527270729152385,0.016214169391908437,-0.03704055650197598,-1.243267477590364e-4,4.490230172650409,0.0160898426441494
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,19.010431818181818,16.94905969331873,31.7781,45859,1.8643965662650603,1.9066859999999999,14.829040306681268,11.121780230010952,11.121780230010952,0,3.0911312528397423,0.011005583777841731,1.5989723675654308,0.005366955925874698,4.690103620405173,0.01637253970371643
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,33.99541363636364,30.309163964950713,38.1687,45860,3.3340080361445783,4.198557,7.859536035049288,3.1364686165575972,3.1364686165575972,0,5.675552560899282,0.0202219407966115,1.471740029609118,0.0052437959876884994,7.147292590508401,0.0254657367843
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,46.85318636363636,41.77272037239868,70.2379,12377,4.594999240963855,7.726169,28.465179627601316,10.894649786974647,10.894649786974647,0,8.085299759773696,0.028786709472069984,12.567542330605516,0.028860390181550934,20.65284209037921,0.057647099653620915
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,35.43627272727273,31.593785323110627,41.2799,1730,3.475316385542169,4.540789,9.686114676889371,3.2805940349893024,3.2805940349893024,0,6.5301435313043665,0.023375957416501645,4.276475954603503,0.009820596693063304,10.80661948590787,0.03319655410956495
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,46.48738181818182,41.44658138006571,34.592,0,3.730192324205914,3.1132799999999996,-6.85458138006571,-1.7040800371746383,0,0,9.661418532613096,0.03484397517989572,-3.026337538689736,-0.006949750387946543,6.63508099392336,0.02789422479194918
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,38.73822727272727,34.53769660460022,17.8221,0,3.10839269441402,1.6039889999999999,-16.715596604600222,-3.0402291834538047,0,0,8.864173088025145,0.032117018524977,-7.380033102125254,-0.016947675947858492,1.4841399858998914,0.015169342577118505
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,13.55955,12.089237349397589,9.4839,0,1.088031361445783,0.853551,-2.6053373493975887,-0.45706277510316834,0,0,3.1214027002858735,0.011367147202518071,-0.09307138321127705,-0.002641509853156625,3.0283313170745965,0.008725637349361446
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,25.20962727272727,22.476053231106242,61.0441,0,2.022844790799562,5.493969,38.56804676889376,6.972004862092528,0,0,5.757766907365313,0.021102811330792115,9.88010755644239,0.03621161624740789,15.637874463807702,0.0573144275782
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,39.290977272727275,35.03050985761227,52.6685,0,3.1527458871851044,4.740165,17.63799014238773,3.3105333865397695,0,0,8.849284653323473,0.0325504548512229,4.455647266252529,0.016389273354277104,13.304931919576003,0.0489397282055
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,16.443504545454545,14.660473932092005,17.4619,0,0.8796284359255203,1.047714,2.801426067907995,0.5611083706102628,0,0,3.639761697989107,0.013418306636299782,0.695511164847093,0.0025640640386002185,4.3352728628362,0.0159823706749
