Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.06,SOP,0,9.788265217391304,9.788265217391304,0.06,0,0,-0.29315902948732825,6.918746885896296,0,6.918746885896296,-2.8695183314950077,547.8,0,6.918746885896296,5.65
2,0.06,SOP,0,6.997247826086957,6.997247826086958,0.06,0,0,-0.29803910119134885,4.911794373186882,0,4.911794373186882,-2.085453452900076,547.8,0,4.911794373186882,4.346
3,0.06,SOP,0,5.143930434782609,5.143930434782609,0.06,0,0,-0.3025971302643322,3.587391846938033,0,3.587391846938033,-1.5565385878445763,547.8,0,3.587391846938033,4.362
4,0.06,SOP,0,4.617513043478261,4.617513043478261,0.06,0,0,-0.3079449670679142,3.1955731413686834,0,3.1955731413686834,-1.4219399021095773,547.8,0,3.1955731413686834,4.312
5,0.06,SOP,0,11.510926086956522,11.510926086956522,0.06,0,0,-0.31545314994818996,7.879768194005295,0,7.879768194005295,-3.6311578929512267,547.8,0,7.879768194005295,8.38
6,0.06,SOP,0,14.063734782608696,14.063734782608696,0.06,0,0,-0.327625122331799,9.456101954014546,0,9.456101954014546,-4.60763282859415,547.8,0,9.456101954014546,17.534
7,0.06,SOP,0,22.951478260869564,22.951478260869568,0.06,0,0,-0.3504051621615875,14.909161799021415,0,14.909161799021415,-8.042316461848152,547.8,0,14.909161799021415,9.472
8,0.06,SOP,0,21.388547826086956,21.388547826086956,0.06,0,0,-0.40243004922421227,12.781153471600362,0,12.781153471600362,-8.607394354486594,547.8,0,12.781153471600362,3.968
9,0.09,OP,0,10.285030434782609,10.285030434782609,0.09,0,0,0.7219726502628449,17.71054111581663,0,17.71054111581663,7.4255106810340195,547.8,2478,17.71054111581663,6.978
10,0.09,OP,0,13.266304347826088,13.266304347826088,0.09,0,0,0.7437022528964587,23.132484778914435,0,23.132484778914435,9.866180431088347,547.8,19243,23.132484778914435,8.956
11,0.09,OP,0,18.423165217391304,18.423165217391304,0.09,0,0,0.7637860591756667,32.49452197632482,0,32.49452197632482,14.071356758933515,547.8,96604,32.49452197632482,7.726
12,0.09,OP,1,14.1449,14.1449,0.039999999999999994,-0.5555555555555556,-0.5555555555555556,0.7813183378180719,25.196569756602845,0,25.196569756602845,11.051669756602845,547.8,115965,25.196569756602845,9.956
13,0.11,P,1,22.815826086956523,22.815826086956523,0.06,-0.4545454545454546,-0.4545454545454546,0.8928339571868322,43.18657037866048,0,43.18657037866048,20.370744291703954,547.8,102532,43.18657037866048,13.114
14,0.11,P,1,38.35563043478261,38.35563043478261,0.06,-0.4545454545454546,-0.4545454545454546,0.8113027828324596,69.47366014381512,0,69.47366014381512,31.118029709032513,547.8,49401,69.47366014381512,24.884
15,0.11,P,1,35.61878260869565,35.61878260869565,0.06,-0.4545454545454546,-0.4545454545454546,0.8454714638049575,65.73344687982012,0,65.73344687982012,30.114664271124468,547.8,34274,65.73344687982012,32.98
16,0.11,P,0,40.01291739130435,40.01291739130435,0.11,0,0,0.9966916341571861,79.89345741343998,0,79.89345741343998,39.88054002213563,547.8,30575,79.89345741343998,39.928
17,0.11,P,0,67.5696652173913,67.5696652173913,0.11,0,0,1.1308502941696483,143.98084100542292,0,143.98084100542292,76.41117578803161,547.8,29585,143.98084100542292,61.472
18,0.11,P,0,41.66398695652174,41.66398695652174,0.11,0,0,1.2497278198152904,93.73263054050835,0,93.73263054050835,52.06864358398661,547.8,14459,93.73263054050835,51.536
19,0.09,OP,0,39.58079130434783,39.58079130434783,0.09,0,0,0.4237707574004314,56.353973213899714,0,56.353973213899714,16.773181909551887,547.8,834,56.353973213899714,31.15
20,0.09,OP,0,25.474795652173913,25.474795652173913,0.09,0,0,0.3777408884111052,35.09766759391745,0,35.09766759391745,9.622871941743536,547.8,10,35.09766759391745,15.14
21,0.09,OP,0,9.282930434782608,9.282930434782608,0.09,0,0,0.5589215539101255,14.471360338230902,0,14.471360338230902,5.188429903448293,547.8,0,14.471360338230902,8.61
22,0.09,OP,0,35.07800869565217,35.07800869565217,0.09,0,0,0.5255510447720679,53.513292814175855,0,53.513292814175855,18.435284118523683,547.8,0,53.513292814175855,50.55
23,0.09,OP,0,35.88174782608696,35.88174782608696,0.09,0,0,0.48066511397969447,53.1288522347037,0,53.1288522347037,17.247104408616742,547.8,0,53.1288522347037,61.56
24,0.06,SOP,0,13.623,13.623,0.06,0,0,-0.2864064821932916,9.721284493080788,0,9.721284493080788,-3.9017155069192118,547.8,0,9.721284493080788,9.464
