Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,9.788265217391304,9.788265217391304,5.65,0,0.5872959130434782,0.339,-4.138265217391304,-0.9043085675382129,0,0,2.3312856721881996,0.008707513489943478,-0.9856167762881998,-0.0036813469399434775,1.3456688958999998,0.005026166550000001
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,6.997247826086957,6.997247826086958,4.346,0,0.41983486956521743,0.26076,-2.6512478260869576,-0.5786707889640003,0,0,1.6613816574730265,0.0062084340841565226,-0.6294952840250263,-0.002352367356156523,1.0318863734480002,0.0038560667279999997
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,5.143930434782609,5.143930434782609,4.362,0,0.30863582608695656,0.26172,-0.781930434782609,-0.16956763017344353,0,0,1.2283764210432,0.004599656299408696,-0.1867258745352001,-6.99195157408696e-4,1.041650546508,0.0039004611420000003
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,4.617513043478261,4.617513043478261,4.312,0,0.27705078260869564,0.25872,-0.30551304347826047,-0.06139452121497383,0,0,1.1311243312747303,0.0042301637268,-0.07483968832273034,-2.798844707999996e-4,1.056284642952,0.003950279256
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,11.510926086956522,11.510926086956522,8.38,0,0.6906555652173912,0.5028,-3.1309260869565207,-0.6271683594918693,0,0,2.822026294244109,0.01054179819784348,-0.7675799215441085,-0.0028673271578434777,2.0544463727,0.007674471040000002
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,14.063734782608696,14.063734782608696,17.534,0,0.8438240869565218,1.0520399999999999,3.4702652173913027,0.6550491884319779,0,0,3.4968514577497394,0.013059541927926088,0.8628577096902604,0.0032224778700739114,4.35970916744,0.016282019797999998
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,22.951478260869564,22.951478260869568,9.472,0,1.377088695652174,0.5683199999999999,-13.479478260869568,-2.6445298626674787,0,0,5.704577964018957,0.02132013308904348,-3.350317298930957,-0.012521383905043482,2.354260665088,0.008798749183999997
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,21.388547826086956,21.388547826086956,3.968,0,1.2833128695652174,0.23807999999999999,-17.420547826086956,-4.791705344400947,0,0,4.79832972643907,0.017810329328973914,-3.9081443567110696,-0.014506159856973913,0.890185369728,0.0033041694720000007
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,10.285030434782609,10.285030434782609,6.978,2478,0.9256527391304348,0.6280199999999999,-3.307030434782609,-1.2314640498172436,-1.2314640498172436,0,1.9817412010276434,0.00727600079066087,-0.6372055490956435,-0.0023395123826608698,1.344535651932,0.004936488407999999
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,13.266304347826088,13.266304347826088,8.956,19243,1.1939673913043478,0.80604,-4.310304347826088,-1.7816537721003918,-1.7816537721003918,0,2.3896924352717392,0.008709461467391304,-0.7764258548317394,-0.0028297579073913053,1.61326658044,0.0058797035599999995
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,18.423165217391304,18.423165217391304,7.726,96604,1.6580848695652173,0.69534,-10.697165217391305,-4.6979322411005215,-4.6979322411005215,0,3.156083671522087,0.011350364705113044,-1.832537898662087,-0.006590437913113045,1.32354577286,0.004759926792
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,14.1449,14.1449,9.956,115965,1.2730409999999999,0.3982399999999999,-4.1889,-3.141675,-3.141675,0,2.395783526213,0.008583549667,-0.4516769266233,-0.0015160550658,1.9441065995897,0.0070674946012
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,22.815826086956523,22.815826086956523,13.114,102532,2.5097408695652175,0.78684,-9.701826086956522,-7.276369565217392,-7.276369565217392,0,3.897525058928174,0.013904762971304349,-1.0461197425553914,-0.003511304301043478,2.8514053163727824,0.01039345867026087
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,38.35563043478261,38.35563043478261,24.884,49401,4.219119347826087,1.49304,-13.471630434782611,-10.103722826086958,-10.103722826086958,0,6.791198829575653,0.02432230250508696,-1.4526068016394567,-0.004875679430217392,5.338592027936197,0.019446623074869565
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,35.61878260869565,35.61878260869565,32.98,34274,3.918066086956522,1.9787999999999997,-2.6387826086956565,-1.9790869565217424,-1.9790869565217424,0,6.496073180581566,0.023128450967652175,-0.2845322683097396,-9.550334793043493e-4,6.211540912271826,0.022173417488347825
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,40.01291739130435,40.01291739130435,39.928,30575,4.401420913043478,4.39208,-0.0849173913043515,-0.03388758975571886,-0.03388758975571886,0,7.492632130397269,0.026696178341386958,-0.015901234301270252,-5.6655949386958974e-5,7.476730896095999,0.026639522391999997
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,67.5696652173913,67.5696652173913,61.472,29585,7.432663173913044,6.76192,-6.097665217391302,-2.3337961653781036,-2.3337961653781036,0,13.078415604245503,0.04656408068226522,-2.6921546514014993,-0.006182325201269563,10.386260952844005,0.04038175548099565
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,41.66398695652174,41.66398695652174,51.536,14459,4.583038565217391,5.66896,9.872013043478262,3.343556026756844,3.343556026756844,0,8.611561170337552,0.030826808973247827,4.358551164451501,0.010009076072573914,12.970112334789054,0.04083588504582174
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,39.58079130434783,39.58079130434783,31.15,834,3.5622712173913045,2.8034999999999997,-8.430791304347828,-2.095932977191809,-2.095932977191809,0,9.226492943691635,0.0332754129264,-3.722243385921001,-0.008547844410817393,5.504249557770635,0.02472756851558261
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,25.474795652173913,25.474795652173913,15.14,10,2.292731608695652,1.3626,-10.334795652173913,-1.8796904525755085,-1.8796904525755085,0,6.538160336172013,0.023689318174504346,-4.5628723772715,-0.010478283955008697,1.9752879589005135,0.013211034219495649
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,9.282930434782608,9.282930434782608,8.61,0,0.8354637391304347,0.7748999999999999,-0.672930434782609,-0.11805436714145223,0,0,2.3968231649567393,0.008728460999913043,-0.024039330793252187,-6.822734009391308e-4,2.3727838341634873,0.008046187598973912
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,35.07800869565217,35.07800869565217,50.55,0,3.1570207826086953,4.549499999999999,15.471991304347824,2.7968955557056434,0,0,8.986052647560758,0.03293481252036522,3.9635125707892436,0.014526683579634781,12.949565218350001,0.0474614961
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,35.88174782608696,35.88174782608696,61.56,0,3.229357304347826,5.5404,25.678252173913044,4.819637069953513,0,0,9.064321406181705,0.033341427725243476,6.486750087578296,0.02386030895475652,15.551071493760002,0.05720173668
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,13.623,13.623,9.464,0,0.8173799999999999,0.56784,-4.158999999999999,-0.8330220597649998,0,0,3.382187631954,0.012468736833,-1.0325565852819998,-0.0038066120889999992,2.349631046672,0.008662124744
