Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,12.66251,3.6614486746987946,0.05,0,0,-0.1414136231957761,3.1436699514642656,0,3.1436699514642656,-0.517778723234529,158.39999999999998,0,3.1436699514642656,11.808
2,0.05,SOP,0,7.633735,2.207345060240964,0.05,0,0,-0.14402511013623842,1.8894319448310772,0,1.8894319448310772,-0.31791311540988665,158.39999999999998,0,1.8894319448310772,0.908
3,0.05,SOP,0,4.514245,1.3053238554216866,0.05,0,0,-0.14651391014144421,1.1140757533629502,0,1.1140757533629502,-0.19124810205873644,158.39999999999998,0,1.1140757533629502,0.028
4,0.05,SOP,0,3.898515,1.1272814457831326,0.05,0,0,-0.14948247889007799,0.9587726208606789,0,0.9587726208606789,-0.16850882492245367,158.39999999999998,0,0.9587726208606789,0.028
5,0.05,SOP,0,8.162425,2.360219277108434,0.05,0,0,-0.15369322010192266,1.9974695762630066,0,1.9974695762630066,-0.36274970084542724,158.39999999999998,0,1.9974695762630066,0.028
6,0.05,SOP,0,8.17275,2.3632048192771085,0.05,0,0,-0.16055590338710227,1.9837783346293185,0,1.9837783346293185,-0.37942648464778994,158.39999999999998,0,1.9837783346293185,9.208
7,0.05,SOP,0,13.33618,3.8562448192771086,0.05,0,0,-0.17343091599944632,3.1874527479517605,0,3.1874527479517605,-0.6687920713253481,158.39999999999998,0,3.1874527479517605,5.712
8,0.05,SOP,0,18.98051,5.488340240963855,0.05,0,0,-0.2028643939686308,4.374951424087073,0,4.374951424087073,-1.1133888168767818,158.39999999999998,47,4.374951424087073,1.592
9,0.12,OP,0,12.19484,3.5262187951807222,0.12,0,0,0.34338814297280795,4.7370805189736425,0,4.7370805189736425,1.2108617237929202,158.39999999999998,374,4.7370805189736425,17.332
10,0.12,OP,0,12.510465,3.6174838554216873,0.12,0,0,0.3562880433039023,4.906350099953337,0,4.906350099953337,1.2888662445316497,158.39999999999998,45097,4.906350099953337,13.18
11,0.12,OP,0,16.46972,4.762328674698795,0.12,0,0,0.36826538284454546,6.5161294673183034,0,6.5161294673183034,1.7538007926195087,158.39999999999998,117871,6.5161294673183034,2.16
12,0.12,OP,1,13.025515,3.766413975903615,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.3787376070650924,5.192896592353871,0,5.192896592353871,1.4264826164502562,158.39999999999998,102274,5.192896592353871,0.028
13,0.29,P,1,23.32234,6.743809156626506,0.24,-0.17241379310344826,-0.17241379310344826,0.4177106217431608,9.560769872358184,0,9.560769872358184,2.8169607157316783,158.39999999999998,93877,9.560769872358184,0.34
14,0.29,P,1,35.148604999999996,10.16345204819277,0.24,-0.17241379310344826,-0.17241379310344826,0.3951039406067892,14.179072002601876,0,14.179072002601876,4.015619954409106,158.39999999999998,68622,14.179072002601876,16.568
15,0.29,P,1,33.36946,9.649000481927711,0.24,-0.17241379310344826,-0.17241379310344826,0.4158832912682089,13.661858559800342,0,13.661858559800342,4.012858077872631,158.39999999999998,52139,13.661858559800342,23.656
16,0.29,P,0,41.178545,11.907049156626506,0.29,0,0,0.480267096556467,17.625613083634647,0,17.625613083634647,5.718563927008141,158.39999999999998,38783,17.625613083634647,20.912
17,0.29,P,0,69.26852,20.02945156626506,0.29,0,0,0.5374144866601854,30.793568997834445,0,30.793568997834445,10.764117431569385,158.39999999999998,55195,30.793568997834445,9.892
18,0.29,P,0,37.43441,10.824407710843374,0.29,0,0,0.5880653114808845,17.18986640291657,0,17.18986640291657,6.365458692073197,158.39999999999998,26782,17.18986640291657,11.924
19,0.12,OP,0,37.042695,10.711140722891567,0.12,0,0,0.16249229876709118,12.45161860137202,0,12.45161860137202,1.740477878480453,158.39999999999998,2596,12.45161860137202,16.124
20,0.12,OP,0,22.286215,6.444206746987952,0.12,0,0,0.13635590056216723,7.322912361382288,0,7.322912361382288,0.8787056143943364,158.39999999999998,243,7.322912361382288,4.268
21,0.12,OP,0,7.09647,2.0519913253012048,0.12,0,0,0.24104588088344392,2.546615381873619,0,2.546615381873619,0.49462405657241426,158.39999999999998,113,2.546615381873619,1.216
22,0.12,OP,0,35.49516,10.263660722891567,0.12,0,0,0.22133973825046327,12.535416700787948,0,12.535416700787948,2.2717559778963814,158.39999999999998,0,12.535416700787948,30.42
23,0.12,OP,0,34.407635,9.949195662650602,0.12,0,0,0.1947360896789792,11.88666312144624,0,11.88666312144624,1.9374674587956378,158.39999999999998,0,11.88666312144624,10.84
24,0.05,SOP,0,14.584405,4.21717734939759,0.05,0,0,-0.13786297516506674,3.6357847332109086,0,3.6357847332109086,-0.5813926161866818,158.39999999999998,0,3.6357847332109086,21.54
