Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,12.66251,3.6614486746987946,11.808,0,0.18307243373493975,0.5904,8.146551325301205,1.7802136335775258,0,0,0.8720526717657425,0.0032571771421792766,1.9402762349222573,0.007247066153820723,2.8123289066879997,0.010504243295999999
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,7.633735,2.207345060240964,0.908,0,0.1103672530120482,0.0454,-1.299345060240964,-0.2835996785166072,0,0,0.5240978576070882,0.0019585066369098795,-0.3085081597030882,-0.0011528672929098796,0.21558969790399996,8.056393439999998e-4
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,4.514245,1.3053238554216866,0.028,0,0.06526619277108434,0.0014000000000000002,-1.2773238554216866,-0.2769975045006125,0,0,0.3117128169119508,0.0011672088436033734,-0.3050263851599508,-0.0011421714956033734,0.0066864317520000105,2.5037348000000017e-5
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,3.898515,1.1272814457831326,0.028,0,0.05636407228915663,0.0014000000000000002,-1.0992814457831326,-0.22090663389028772,0,0,0.27614333939365737,0.001032717187140723,-0.2692843482056574,-0.0010070660231407229,0.006858991187999985,2.565116400000001e-5
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,8.162425,2.360219277108434,0.028,0,0.1180109638554217,0.0014000000000000002,-2.332219277108434,-0.46717619559689155,0,0,0.5786329275217229,0.0021615076957301207,-0.5717684289017229,-0.002135865071730121,0.006864498620000048,2.5642623999999874e-5
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,8.17275,2.3632048192771085,9.208,0,0.11816024096385543,0.46040000000000003,6.844795180722892,1.2920273371745783,0,0,0.5875947139922891,0.002194464905566265,1.701911503287711,0.006356056270433735,2.28950621728,0.008550521176
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,13.33618,3.8562448192771086,5.712,0,0.19281224096385544,0.2856,1.8557551807228911,0.36407937297307363,0,0,0.9584676407277745,0.0035821506500125304,0.4612469833202254,0.0017238518139874694,1.4197146240479999,0.005306002464
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,18.98051,5.488340240963855,1.592,47,0.27441701204819274,0.0796,-3.896340240963855,-1.0717294623922689,-1.0717294623922689,0,1.2312601276702293,0.004570162872011566,-0.8741091426382294,-0.003244498104011566,0.35715098503199993,0.0013256647680000002
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,12.19484,3.5262187951807222,17.332,374,0.42314625542168666,2.07984,13.80578120481928,5.140963643564149,5.140963643564149,0,0.6794392213575786,0.0024945741195874695,2.6601268318504214,0.009766706632412532,3.3395660532080003,0.012261280752000002
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,12.510465,3.6174838554216873,13.18,45097,0.43409806265060247,1.5816,9.562516144578312,3.952642687134504,3.952642687134504,0,0.6516263744119085,0.002374914325922892,1.7225198437880915,0.006277887474077108,2.3741462182,0.0086528018
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,16.46972,4.762328674698795,2.16,117871,0.5714794409638554,0.2592,-2.6023286746987946,-1.14287884073546,-1.14287884073546,0,0.8158374302831422,0.00293403259785253,-0.4458065126831421,-0.00160327387785253,0.37003091760000006,0.0013307587200000002
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,13.025515,3.766413975903615,0.028,102274,0.4519696771084338,0.00196,-3.738413975903615,-2.803810481927711,-2.803810481927711,0,0.6379339943278699,0.002285572992997591,-0.4031023264059147,-0.001353014262986988,0.2348316679219552,9.32558730010603e-4
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,23.32234,6.743809156626506,0.34,93877,1.9557046554216866,0.0816,-6.403809156626506,-4.802856867469879,-4.802856867469879,0,1.1520146182919653,0.0041099133333686744,-0.6905041511010545,-0.0023176794175845785,0.4615104671909108,0.001792233915784096
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,35.148604999999996,10.16345204819277,16.568,68622,2.947401093975903,3.9763200000000003,6.404547951807231,4.803410963855423,4.803410963855423,0,1.7995278104343901,0.006444909193512289,0.6905838132406696,0.0023179468038139767,2.49011162367506,0.008762855997326267
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,33.36946,9.649000481927711,23.656,52139,2.798210139759036,5.67744,14.006999518072288,10.505249638554215,10.505249638554215,0,1.7597629300998883,0.0062654144299315664,1.5103340957141338,0.005069441279579758,3.270097025814022,0.011334855709511324
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,41.178545,11.907049156626506,20.912,38783,3.4530442554216867,6.06448,9.004950843373493,3.5935639951179006,3.5935639951179006,0,2.2296584429644164,0.007944252219760481,1.6862250598195834,0.006008004148239517,3.9158835027839998,0.013952256367999998
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,69.26852,20.02945156626506,9.892,55195,5.808540954216867,2.8686799999999995,-10.13745156626506,-3.879967946514668,-3.879967946514668,0,3.8767913244196164,0.013802835869505542,-4.475743815786882,-0.010278199943811085,-0.5989524913672657,0.0035246359256944568
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,37.43441,10.824407710843374,11.924,26782,3.139078236144578,3.4579599999999995,1.0995922891566252,0.37242135005218846,0.37242135005218846,0,2.237305067128485,0.008008881845583616,0.4854763897918115,0.0011148590284992758,2.7227814569202966,0.009123740874082891
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,37.042695,10.711140722891567,16.124,2596,1.285336886746988,1.9348799999999997,5.412859277108431,1.3456613798445556,1.3456613798445556,0,2.496823864352389,0.00900481316117205,2.389808846620069,0.005488011415311805,4.886632710972458,0.014492824576483855
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,22.286215,6.444206746987952,4.268,243,0.7733048096385542,0.51216,-2.176206746987952,-0.39580802396254505,-0.39580802396254505,0,1.6539193297769683,0.00599254518450506,-0.9608079334374146,-0.0022064212014631327,0.6931113963395538,0.003786123983041927
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,7.09647,2.0519913253012048,1.216,113,0.24623895903614457,0.14592,-0.8359913253012048,-0.14666066764547564,-0.14666066764547564,0,0.5298176451203133,0.0019294258834409639,-0.029864412382681445,-8.475982288616867e-4,0.4999532327376318,0.0010818276545792771
