Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,7.7059999999999995,7.7059999999999995,0.05,0,0,0,7.7059999999999995,0,7.7059999999999995,0,231,0,7.7059999999999995,5.652
2,0.05,SOP,0,4.842173913043478,4.842173913043478,0.05,0,0,0,4.842173913043478,0,4.842173913043478,0,231,0,4.842173913043478,3.312
3,0.05,SOP,0,2.12,2.12,0.05,0,0,0,2.12,0,2.12,0,231,0,2.12,0.2
4,0.05,SOP,0,0.7371304347826088,0.7371304347826088,0.05,0,0,0,0.7371304347826088,0,0.7371304347826088,0,231,0,0.7371304347826088,0
5,0.05,SOP,0,0.703304347826087,0.703304347826087,0.05,0,0,0,0.703304347826087,0,0.703304347826087,0,231,0,0.703304347826087,0
6,0.05,SOP,0,0.44421739130434784,0.44421739130434784,0.05,0,0,0,0.44421739130434784,0,0.44421739130434784,0,231,0,0.44421739130434784,0
7,0.05,SOP,0,0.9150434782608695,0.9150434782608695,0.05,0,0,0,0.9150434782608695,0,0.9150434782608695,0,231,0,0.9150434782608695,0
8,0.05,SOP,0,0.8981304347826087,0.8981304347826087,0.05,0,0,0,0.8981304347826087,0,0.8981304347826087,0,231,0,0.8981304347826087,0
9,0.12,OP,0,0.5588260869565217,0.5588260869565217,0.12,0,0,0,0.5588260869565217,0,0.5588260869565217,0,231,1657,0.5588260869565217,0
10,0.12,OP,0,0.6147826086956522,0.6147826086956522,0.12,0,0,0,0.6147826086956522,0,0.6147826086956522,0,231,10392,0.6147826086956522,0
11,0.12,OP,0,0.28508695652173915,0.28508695652173915,0.12,0,0,0,0.28508695652173915,0,0.28508695652173915,0,231,35800,0.28508695652173915,0
12,0.12,OP,1,1.0958695652173913,1.0958695652173913,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.16666666666666669,1.2785144927536234,0,1.2785144927536234,0.18264492753623207,231,20391,1.2785144927536234,0
13,0.29,P,1,3.978695652173913,3.978695652173913,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,4.218789355322339,0,4.218789355322339,0.2400937031484256,231,31734,4.218789355322339,0
14,0.29,P,1,2.735826086956522,2.735826086956522,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,2.90091904047976,0,2.90091904047976,0.16509295352323816,231,12668,2.90091904047976,0
15,0.29,P,1,2.166434782608696,2.166434782608696,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,2.297167916041979,0,2.297167916041979,0.1307331334332833,231,11793,2.297167916041979,0.276
16,0.29,P,0,4.026826086956522,4.026826086956522,0.29,0,0,0,4.026826086956522,0,4.026826086956522,0,231,12469,4.026826086956522,5.36
17,0.29,P,0,6.93304347826087,6.93304347826087,0.29,0,0,0,6.93304347826087,0,6.93304347826087,0,231,6504,6.93304347826087,3.692
18,0.29,P,0,4.735739130434783,4.735739130434783,0.29,0,0,0,4.735739130434783,0,4.735739130434783,0,231,3024,4.735739130434783,3.692
19,0.12,OP,0,7.141217391304348,7.141217391304348,0.12,0,0,0,7.141217391304348,0,7.141217391304348,0,231,1590,7.141217391304348,5.06
20,0.12,OP,0,11.201434782608695,11.201434782608695,0.12,0,0,0,11.201434782608695,0,11.201434782608695,0,231,450,11.201434782608695,5.884
21,0.12,OP,0,5.655043478260869,5.655043478260869,0.12,0,0,0,5.655043478260869,0,5.655043478260869,0,231,7,5.655043478260869,10.328
22,0.12,OP,0,6.135869565217392,6.135869565217391,0.12,0,0,0,6.135869565217391,0,6.135869565217391,0,231,0,6.135869565217391,16.536
23,0.12,OP,0,4.853608695652174,4.853608695652174,0.12,0,0,0,4.853608695652174,0,4.853608695652174,0,231,0,4.853608695652174,12.376
24,0.05,SOP,0,4.15095652173913,4.15095652173913,0.05,0,0,0,4.15095652173913,0,4.15095652173913,0,231,0,4.15095652173913,9.24
