Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,7.7059999999999995,7.7059999999999995,5.652,0,0.3853,0.2826,-2.0539999999999994,-0.44884745180599983,0,0,1.8353494711159999,0.006855157421999999,-0.48920423224399984,-0.0018272116979999994,1.346145238872,0.0050279457239999995
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,4.842173913043478,4.842173913043478,3.312,0,0.2421086956521739,0.1656,-1.5301739130434782,-0.33398120567999995,0,0,1.149694725893913,0.00429630596347826,-0.36331468243791304,-0.0013576743474782607,0.786380043456,0.0029386316159999994
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,2.12,2.12,0.2,0,0.10600000000000001,0.010000000000000002,-1.9200000000000002,-0.41636677056,0,0,0.50625840408,0.0018956849200000001,-0.45849817728000003,-0.0017168467200000001,0.04776022679999997,1.7883820000000003e-4
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0.7371304347826088,0.7371304347826088,0,0,0.03685652173913044,0,-0.7371304347826088,-0.14813040255573914,0,0,0.18057039844930436,0.00067529477400000005,-0.18057039844930436,-0.00067529477400000005,0,0
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0.703304347826087,0.703304347826087,0,0,0.03516521739130435,0,-0.703304347826087,-0.14088171416347825,0,0,0.1724225616104348,6.440917481739131e-4,-0.1724225616104348,-6.440917481739131e-4,0,0
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0.44421739130434784,0.44421739130434784,0,0,0.022210869565217395,0,-0.44421739130434784,-0.08385072132326087,0,0,0.11045161590086958,4.124989369130435e-4,-0.11045161590086958,-4.124989369130435e-4,0,0
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0.9150434782608695,0.9150434782608695,0,0,0.04575217391304348,0,-0.9150434782608695,-0.17952177058104346,0,0,0.22743357978408693,8.500040179130435e-4,-0.22743357978408693,-8.500040179130435e-4,0,0
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0.8981304347826087,0.8981304347826087,0,0,0.044906521739130435,0,-0.8981304347826087,-0.24704024507613043,0,0,0.20148754363682608,7.478768055652174e-4,-0.20148754363682608,-7.478768055652174e-4,0,0
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0.5588260869565217,0.5588260869565217,0,1657,0.06705913043478261,0,-0.5588260869565217,-0.20809431596060868,-0.20809431596060868,0,0.10767578061660868,3.953336916521739e-4,-0.10767578061660868,-3.953336916521739e-4,0,0
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0.6147826086956522,0.6147826086956522,0,10392,0.07377391304347826,0,-0.6147826086956522,-0.25411888939043475,-0.25411888939043475,0,0.11074232211304348,4.036109304347826e-4,-0.11074232211304348,-4.036109304347826e-4,0,0
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,0.28508695652173915,0.28508695652173915,0,35800,0.0342104347826087,0,-0.28508695652173915,-0.12520318956869567,-0.12520318956869567,0,0.04883842042478261,1.7563979321739132e-4,-0.04883842042478261,-1.7563979321739132e-4,0,0
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1.0958695652173913,1.0958695652173913,0,20391,0.13150434782608694,0,-1.0958695652173913,-0.8219021739130434,-0.8219021739130434,0,0.18561221721086957,6.650065282608696e-4,-0.11816443390804347,-3.966193047826087e-4,0.0674477833028261,2.6838722347826094e-4
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,3.978695652173913,3.978695652173913,0,31734,1.1538217391304348,0,-3.978695652173913,-2.984021739130435,-2.984021739130435,0,0.6796627019813043,0.0024247563847826087,-0.4290112020204348,-0.0014399774878260869,0.2506514999608695,9.847788969565218e-4
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,2.735826086956522,2.735826086956522,0,12668,0.7933895652173912,0,-2.735826086956522,-2.0518695652173915,-2.0518695652173915,0,0.48440186509913047,0.0017348584532173915,-0.2949961848533913,-9.901556490434782e-4,0.18940568024573917,7.447028041739133e-4
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,2.166434782608696,2.166434782608696,0.276,11793,0.6282660869565218,0.06624000000000001,-1.8904347826086958,-1.4178260869565218,-1.4178260869565218,0,0.39510948600886964,0.0014067375966956522,-0.20384009467652175,-6.841899373913043e-4,0.19126939133234788,7.225476593043479e-4
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,4.026826086956522,4.026826086956522,5.36,12469,1.1677795652173912,1.5544,1.3331739130434785,0.5320235342171741,0.5320235342171741,0,0.7540446558193044,0.002686654070130435,0.2496439237006957,8.894789698695654e-4,1.0036885795200001,0.0035761330400000003
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,6.93304347826087,6.93304347826087,3.692,6504,2.010582608695652,1.07068,-3.2410434782608695,-1.2404641074448695,-1.2404641074448695,0,1.3419220551008695,0.004777747453043478,-1.43093954232,-0.0032860421259130437,-0.0890174872191305,0.0014917053271304346
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,4.735739130434783,4.735739130434783,3.692,3024,1.3733643478260869,1.07068,-1.0437391304347825,-0.3535044214951304,-0.3535044214951304,0,0.9788335247670434,0.003503930760956522,-0.46081689543,-0.001058230404521739,0.5180166293370434,0.002445700356434783
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,7.141217391304348,7.141217391304348,5.06,1590,0.8569460869565217,0.6072,-2.0812173913043486,-0.5174000880427828,-0.5174000880427828,0,1.6646557509071305,0.006003592896,-0.9188695805400003,-0.0021101130135652182,0.7457861703671301,0.003893479882434782
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,11.201434782608695,11.201434782608695,5.884,450,1.3441721739130434,0.70608,-5.317434782608695,-0.9671339162821302,-0.9671339162821302,0,2.8748719951996957,0.010416348621565217,-2.347678377405,-0.005391262047130434,0.5271936177946959,0.0050250865744347825
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,5.655043478260869,5.655043478260869,10.328,7,0.6786052173913043,1.2393599999999998,4.67295652173913,0.8197919076607825,0.8197919076607825,0,1.460114271323913,0.0053172677313043475,0.1669336707067826,0.004737835850086957,1.6270479420306956,0.010055103581391304
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,6.135869565217392,6.135869565217391,16.536,0,0.7363043478260869,1.98432,10.40013043478261,1.8800475012953484,0,0,1.5718465500706522,0.005760980206521739,2.6642367427213487,0.009764703265478262,4.236083292792001,0.015525683472
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,4.853608695652174,4.853608695652174,12.376,0,0.5824330434782609,1.4851199999999998,7.522391304347826,1.4119027938343478,0,0,1.2261016216507827,0.004509987760826086,1.9002801328452175,0.006989828567173913,3.126381754496,0.011499816327999998
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,4.15095652173913,4.15095652173913,9.24,0,0.20754782608695652,0.462,5.08904347826087,1.0193040347426088,0,0,1.0305596277328695,0.0037992501266086954,1.2634588497871306,0.004657853913391305,2.29401847752,0.00845710404
