Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,8.431818181818182,5.540909090909091,0.05,0,0,-0.1414136231957761,4.757349060565223,0,4.757349060565223,-0.7835600303438683,151.79999999999998,0,4.757349060565223,5.721
2,0.05,SOP,0,4.908227272727273,3.2254064935064934,0.05,0,0,-0.14402511013623842,2.7608669680450824,0,2.7608669680450824,-0.4645395254614111,151.79999999999998,0,2.7608669680450824,0.03
3,0.05,SOP,0,3.6175454545454544,2.3772441558441555,0.05,0,0,-0.14651391014144421,2.0289448192105315,0,2.0289448192105315,-0.348299336633624,151.79999999999998,0,2.0289448192105315,0.045
4,0.05,SOP,0,2.8249545454545455,1.8563987012987013,0.05,0,0,-0.14948247889007799,1.5788996216202502,0,1.5788996216202502,-0.2774990796784511,151.79999999999998,0,1.5788996216202502,0.045
5,0.05,SOP,0,3.3269545454545453,2.1862844155844154,0.05,0,0,-0.15369322010192266,1.8502673236945966,0,1.8502673236945966,-0.3360170918898189,151.79999999999998,0,1.8502673236945966,0.045
6,0.05,SOP,0,0.6966818181818182,0.4578194805194805,0.05,0,0,-0.16055590338710227,0.38431386023646147,0,0.38431386023646147,-0.07350562028301905,151.79999999999998,0,0.38431386023646147,0.03
7,0.05,SOP,0,0.2838636363636364,0.18653896103896106,0.05,0,0,-0.17343091599944632,0.15418733815638902,0,0.15418733815638902,-0.03235162288257204,151.79999999999998,0,0.15418733815638902,0.045
8,0.05,SOP,0,0.33281818181818185,0.21870909090909094,0.05,0,0,-0.2028643939686308,0.17434080372638802,0,0.17434080372638802,-0.044368287182702915,151.79999999999998,2843,0.17434080372638802,0.03
9,0.12,OP,0,1.1210454545454545,0.736687012987013,0.12,0,0,0.34338814297280795,0.9896565983288081,0,0.9896565983288081,0.25296958534179514,151.79999999999998,10667,0.9896565983288081,3.398
10,0.12,OP,0,1.392,0.9147428571428571,0.12,0,0,0.3562880433039023,1.2406547998405069,0,1.2406547998405069,0.3259119426976498,151.79999999999998,24759,1.2406547998405069,3.666
11,0.12,OP,0,2.657,1.7460285714285715,0.12,0,0,0.36826538284454546,2.389030451743229,0,2.389030451743229,0.6430018803146575,151.79999999999998,7233,2.389030451743229,0.297
12,0.12,OP,1,2.9640909090909093,1.9478311688311691,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.3787376070650924,2.685548084681088,0,2.685548084681088,0.737716915849919,151.79999999999998,29088,2.685548084681088,0.554
13,0.29,P,1,5.2197272727272725,3.4301064935064933,0.24,-0.17241379310344826,-0.17241379310344826,0.4177106217431608,4.862898409554344,0,4.862898409554344,1.4327919160478504,151.79999999999998,30410,4.862898409554344,5.21
14,0.29,P,1,4.2755,2.809614285714286,0.24,-0.17241379310344826,-0.17241379310344826,0.3951039406067892,3.919703961585129,0,3.919703961585129,1.1100896758708432,151.79999999999998,21709,3.919703961585129,5.901
15,0.29,P,1,3.1371818181818183,2.0615766233766233,0.24,-0.17241379310344826,-0.17241379310344826,0.4158832912682089,2.918951894708094,0,2.918951894708094,0.8573752713314708,151.79999999999998,21660,2.918951894708094,1.834
16,0.29,P,0,5.74309090909091,3.774031168831169,0.29,0,0,0.480267096556467,5.586574160599324,0,5.586574160599324,1.8125429917681548,151.79999999999998,39583,5.586574160599324,0.03
17,0.29,P,0,9.106045454545455,5.983972727272727,0.29,0,0,0.5374144866601854,9.19984635868855,0,9.19984635868855,3.215873631415823,151.79999999999998,23362,9.19984635868855,0.885
18,0.29,P,0,7.362727272727273,4.838363636363637,0.29,0,0,0.5880653114808845,7.683637455239603,0,7.683637455239603,2.8452738188759668,151.79999999999998,21054,7.683637455239603,5.789
19,0.12,OP,0,13.99090909090909,9.194025974025974,0.12,0,0,0.16249229876709118,10.687984389469799,0,10.687984389469799,1.4939584154438244,151.79999999999998,7609,10.687984389469799,4.593
20,0.12,OP,0,16.676545454545455,10.958872727272727,0.12,0,0,0.13635590056216723,12.453179687146173,0,12.453179687146173,1.4943069598734464,151.79999999999998,1959,12.453179687146173,5.929
21,0.12,OP,0,8.338454545454546,5.479555844155844,0.12,0,0,0.24104588088344392,6.800380209460413,0,6.800380209460413,1.3208243653045688,151.79999999999998,319,6.800380209460413,1.214
22,0.12,OP,0,9.741,6.401228571428571,0.12,0,0,0.22133973825046327,7.818074827909959,0,7.818074827909959,1.4168462564813877,151.79999999999998,0,7.818074827909959,0.045
23,0.12,OP,0,10.006636363636364,6.57578961038961,0.12,0,0,0.1947360896789792,7.8563331656685405,0,7.8563331656685405,1.2805435552789302,151.79999999999998,0,7.8563331656685405,0.045
24,0.05,SOP,0,5.960181818181818,3.916690909090909,0.05,0,0,-0.13786297516506674,3.376724247561666,0,3.376724247561666,-0.5399666615292427,151.79999999999998,0,3.376724247561666,4.305
