Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,8.431818181818182,5.540909090909091,5.721,0,0.27704545454545454,0.28605,0.18009090909090908,0.03935411180081818,0,0,1.3196865519727272,0.004929120695454545,0.04289251943327272,1.6020653154545452e-4,1.362579071406,0.005089327227
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,4.908227272727273,3.2254064935064934,0.03,0,0.16127032467532468,0.0015,-3.1954064935064936,-0.6974407969198442,0,0,0.7658198365117455,0.0028617999686805194,-0.7586968288717455,-0.0028351819286805196,0.0071230076399999565,2.6618039999999794e-5
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,3.6175454545454544,2.3772441558441555,0.045,0,0.11886220779220778,0.00225,-2.3322441558441556,-0.5057650871490961,0,0,0.5676886002104571,0.0021257103289584415,-0.556942549180457,-0.0020854717339584415,0.010746051030000037,4.023859499999996e-5
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,2.8249545454545455,1.8563987012987013,0.045,0,0.09281993506493508,0.00225,-1.8113987012987014,-0.36401050092505327,0,0,0.45475079762937276,0.0017006709834428571,-0.44372741893437273,-0.0016594458984428573,0.01102337869500003,4.122508499999986e-5
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,3.3269545454545453,2.1862844155844154,0.045,0,0.10931422077922077,0.00225,-2.1412844155844155,-0.42892926783622076,0,0,0.5359909412038116,0.0020022167580675326,-0.5249587112788117,-0.0019610053980675325,0.01103222992499997,4.121136000000006e-5
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0.6966818181818182,0.4578194805194805,0.03,0,0.022890974025974026,0.0015,-0.4278194805194805,-0.08075544258266883,0,0,0.11383368234592207,4.25129796151948e-4,-0.10637438754592207,-3.9727188615194803e-4,0.007459294800000002,2.7857909999999997e-5
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0.2838636363636364,0.18653896103896106,0.045,0,0.009326948051948053,0.00225,-0.14153896103896108,-0.02776843450128572,0,0,0.04636416157943507,1.7328014476623377e-4,-0.035179435024435074,-1.314786547662338e-4,0.011184726554999996,4.180148999999997e-5
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0.33281818181818185,0.21870909090909094,0.03,2843,0.010935454545454547,0.0015,-0.18870909090909094,-0.051906425014490915,-0.051906425014490915,0,0.049065431691981826,1.8211993483636366e-4,-0.042335199561981826,-1.5713881483636366e-4,0.0067302321299999995,2.498111999999999e-5
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1.1210454545454545,0.736687012987013,3.398,10667,0.08840244155844156,0.40776,2.661312987012987,0.9910133376301012,0.9910133376301012,0,0.14194639628494285,5.211589137194805e-4,0.5127873591270571,0.0018827086142805193,0.654733755412,0.0024038675279999997
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1.392,0.9147428571428571,3.666,24759,0.10976914285714284,0.43992,2.751257142857143,1.1372254186788,1.1372254186788,0,0.16477490856685714,6.005378331428572e-4,0.49559079977314285,0.001806227826857143,0.66036570834,0.00240676566
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,2.657,1.7460285714285715,0.297,7233,0.20952342857142858,0.03564,-1.4490285714285716,-0.6363777604297143,-0.6363777604297143,0,0.2991132196488572,0.0010757142346285715,-0.24823396847885718,-8.927349106285715e-4,0.05087925117,1.82979324e-4
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,2.9640909090909093,1.9478311688311691,0.554,29088,0.2337397402597403,0.03878,-1.393831168831169,-1.0453733766233768,-1.0453733766233768,0,0.3299126770871429,0.0011820023881818184,-0.15029276864318183,-5.044581642857143e-4,0.17961990844396106,6.775442238961041e-4
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,5.2197272727272725,3.4301064935064933,5.21,30410,0.994730883116883,1.2504,1.7798935064935066,1.33492012987013,1.33492012987013,0,0.5859496808172389,0.00209042695087013,0.19192074977434548,6.441826176571429e-4,0.7778704305915843,0.002734609568527273
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,4.2755,2.809614285714286,5.901,21709,0.8147881428571428,1.41624,3.091385714285714,2.3185392857142855,2.3185392857142855,0,0.49746670912228574,0.0017816494685428575,0.33333514727869995,0.0011188405004857141,0.8308018564009857,0.002900489969028572
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,3.1371818181818183,2.0615766233766233,1.834,21660,0.5978572207792208,0.44016,-0.2275766233766232,-0.1706824675324674,-0.1706824675324674,0,0.3759856915929896,0.0013386497335870129,-0.024538926643763618,-8.236498668571422e-5,0.351446764949226,0.0012562847469012987
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,5.74309090909091,3.774031168831169,0.03,39583,1.094469038961039,0.0087,-3.744031168831169,-1.4941131649609871,-1.4941131649609871,0,0.7067074594978285,0.002517992081501299,-0.7010897995378286,-0.002497976411501299,0.0056176599599999655,2.0015669999999888e-5
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,9.106045454545455,5.983972727272727,0.885,23362,1.7353520909090907,0.25665,-5.098972727272727,-1.951560568516691,-1.951560568516691,0,1.1582251005677635,0.004123717173627272,-2.2512261096173183,-0.005169766864618182,-1.0930010090495548,-0.0010460496909909097
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,7.362727272727273,4.838363636363637,5.789,21054,1.4031254545454546,1.6788099999999997,0.9506363636363631,0.32197140835327254,0.32197140835327254,0,1.0000450619947274,0.0035798617092727275,0.41971148249590884,9.638349989090903e-4,1.4197565444906362,0.004543696708181818
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,13.99090909090909,9.194025974025974,4.593,7609,1.103283116883117,0.55116,-4.6010259740259745,-1.1438359365987274,-1.1438359365987274,0,2.1431763483755844,0.007729380860259741,-2.0313797224985066,-0.004664906618649351,0.11179662587707773,0.00306447424161039
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,16.676545454545455,10.958872727272727,5.929,1959,1.3150647272727272,0.71148,-5.029872727272727,-0.9148321903332179,-0.9148321903332179,0,2.8126179292236,0.010190787255563636,-2.220718057800818,-0.005099707480218181,0.5918998714227821,0.005091079775345455
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,8.338454545454546,5.479555844155844,1.214,319,0.6575467012987013,0.14568,-4.265555844155845,-0.7483202864067507,-0.7483202864067507,0,1.414803921371234,0.005152261973584415,-0.15237995289643638,-0.004324778821496105,1.2624239684747975,8.274831520883102e-4
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,9.741,6.401228571428571,0.045,0,0.7681474285714285,0.005399999999999999,-6.356228571428571,-1.1490251702430856,0,0,1.6398244681163143,0.006010126308171428,-1.6282966652513142,-0.005967875718171429,0.011527802865000103,4.225058999999913e-5
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,10.006636363636364,6.57578961038961,0.045,0,0.7890947532467532,0.005399999999999999,-6.53078961038961,-1.2257857539960624,0,0,1.6611529298098286,0.006110243433342857,-1.6497851874898288,-0.006068429298342857,0.011367742319999818,4.1814135000000155e-5
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,5.960181818181818,3.916690909090909,4.305,0,0.19583454545454546,0.21525,0.38830909090909094,0.07777591698354547,0,0,0.9723984108429817,0.0035848336050545455,0.09640565254701819,3.554080499454546e-4,1.06880406339,0.003940241655
