Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf
1,0.05,SOP,0,9.464741935483872,5.949266359447004,0.05,0,0,0,5.949266359447004,0,5.949266359447004,0,145.2,0,5.949266359447004
2,0.05,SOP,0,5.9359677419354835,3.731179723502304,0.05,0,0,0,3.731179723502304,0,3.731179723502304,0,145.2,0,3.731179723502304
3,0.05,SOP,0,3.7715806451612903,2.3707078341013825,0.05,0,0,0,2.3707078341013825,0,2.3707078341013825,0,145.2,0,2.3707078341013825
4,0.05,SOP,0,2.814258064516129,1.768962211981567,0.05,0,0,0,1.768962211981567,0,1.768962211981567,0,145.2,0,1.768962211981567
5,0.05,SOP,0,3.2152903225806453,2.0210396313364054,0.05,0,0,0,2.0210396313364054,0,2.0210396313364054,0,145.2,0,2.0210396313364054
6,0.05,SOP,0,0.9643225806451613,0.6061456221198157,0.05,0,0,0,0.6061456221198157,0,0.6061456221198157,0,145.2,0,0.6061456221198157
7,0.05,SOP,0,0.9165161290322581,0.5760958525345622,0.05,0,0,0,0.5760958525345622,0,0.5760958525345622,0,145.2,0,0.5760958525345622
8,0.05,SOP,0,0.8810322580645161,0.5537917050691245,0.05,0,0,0,0.5537917050691245,0,0.5537917050691245,0,145.2,2843,0.5537917050691245
9,0.12,OP,0,1.0260967741935483,0.6449751152073732,0.12,0,0,0,0.6449751152073732,0,0.6449751152073732,0,145.2,10667,0.6449751152073732
10,0.12,OP,0,1.8878064516129032,1.186621198156682,0.12,0,0,0,1.186621198156682,0,1.186621198156682,0,145.2,24759,1.186621198156682
11,0.12,OP,0,3.3011290322580646,2.074995391705069,0.12,0,0,0,2.074995391705069,0,2.074995391705069,0,145.2,7233,2.074995391705069
12,0.12,OP,0,2.7792903225806453,1.7469824884792626,0.12,0,0,0,1.7469824884792626,0,1.7469824884792626,0,145.2,29088,1.7469824884792626
13,0.29,P,0,5.4036451612903225,3.396576958525346,0.29,0,0,0,3.396576958525346,0,3.396576958525346,0,145.2,30410,3.396576958525346
14,0.29,P,0,4.5406774193548385,2.8541400921658986,0.29,0,0,0,2.8541400921658986,0,2.8541400921658986,0,145.2,21709,2.8541400921658986
15,0.29,P,0,3.3464193548387096,2.103463594470046,0.29,0,0,0,2.103463594470046,0,2.103463594470046,0,145.2,21660,2.103463594470046
16,0.29,P,0,5.633806451612903,3.541249769585254,0.29,0,0,0,3.541249769585254,0,3.541249769585254,0,145.2,39583,3.541249769585254
17,0.29,P,0,7.453645161290322,4.685148387096774,0.29,0,0,0,4.685148387096774,0,4.685148387096774,0,145.2,23362,4.685148387096774
18,0.29,P,0,5.903741935483871,3.710923502304148,0.29,0,0,0,3.710923502304148,0,3.710923502304148,0,145.2,21054,3.710923502304148
19,0.12,OP,0,10.857967741935484,6.825008294930877,0.12,0,0,0,6.825008294930877,0,6.825008294930877,0,145.2,7609,6.825008294930877
20,0.12,OP,0,13.464806451612903,8.463592626728111,0.12,0,0,0,8.463592626728111,0,8.463592626728111,0,145.2,1959,8.463592626728111
21,0.12,OP,0,7.882290322580645,4.954582488479263,0.12,0,0,0,4.954582488479263,0,4.954582488479263,0,145.2,319,4.954582488479263
22,0.12,OP,0,10.25025806451613,6.443019354838711,0.12,0,0,0,6.443019354838711,0,6.443019354838711,0,145.2,0,6.443019354838711
23,0.12,OP,0,10.95316129032258,6.884844239631336,0.12,0,0,0,6.884844239631336,0,6.884844239631336,0,145.2,0,6.884844239631336
24,0.05,SOP,0,7.152354838709678,4.4957658986175115,0.05,0,0,0,4.4957658986175115,0,4.4957658986175115,0,145.2,0,4.4957658986175115
