Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,9.464741935483872,5.949266359447004,5.1079590482008586,0,-0.8413073112461458,0.2974633179723502,0.25539795241004293,-0.18384549310544782,0,0,1.4169456094393031,0.005292390012901382,-0.20037541250215904,-7.48416047089525e-4,1.216570196937144,0.004543973965811857
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,5.9359677419354835,3.731179723502304,3.193796152886785,0,-0.537383570615519,0.1865589861751152,0.15968980764433927,-0.11729125120805457,0,0,0.8859073892239999,0.003310556370912442,-0.12759290930349404,-4.768032459328903e-4,0.7583144799205059,0.0028337531249795515
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,3.7715806451612903,2.3707078341013825,2.023366159524235,0,-0.3473416745771476,0.11853539170506913,0.10116830797621175,-0.07532371423155698,0,0,0.5661277191660941,0.0021198656088829496,-0.08294558577448181,-3.105897993318142e-4,0.48318213339161226,0.0018092758095511353
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,2.814258064516129,1.768962211981567,1.5045333554716867,0,-0.26442885650988024,0.08844811059907835,0.07522666777358433,-0.053138428579080674,0,0,0.4333320079959484,0.001620569278905069,-0.06477554273764946,-2.422467130238359e-4,0.36855646525829894,0.0013783225658812331
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,3.2152903225806453,2.0210396313364054,1.7104195424427107,0,-0.31062008889369475,0.10105198156682027,0.08552097712213554,-0.06222155559285245,0,0,0.495479420009788,0.0018508842626949308,-0.07615182755553732,-2.844683623695568e-4,0.41932759245425066,0.001566415900325374
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,0.9643225806451613,0.6061456221198157,0.5088253641762316,0,-0.09732025794358412,0.030307281105990787,0.025441268208811582,-0.018370225902174096,0,0,0.15071396290403688,5.628650062635945e-4,-0.02419801646710786,-9.037129956563839e-5,0.126515946436929,4.7249370669795617e-4
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,0.9165161290322581,0.5760958525345622,0.47618302112601113,0,-0.09991283140855106,0.02880479262672811,0.02380915105630056,-0.019601831852097913,0,0,0.14318832400152626,5.351481115281106e-4,-0.0248332821920102,-9.281122717769407e-5,0.11835504180951606,4.423368843504165e-4
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,0.8810322580645161,0.5537917050691245,0.4414470864354218,2843,-0.11234461863370265,0.027689585253456224,0.02207235432177109,-0.03090157180451417,-0.03090157180451417,0,0.12423822422612352,4.611445679778802e-4,-0.02520351206537141,-9.354981331475873e-5,0.0990347121607521,3.6759475466312144e-4
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,1.0260967741935483,0.6449751152073732,0.8664519222821059,10667,0.22147680707473272,0.07739701382488477,0.1039742306738527,0.08247300143119837,0.08247300143119837,0,0.1242751557760479,4.562786156018432e-4,0.042674614959593515,1.5668066648972062e-4,0.16694977073564143,6.129592820915638e-4
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,1.8878064516129032,1.186621198156682,1.6094001429908587,24759,0.42277894483417655,0.14239454377880184,0.19312801715890304,0.17475464399824464,0.17475464399824464,0,0.21374903111074656,7.790286828018434e-4,0.07615622405255286,2.7755860507308524e-4,0.2899052551632994,0.0010565872878749286
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,0,3.3011290322580646,2.074995391705069,2.839144364032004,7233,0.764148972326935,0.2489994470046083,0.3406973236838405,0.3355954611472295,0.3355954611472295,0,0.35546872630018433,0.0012783880608663596,0.13090682658020036,4.707860686588461e-4,0.4863755528803847,0.0017491741295252057
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,2.7792903225806453,1.7469824884792626,2.408630455750519,29088,0.6616479672712565,0.2096378986175115,0.16860413190253631,0.4962359754534424,0.4962359754534424,0,0.29589405838720734,0.001060121383483871,0.0713435795468106,2.394649556107477e-4,0.3672376379340179,0.0012995863390946186
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,5.4036451612903225,3.396576958525346,4.815363231669462,30410,1.418786273144116,0.9850073179723502,1.1556871756006708,1.064089704858087,1.064089704858087,0,0.5802219810046101,0.002069992878718894,0.1529836050965791,5.134899655488647e-4,0.7332055861011892,0.002583482844267759
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,4.5406774193548385,2.8541400921658986,3.9818220896244694,21709,1.1276819974585708,0.8277006267281105,0.9556373015098726,0.8457614980939281,0.8457614980939281,0,0.505350391419576,0.0018098844400847927,0.12159467612511907,4.081329238842008e-4,0.6269450675446951,0.0022180173639689935
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,1,3.3464193548387096,2.103463594470046,2.978258957201106,21660,0.8747953627310596,0.6100044423963134,0.7147821497282654,0.6560965220482947,0.6560965220482947,0,0.3836249428421143,0.0013658483261880185,0.09432664443235214,3.1660768727035055e-4,0.4779515872744664,0.0016824560134583691
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,0,5.633806451612903,3.541249769585254,5.241995514605222,39583,1.700745745019968,1.0269624331797236,1.5201786992355142,0.6787087215085904,0.6787087215085904,0,0.6631179012986101,0.002362682892519816,0.3184737091313014,0.0011347188528741273,0.9815916104299116,0.0034974017453939434
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,0,7.453645161290322,4.685148387096774,7.203015002475183,23362,2.5178666153784093,1.3586930322580644,2.088874350717803,0.9636782674037361,0.9636782674037361,0,0.9068317502665548,0.003228662252554839,1.111652752083936,0.002552824675466323,2.018484502350491,0.005781486928021162
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,0,5.903741935483871,3.710923502304148,5.893188887568371,21054,2.1822653852642233,1.0761678156682029,1.7090247773948275,0.7391123318767632,0.7391123318767632,0,0.7670136027040295,0.002745678901043318,0.96348285746737,0.002212563957873232,1.7304964601713995,0.004958242858916551
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,0,10.857967741935484,6.825008294930877,7.93401958187866,7609,1.1090112869477835,0.8190009953917051,0.9520823498254392,0.27570523862843915,0.27570523862843915,0,1.5909457289424997,0.005737757173515209,0.48963493208808007,0.0011244087996557667,2.08058066103058,0.006862165973170975
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,0,13.464806451612903,8.463592626728111,9.617653421336941,1959,1.1540607946088297,1.0156311152073734,1.154118410560433,0.20990033381662626,0.20990033381662626,0,2.1721989989297312,0.007870396346705992,0.509524551683319,0.0011700837746811787,2.68172355061305,0.009040480121387171
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,0,7.882290322580645,4.954582488479263,6.148864188824432,319,1.1942817003451696,0.5945498986175115,0.7378637026589319,0.2095167093585439,0.2095167093585439,0,1.2792574677259447,0.004658645276442396,0.04266374556858901,0.001210863107472762,1.3219212132945337,0.005869508383915158
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,0,10.25025806451613,6.443019354838711,7.86911557238138,0,1.4260962175426695,0.7731623225806453,0.9442938686857656,0.25779759659849744,0,0,1.6505301550657812,0.0060493637582967755,0.36532791249675667,0.0013389645908432476,2.015858067562538,0.007388328349140023
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,0,10.95316129032258,6.884844239631336,8.225571884905987,0,1.3407276452746508,0.8261813087557603,0.9870686261887184,0.25164565781630033,0,0,1.7392252273214526,0.0063974179219981565,0.3386899198396133,0.0012458081501721414,2.077915147161066,0.007643226072170298
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,0,7.152354838709678,4.4957658986175115,3.8759662361884515,0,-0.61979966242906,0.2247882949308756,0.19379831180942259,-0.12414205131962185,0,0,1.1161655889645972,0.0041148441497935485,-0.15387790887152838,-5.672846568311082e-4,0.9622876800930688,0.0035475594929624404
