Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,10.54640909090909,3.01325974025974,16.856,0,0.18079558441558438,1.01136,13.842740259740262,3.024965283153234,0,0,0.7176725500416362,0.002680556692558441,3.296946017974364,0.01231432177944156,4.014618568016,0.014994878472000001
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,8.193636363636363,2.341038961038961,4.208,0,0.14046233766233765,0.25248,1.8669610389610392,0.4074895627449351,0,0,0.5558412801672727,0.0020771289568831167,0.4432792581367273,0.0016564947871168833,0.999120538304,0.0037336237439999998
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,4.003681818181818,1.1439090909090908,0,0,0.06863454545454545,0,-1.1439090909090908,-0.2480654864562727,0,0,0.27316678810199996,0.0010228732139090908,-0.27316678810199996,-0.0010228732139090908,0,0
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,2.322090909090909,0.6634545454545454,0,0,0.039807272727272726,0,-0.6634545454545454,-0.13332482863036363,0,0,0.16252246003254545,6.07799334e-4,-0.16252246003254545,-6.07799334e-4,0,0
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,2.6306363636363637,0.7516103896103896,0,0,0.045096623376623374,0,-0.7516103896103896,-0.15055809110051946,0,0,0.1842653029377922,6.883308076883118e-4,-0.1842653029377922,-6.883308076883118e-4,0,0
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,1.0778636363636365,0.307961038961039,0,0,0.018477662337662338,0,-0.307961038961039,-0.05813089663266234,0,0,0.07657240588415586,2.859716968961039e-4,-0.07657240588415586,-2.859716968961039e-4,0,0
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,1.255590909090909,0.3587402597402597,0,0,0.02152441558441558,0,-0.3587402597402597,-0.07038101263742856,0,0,0.08916470465476622,3.332417195584415e-4,-0.08916470465476622,-3.332417195584415e-4,0,0
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1.569909090909091,0.4485454545454545,0,11,0.026912727272727272,0,-0.4485454545454545,-0.12337715628745453,-0.12337715628745453,0,0.10062716766490909,3.7350559418181816e-4,-0.10062716766490909,-3.7350559418181816e-4,0,0
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0.7808181818181819,0.22309090909090912,2.184,11488,0.02007818181818182,0.19656,1.960909090909091,0.7301986171690908,0.7301986171690908,0,0.04298562351600001,1.5782254036363639e-4,0.37783206978,0.0013872176836363637,0.420817693296,0.001545040224
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1.5860454545454545,0.45315584415584415,1.7,32469,0.04078402597402597,0.153,1.2468441558441559,0.5153799857779091,0.5153799857779091,0,0.08162809056584416,2.9750134324675327e-4,0.22459714243415585,8.185656567532468e-4,0.30622523300000004,0.001116067
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,3.8221363636363637,1.0920389610389611,0.032,43260,0.09828350649350649,0.0028799999999999997,-1.0600389610389611,-0.46554307713142856,-0.46554307713142856,0,0.18707786055935066,6.727964675844157e-4,-0.18159592103935066,-6.530815235844156e-4,0.0054819395200000065,1.9714944000000017e-5
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,2.685909090909091,0.7674025974025975,4.696,52447,0.06906623376623378,0.18783999999999995,3.9285974025974024,2.946448051948052,2.946448051948052,0,0.1299783314714286,4.656829181818183e-4,0.42360925320381815,0.001421845829142857,0.5535875846752467,0.0018875287473246753
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,4.694954545454546,1.3414155844155844,1.024,67105,0.1475557142857143,0.06144,-0.3174155844155844,-0.23806168831168828,-0.23806168831168828,0,0.22914799730549348,8.175056066883116e-4,-0.034226001010090906,-1.1487968314285713e-4,0.19492199629540258,7.026259235454545e-4
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,6.263545454545454,1.7895844155844154,0,67271,0.1968542857142857,0,-1.7895844155844154,-1.3421883116883115,-1.3421883116883115,0,0.31686152595532463,0.001134822007116883,-0.19296569236890906,-6.476899708571427e-4,0.12389583358641557,4.8713203625974026e-4
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,3.2328636363636365,0.9236753246753248,3.584,45859,0.10160428571428573,0.21504,2.6603246753246754,1.9952435064935066,1.9952435064935066,0,0.16845782097907794,5.997728695974026e-4,0.28685508681772726,9.628300271428571e-4,0.4553129077968052,0.0015626028967402597
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,5.035227272727273,1.4386363636363635,0,45860,0.15824999999999997,0,-1.4386363636363635,-0.5741099455568182,-0.5741099455568182,0,0.26939232989999995,9.598423568181817e-4,-0.26939232989999995,-9.598423568181817e-4,0,0
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,6.309136363636363,1.8026103896103896,0,12377,0.19828714285714286,0,-1.8026103896103896,-0.689923940551013,-0.689923940551013,0,0.3489034283654805,0.0012422274899610388,-0.7958629691924026,-0.0018276378322597403,-0.44695954082692213,-5.854103422987015e-4
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,4.405590909090909,1.2587402597402597,0,1730,0.13846142857142857,0,-1.2587402597402597,-0.42632323955005197,-0.42632323955005197,0,0.26016998218705195,9.313305895194805e-4,-0.555741144249935,-0.0012762166095064936,-0.2955711620628831,-3.448860199870131e-4
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,8.351090909090908,2.3860259740259737,0,0,0.21474233766233763,0,-2.3860259740259737,-0.5931768849287272,0,0,0.5561953434315844,0.00200592249225974,-1.0534443422735065,-0.0024191535586493506,-0.4972489988419221,-4.132310663896104e-4
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,12.866181818181818,3.6760519480519482,2.06,0,0.3308446753246753,0.1854,-1.6160519480519482,-0.2939271873247273,0,0,0.9434665293737143,0.003418404819116883,-0.713496332407013,-0.0016384892132987015,0.2299701969667013,0.0017799156058181816
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,7.875318181818182,2.250090909090909,0,0,0.20250818181818178,0,-2.250090909090909,-0.3947407407264545,0,0,0.5809663286886364,0.002115692979090909,-0.08038078957745454,-0.002281331171272727,0.5005855391111819,-1.6563819218181827e-4
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,9.912045454545455,2.8320129870129866,4.996,0,0.2548811688311688,0.44964000000000004,2.163987012987014,0.3911872454017794,0,0,0.7254863872312337,0.002658982657532467,0.5543559041807665,0.002031771734467533,1.2798422914120002,0.004690754392
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,14.398318181818182,4.113805194805194,0,0,0.3702424675324675,0,-4.113805194805194,-0.7721338618051687,0,0,1.0392150535382858,0.0038225601284285707,-1.0392150535382858,-0.0038225601284285707,0,0
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,8.373227272727274,2.3923506493506497,24.608,0,0.14354103896103898,1.47648,22.21564935064935,4.449657605456818,0,0,0.5939498478698443,0.0021896491711818184,5.515488106114156,0.020333339596818184,6.109437953984,0.022522988768
