Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.06,SOP,0,10.54640909090909,3.01325974025974,0.06,0,0,-0.29315902948732825,2.1298954392119556,0,2.1298954392119556,-0.8833643010477843,66,0,2.1298954392119556,6.188
2,0.06,SOP,0,8.193636363636363,2.341038961038961,0.06,0,0,-0.29803910119134885,1.6433178132369801,0,1.6433178132369801,-0.6977211478019809,66,0,1.6433178132369801,2.584
3,0.06,SOP,0,4.003681818181818,1.1439090909090908,0.06,0,0,-0.3025971302643322,0.7977654827167188,0,0.7977654827167188,-0.346143608192372,66,0,0.7977654827167188,0
4,0.06,SOP,0,2.322090909090909,0.6634545454545454,0.06,0,0,-0.3079449670679142,0.4591470573034874,0,0.4591470573034874,-0.20430748815105798,66,0,0.4591470573034874,0
5,0.06,SOP,0,2.6306363636363637,0.7516103896103896,0.06,0,0,-0.31545314994818996,0.5145125246740059,0,0.5145125246740059,-0.23709786493638374,66,0,0.5145125246740059,0
6,0.06,SOP,0,1.0778636363636365,0.307961038961039,0.06,0,0,-0.327625122331799,0.20706526589800067,0,0.20706526589800067,-0.10089577306303832,66,0,0.20706526589800067,0
7,0.06,SOP,0,1.255590909090909,0.3587402597402597,0.06,0,0,-0.3504051621615875,0.23303582085208396,0,0.23303582085208396,-0.12570443888817573,66,0,0.23303582085208396,0
8,0.06,SOP,0,1.569909090909091,0.4485454545454545,0.06,0,0,-0.40243004922421227,0.26803728519343056,0,0.26803728519343056,-0.18050816935202396,66,11,0.26803728519343056,0
9,0.09,OP,0,0.7808181818181819,0.22309090909090912,0.09,0,0,0.7219726502628449,0.3841564439768202,0,0.3841564439768202,0.16106553488591108,66,11488,0.3841564439768202,0
10,0.09,OP,0,1.5860454545454545,0.45315584415584415,0.09,0,0,0.7437022528964587,0.790168866367742,0,0.790168866367742,0.33701302221189783,66,32469,0.790168866367742,0
11,0.09,OP,0,3.8221363636363637,1.0920389610389611,0.09,0,0,0.7637860591756667,1.9261230955571986,0,1.9261230955571986,0.8340841345182375,66,43260,1.9261230955571986,0.76
12,0.09,OP,1,2.685909090909091,0.7674025974025975,0.039999999999999994,-0.5555555555555556,-0.5555555555555556,0.7813183378180719,1.366988319242466,0,1.366988319242466,0.5995857218398686,66,52447,1.366988319242466,0
13,0.11,P,1,4.694954545454546,1.3414155844155844,0.06,-0.4545454545454546,-0.4545454545454546,0.8928339571868322,2.539076968881438,0,2.539076968881438,1.1976613844658535,66,67105,2.539076968881438,0
14,0.11,P,1,6.263545454545454,1.7895844155844154,0.06,-0.4545454545454546,-0.4545454545454546,0.8113027828324596,3.2414792320616526,0,3.2414792320616526,1.4518948164772372,66,67271,3.2414792320616526,1.2
15,0.11,P,1,3.2328636363636365,0.9236753246753248,0.06,-0.4545454545454546,-0.4545454545454546,0.8454714638049575,1.7046164535090909,0,1.7046164535090909,0.7809411288337661,66,45859,1.7046164535090909,3.748
16,0.11,P,0,5.035227272727273,1.4386363636363635,0.11,0,0,0.9966916341571861,2.8725131918670423,0,2.8725131918670423,1.4338768282306789,66,45860,2.8725131918670423,5.9
17,0.11,P,0,6.309136363636363,1.8026103896103896,0.11,0,0,1.1308502941696483,3.841092878974563,0,3.841092878974563,2.0384824893641733,66,12377,3.841092878974563,8.572
18,0.11,P,0,4.405590909090909,1.2587402597402597,0.11,0,0,1.2497278198152904,2.831822980259187,0,2.831822980259187,1.5730827205189273,66,1730,2.831822980259187,7.864
19,0.09,OP,0,8.351090909090908,2.3860259740259737,0.09,0,0,0.4237707574004314,3.397154008216063,0,3.397154008216063,1.0111280341900892,66,0,3.397154008216063,6.296
20,0.09,OP,0,12.866181818181818,3.6760519480519482,0.09,0,0,0.3777408884111052,5.064647076754466,0,5.064647076754466,1.3885951287025176,66,0,5.064647076754466,6.624
21,0.09,OP,0,7.875318181818182,2.250090909090909,0.09,0,0,0.5589215539101255,3.507715216439047,0,3.507715216439047,1.257624307348138,66,0,3.507715216439047,12.472
22,0.09,OP,0,9.912045454545455,2.8320129870129866,0.09,0,0,0.5255510447720679,4.320380371145727,0,4.320380371145727,1.48836738413274,66,0,4.320380371145727,12.536
23,0.09,OP,0,14.398318181818182,4.113805194805194,0.09,0,0,0.48066511397969447,6.091167837656492,0,6.091167837656492,1.9773626428512978,66,0,6.091167837656492,9.2
24,0.06,SOP,0,8.373227272727274,2.3923506493506497,0.06,0,0,-0.2864064821932916,1.7071659156972931,0,1.7071659156972931,-0.6851847336533565,66,0,1.7071659156972931,7.06
