Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,0,10.54640909090909,3.01325974025974,2.1298954392119556,0,-0.8833643010477843,0.18079558441558438,0.12779372635271732,-0.19303593745943828,0,0,0.7176725500416362,0.002680556692558441,-0.21039218825990214,-7.858293984761952e-4,0.5072803617817341,0.0018947272940822457
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,0,8.193636363636363,2.341038961038961,1.6433178132369801,0,-0.6977211478019809,0.14046233766233765,0.0985990687942188,-0.15228710160654652,0,0,0.5558412801672727,0.0020771289568831167,-0.16566243554610263,-6.19065647367968e-4,0.39017884462117014,0.0014580633095151486
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,0,4.003681818181818,1.1439090909090908,0.7977654827167188,0,-0.346143608192372,0.06863454545454545,0.047865928963003124,-0.07506390431929369,0,0,0.27316678810199996,0.0010228732139090908,-0.08265948616319012,-3.095184991531453e-4,0.19050730193880983,7.133547147559455e-4
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,0,2.322090909090909,0.6634545454545454,0.4591470573034874,0,-0.20430748815105798,0.039807272727272726,0.027548823438209243,-0.04105670996191263,0,0,0.16252246003254545,6.07799334e-4,-0.050047973602518614,-1.8716874589253018e-4,0.11247448643002683,4.206305881074698e-4
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,0,2.6306363636363637,0.7516103896103896,0.5145125246740059,0,-0.23709786493638374,0.045096623376623374,0.030870751480440353,-0.04749402408784542,0,0,0.1842653029377922,6.883308076883118e-4,-0.05812707023788402,-2.1713612149165974e-4,0.12613823269990818,4.71194686196652e-4
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0,1.0778636363636365,0.307961038961039,0.20706526589800067,0,-0.10089577306303832,0.018477662337662338,0.01242391595388004,-0.019045142120533164,0,0,0.07657240588415586,2.859716968961039e-4,-0.025087043845036728,-9.369151217901819e-5,0.05148536203911913,1.9228018471708573e-4
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0,1.255590909090909,0.3587402597402597,0.23303582085208396,0,-0.12570443888817573,0.02152441558441558,0.013982149251125037,-0.024661870146314897,0,0,0.08916470465476622,3.332417195584415e-4,-0.031243772793643414,-1.1676961878088197e-4,0.05792093186112281,2.1647210077755953e-4
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,0,1.569909090909091,0.4485454545454545,0.26803728519343056,11,-0.18050816935202396,0.026912727272727272,0.016082237111605835,-0.04965067507790367,-0.04965067507790367,0,0.10062716766490909,3.7350559418181816e-4,-0.04049539603668243,-1.5030987465210777e-4,0.06013177162822666,2.231957195297104e-4
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,0,0.7808181818181819,0.22309090909090912,0.3841564439768202,11488,0.16106553488591108,0.02007818181818182,0.03457407995791382,0.059977197001400764,0.059977197001400764,0,0.04298562351600001,1.5782254036363639e-4,0.031034444533047396,1.1394355773754939e-4,0.0740200680490474,2.7176609810118576e-4
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,0,1.5860454545454545,0.45315584415584415,0.790168866367742,32469,0.33701302221189783,0.04078402597402597,0.07111519797309677,0.1393035094084747,0.1393035094084747,0,0.08162809056584416,2.9750134324675327e-4,0.06070699485345447,2.2125241921233305e-4,0.14233508541929862,5.187537624590864e-4
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,0,3.8221363636363637,1.0920389610389611,1.9261230955571986,43260,0.8340841345182375,0.09828350649350649,0.17335107860014787,0.3663092667740661,0.3663092667740661,0,0.18707786055935066,6.727964675844157e-4,0.14288746187564133,5.1387256260361e-4,0.329965322434992,0.0011866690301880257
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,2.685909090909091,0.7674025974025975,1.366988319242466,52447,0.5995857218398686,0.06906623376623378,0.054679532769698634,0.44968929137990143,0.44968929137990143,0,0.1299783314714286,4.656829181818183e-4,0.06465158778864252,2.170032636197289e-4,0.19462991926007112,6.826861818015472e-4
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,4.694954545454546,1.3414155844155844,2.539076968881438,67105,1.1976613844658535,0.1475557142857143,0.15234461813288627,0.8982460383493901,0.8982460383493901,0,0.22914799730549348,8.175056066883116e-4,0.12914035027595386,4.334600035886506e-4,0.35828834758144734,0.0012509656102769621
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,6.263545454545454,1.7895844155844154,3.2414792320616526,67271,1.4518948164772372,0.1968542857142857,0.19448875392369916,1.0889211123579279,1.0889211123579279,0,0.31686152595532463,0.001134822007116883,0.15655360321008824,5.254726757690746e-4,0.47341512916541284,0.0016602946828859575
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,1,3.2328636363636365,0.9236753246753248,1.7046164535090909,45859,0.7809411288337661,0.10160428571428573,0.10227698721054544,0.5857058466253245,0.5857058466253245,0,0.16845782097907794,5.997728695974026e-4,0.08420661485004799,2.8263977522977426e-4,0.2526644358291259,8.824126448271769e-4
