Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,9.23304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,4.915652173913044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,3.4456521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,2.079217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0.9569565217391305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0.8205217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1.5867826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1.8865217391304347,0,0,2478,0,0,0,0,0,0,0,0,0,0,0,0
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,2.9278260869565216,0,0,19243,0,0,0,0,0,0,0,0,0,0,0,0
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,5.087782608695652,0,0,96604,0,0,0,0,0,0,0,0,0,0,0,0
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,4.788652173913044,0,0,115965,0,0,0,0,0,0,0,0,0,0,0,0
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,6.827565217391304,0,0,102532,0,0,0,0,0,0,0,0,0,0,0,0
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,4.871608695652174,0,0,49401,0,0,0,0,0,0,0,0,0,0,0,0
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,2.948086956521739,0,0,34274,0,0,0,0,0,0,0,0,0,0,0,0
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,5.206869565217391,0,0,30575,0,0,0,0,0,0,0,0,0,0,0,0
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,11.670434782608696,0,0,29585,0,0,0,0,0,0,0,0,0,0,0,0
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,7.6003043478260865,0,0,14459,0,0,0,0,0,0,0,0,0,0,0,0
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,11.385304347826088,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,14.274478260869564,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,9.466695652173913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,10.916304347826086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,12.629434782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,7.944913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
