Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,10.1165,6.358942857142857,0.05,0,0,0,6.358942857142857,0,6.358942857142857,0,145.2,0,6.358942857142857,6.008
2,0.05,SOP,0,4.7726,2.9999199999999995,0.05,0,0,0,2.9999199999999995,0,2.9999199999999995,0,145.2,0,2.9999199999999995,0.596
3,0.05,SOP,0,3.1507,1.98044,0.05,0,0,0,1.98044,0,1.98044,0,145.2,0,1.98044,0
4,0.05,SOP,0,2.63545,1.6565685714285716,0.05,0,0,0,1.6565685714285716,0,1.6565685714285716,0,145.2,0,1.6565685714285716,0
5,0.05,SOP,0,1.7421499999999999,1.0950657142857143,0.05,0,0,0,1.0950657142857143,0,1.0950657142857143,0,145.2,0,1.0950657142857143,0
6,0.05,SOP,0,0.6946,0.43660571428571426,0.05,0,0,0,0.43660571428571426,0,0.43660571428571426,0,145.2,0,0.43660571428571426,0
7,0.05,SOP,0,0.9931,0.6242342857142857,0.05,0,0,0,0.6242342857142857,0,0.6242342857142857,0,145.2,0,0.6242342857142857,0
8,0.05,SOP,0,1.2461,0.7832628571428571,0.05,0,0,0,0.7832628571428571,0,0.7832628571428571,0,145.2,47,0.7832628571428571,0
9,0.12,OP,0,1.17575,0.7390428571428572,0.12,0,0,0,0.7390428571428572,0,0.7390428571428572,0,145.2,374,0.7390428571428572,0
10,0.12,OP,0,1.88395,1.184197142857143,0.12,0,0,0,1.184197142857143,0,1.184197142857143,0,145.2,45097,1.184197142857143,3.744
11,0.12,OP,0,2.8588999999999998,1.797022857142857,0.12,0,0,0,1.797022857142857,0,1.797022857142857,0,145.2,117871,1.797022857142857,6.688
12,0.12,OP,1,4.30745,2.7075400000000003,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.16666666666666669,3.1587966666666674,0,3.1587966666666674,0.4512566666666671,145.2,102274,3.1587966666666674,12.04
13,0.29,P,1,5.637,3.5432571428571427,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,3.7570743842364527,0,3.7570743842364527,0.21381724137931002,145.2,93877,3.7570743842364527,11.44
14,0.29,P,1,2.85575,1.7950428571428572,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,1.903364408866995,0,1.903364408866995,0.10832155172413782,145.2,68622,1.903364408866995,0.624
15,0.29,P,1,2.58385,1.6241342857142858,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,1.7221423891625616,0,1.7221423891625616,0.09800810344827582,145.2,52139,1.7221423891625616,0
16,0.29,P,0,4.9365,3.102942857142857,0.29,0,0,0,3.102942857142857,0,3.102942857142857,0,145.2,38783,3.102942857142857,4.796
17,0.29,P,0,10.17855,6.397945714285714,0.29,0,0,0,6.397945714285714,0,6.397945714285714,0,145.2,55195,6.397945714285714,1.888
18,0.29,P,0,6.8248999999999995,4.289937142857142,0.29,0,0,0,4.289937142857142,0,4.289937142857142,0,145.2,26782,4.289937142857142,6.652
19,0.12,OP,0,10.9498,6.882731428571429,0.12,0,0,0,6.882731428571429,0,6.882731428571429,0,145.2,2596,6.882731428571429,14.176
20,0.12,OP,0,16.60105,10.434945714285714,0.12,0,0,0,10.434945714285714,0,10.434945714285714,0,145.2,243,10.434945714285714,17.144
21,0.12,OP,0,10.0242,6.300925714285715,0.12,0,0,0,6.300925714285715,0,6.300925714285715,0,145.2,113,6.300925714285715,11.956
22,0.12,OP,0,11.75235,7.387191428571429,0.12,0,0,0,7.387191428571429,0,7.387191428571429,0,145.2,0,7.387191428571429,8.108
23,0.12,OP,0,14.01145,8.807197142857143,0.12,0,0,0,8.807197142857143,0,8.807197142857143,0,145.2,0,8.807197142857143,9.688
24,0.05,SOP,0,9.46715,5.95078,0.05,0,0,0,5.95078,0,5.95078,0,145.2,0,5.95078,6.104
