Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,10.1165,6.358942857142857,6.008,0,0.3179471428571429,0.3004,-0.350942857142857,-0.0766892926767714,0,0,1.5145188696748,0.005656832899457142,-0.08358458178679996,-3.121942034571427e-4,1.430934287888,0.0053446386959999995
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,4.7726,2.9999199999999995,0.596,0,0.149996,0.0298,-2.4039199999999994,-0.5246881371551999,0,0,0.7122817693129598,0.0026617330185599994,-0.5707713508649599,-0.0021329212905599995,0.14151041844799994,5.288117279999998e-4
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,3.1507,1.98044,0,0,0.099022,0,-1.98044,-0.42947364952491995,0,0,0.47293131781896,0.00177089162404,-0.47293131781896,-0.00177089162404,0,0
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,2.63545,1.6565685714285716,0,0,0.08282842857142858,0,-1.6565685714285716,-0.3328965373940486,0,0,0.40579961549094007,0.0015176040036771429,-0.40579961549094007,-0.0015176040036771429,0,0
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,1.7421499999999999,1.0950657142857143,0,0,0.05475328571428572,0,-1.0950657142857143,-0.2193570044420857,0,0,0.2684670387329857,0.0010028699416685714,-0.2684670387329857,-0.0010028699416685714,0,0
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,0.6946,0.43660571428571426,0,0,0.021830285714285715,0,-0.43660571428571426,-0.08241393694474285,0,0,0.10855902447405714,4.054307564685714e-4,-0.10855902447405714,-4.054307564685714e-4,0,0
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,0.9931,0.6242342857142857,0,0,0.031211714285714287,0,-0.6242342857142857,-0.12246810877425143,0,0,0.15515310648822286,5.798649611542857e-4,-0.15515310648822286,-5.798649611542857e-4,0,0
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1.2461,0.7832628571428571,0,47,0.03916314285714286,0,-0.7832628571428571,-0.2154447067974457,-0.2154447067974457,0,0.17571802824594857,6.522261141942856e-4,-0.17571802824594857,-6.522261141942856e-4,0,0
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1.17575,0.7390428571428572,0,374,0.08868514285714287,0,-0.7390428571428572,-0.27520300396191427,-0.27520300396191427,0,0.14240032527002858,5.228255226857144e-4,-0.14240032527002858,-5.228255226857144e-4,0,0
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1.88395,1.184197142857143,3.744,45097,0.14210365714285714,0.44928,2.5598028571428575,1.0580882574016202,1.0580882574016202,0,0.2133123799937429,7.774372662571429e-4,0.46110366256625723,0.0016805361737428574,0.6744160425600001,0.0024579734400000004
