Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,16.701043478260868,12.385673183542455,0.05,0,0,-0.1414136231957761,10.634170262938953,0,10.634170262938953,-1.7515029206035013,2917.2,0,10.634170262938953,8.9593
2,0.05,SOP,0,13.847334782608696,10.26933217099504,0.05,0,0,-0.14402511013623842,8.790290474041864,0,8.790290474041864,-1.4790416969531766,2917.2,0,8.790290474041864,6.9587
3,0.05,SOP,0,13.854878260869565,10.274926495477093,0.05,0,0,-0.14651391014144421,8.769506838208818,0,8.769506838208818,-1.5054196572682752,2917.2,0,8.769506838208818,7.3553
4,0.05,SOP,0,33.25717391304348,24.66387729792822,0.05,0,0,-0.14948247889007799,20.977059780393194,0,20.977059780393194,-3.686817517535026,2917.2,0,20.977059780393194,28.0258
5,0.05,SOP,0,119.0275304347826,88.2720947184126,0.05,0,0,-0.15369322010192266,74.70527223599785,0,74.70527223599785,-13.56682248241475,2917.2,0,74.70527223599785,79.8273
6,0.05,SOP,0,122.55452173913044,90.88774934344907,0.05,0,0,-0.16055590338710227,76.29518464079109,0,76.29518464079109,-14.592564702657981,2917.2,0,76.29518464079109,123.5217
7,0.05,SOP,0,298.99317826086957,221.73655166326236,0.05,0,0,-0.17343091599944632,183.28057839774422,0,183.28057839774422,-38.45597326551814,2917.2,0,183.28057839774422,222.3684
8,0.05,SOP,0,815.5819347826086,604.8443207615991,0.05,0,0,-0.2028643939686308,482.14294418492915,0,482.14294418492915,-122.70137657666993,2917.2,0,482.14294418492915,394.0965
9,0.12,OP,0,657.8259391304348,487.85078036183256,0.12,0,0,0.34338814297280795,655.3729538781174,0,655.3729538781174,167.52217351628485,2917.2,1657,655.3729538781174,557.5407
10,0.12,OP,0,760.1582826086957,563.7415451561133,0.12,0,0,0.3562880433039023,764.5959172089034,0,764.5959172089034,200.85437205279015,2917.2,10392,764.5959172089034,558.998
11,0.12,OP,0,651.7021521739131,483.3093141960899,0.12,0,0,0.36826538284454546,661.2954038208476,0,661.2954038208476,177.9860896247577,2917.2,35800,661.2954038208476,440.212
12,0.12,OP,1,296.34848260869563,219.77521696819375,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.3787376070650924,303.012356734939,0,303.012356734939,83.23713976674523,2917.2,20391,303.012356734939,304.9855
13,0.29,P,1,421.49541739130433,312.5855276626787,0.24,-0.17241379310344826,-0.17241379310344826,0.4177106217431608,443.15582277057024,0,443.15582277057024,130.57029510789152,2917.2,31734,443.15582277057024,279.6512
14,0.29,P,1,449.30683913043475,333.2107766705573,0.24,-0.17241379310344826,-0.17241379310344826,0.3951039406067892,464.86366758574326,0,464.86366758574326,131.65289091518594,2917.2,12668,464.86366758574326,266.9745
15,0.29,P,1,206.88637391304349,153.4291564925591,0.24,-0.17241379310344826,-0.17241379310344826,0.4158832912682089,217.23777907118964,0,217.23777907118964,63.80862257863055,2917.2,11793,217.23777907118964,203.5806
16,0.29,P,0,206.0112608695652,152.78016326232856,0.29,0,0,0.480267096556467,226.1554486837501,0,226.1554486837501,73.37528542142155,2917.2,12469,226.1554486837501,100.1047
17,0.29,P,0,172.40660869565218,127.8585923548293,0.29,0,0,0.5374144866601854,196.5716521302938,0,196.5716521302938,68.71305977546452,2917.2,6504,196.5716521302938,72.0338
18,0.29,P,0,66.9441,49.6464634228188,0.29,0,0,0.5880653114808845,78.84182639948307,0,78.84182639948307,29.19536297666427,2917.2,3024,78.84182639948307,40.0907
19,0.12,OP,0,65.61029565217392,48.65729979573972,0.12,0,0,0.16249229876709118,56.56373629134898,0,56.56373629134898,7.906436495609263,2917.2,1590,56.56373629134898,25.5058
20,0.12,OP,0,60.62031304347826,44.956675109425156,0.12,0,0,0.13635590056216723,51.086783030251596,0,51.086783030251596,6.13010792082644,2917.2,450,51.086783030251596,36.1171
21,0.12,OP,0,26.110521739130434,19.363843303180623,0.12,0,0,0.24104588088344392,24.03141796948477,0,24.03141796948477,4.667574666304148,2917.2,7,24.03141796948477,27.3831
22,0.12,OP,0,28.821334782608695,21.37421136562591,0.12,0,0,0.22133973825046327,26.10517371460363,0,26.10517371460363,4.7309623489777195,2917.2,0,26.10517371460363,22.7553
23,0.12,OP,0,27.694947826086956,20.538870703238985,0.12,0,0,0.1947360896789792,24.538530070409887,0,24.538530070409887,3.999659367170903,2917.2,0,24.538530070409887,21.3027
24,0.05,SOP,0,14.569178260869565,10.804659045812663,0.05,0,0,-0.13786297516506674,9.315096604112778,0,9.315096604112778,-1.489562441699885,2917.2,0,9.315096604112778,12.9224
