Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,16.701043478260868,12.385673183542455,8.9593,0,0.6192836591771228,0.44796500000000006,-3.426373183542454,-0.7487433653210528,0,0,2.949914187234657,0.011018133850327981,-0.816064392714857,-0.003048057041227981,2.1338497945198,0.0079700768091
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,13.847334782608696,10.26933217099504,6.9587,0,0.513466608549752,0.34793500000000005,-3.3106321709950404,-0.7225903634919062,0,0,2.438284383723182,0.009111649816694427,-0.786055274907582,-0.0029374179850944274,1.6522291088156,0.0061742318315999994
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,13.854878260869565,10.274926495477093,7.3553,0,0.5137463247738546,0.367765,-2.919626495477093,-0.6331434662308373,0,0,2.4536640988865757,0.009187746797917158,-0.6972101179763757,-0.0026107037356171573,1.7564539809102,0.0065770430623000005
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,33.25717391304348,24.66387729792822,28.0258,0,1.2331938648964111,1.4012900000000001,3.36192270207178,0.6755968004034997,0,0,6.041761323157247,0.022594898623036916,0.8235499352945532,0.0030799010923630845,6.865311258451801,0.0256747997154
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,119.0275304347826,88.2720947184126,79.8273,0,4.4136047359206305,3.991365,-8.44479471841261,-1.6916106936720505,0,0,21.640845442109022,0.08084029051988001,-2.070331488954523,-0.007733810561480015,19.5705139531545,0.0731064799584
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,122.55452173913044,90.88774934344907,123.5217,0,4.544387467172454,6.1760850000000005,32.63395065655092,6.160002637773166,0,0,22.5986172020431,0.08439809137707878,8.114208614528897,0.030303788677821217,30.712825816572,0.1147018800549
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,298.99317826086957,221.73655166326236,222.3684,0,11.08682758316312,11.11842,0.6318483367376473,0.12396190437356674,0,0,55.11250439116044,0.205975961044141,0.1570455749031588,5.869378206590088e-4,55.2695499660636,0.20656289886480003
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,815.5819347826086,604.8443207615991,394.0965,0,30.242216038079956,19.704825,-210.7478207615991,-57.968410014752116,0,0,135.6914227079247,0.5036562852754666,-47.279391820573174,-0.1754905533394666,88.4120308873515,0.32816573193599996
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,657.8259391304348,487.85078036183256,557.5407,1657,58.5420936434199,66.904884,69.68991963816745,25.950964879673823,25.950964879673823,0,94.00010991965198,0.3451232046560534,13.427999646573827,0.04930115798914663,107.4281095662258,0.39442436264520003
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,760.1582826086957,563.7415451561133,558.998,10392,67.64898541873359,67.07976000000001,-4.743545156113214,-1.9607328017985806,-1.9607328017985806,0,101.54816824541813,0.3701019618104399,-0.854466600398112,-0.003114184830439886,100.69370164502001,0.36698777698
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,651.7021521739131,483.3093141960899,440.212,35800,57.99711770353078,52.82543999999999,-43.09731419608988,-18.92728192488602,-18.92728192488602,0,82.79601343361382,0.2977630020016974,-7.383027184293818,-0.02655191049769741,75.41298624932,0.271211091504
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,296.34848260869563,219.77521696819375,304.9855,20391,26.373026036183248,21.348985,85.21028303180626,63.90771227385469,63.90771227385469,0,37.22428891560112,0.13336619491280902,9.187977453868028,0.03083947605543738,46.41226636946915,0.1642056709682464
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,421.49541739130433,312.5855276626787,279.6512,31734,90.64980302217683,67.116288,-32.9343276626787,-24.700745747009023,-24.700745747009023,0,53.39758124383961,0.1905005610511046,-3.551212943513439,-0.011919657736331999,49.84636830032617,0.1785809033147726
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,449.30683913043475,333.2107766705573,266.9745,12668,96.63112523446162,64.07387999999999,-66.23627667055734,-49.67720750291801,-49.67720750291801,0,58.99787360749474,0.21129761696699384,-7.142065429475024,-0.023972365725161454,51.855808178019714,0.18732525124183239
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,206.88637391304349,153.4291564925591,203.5806,11793,44.49445538284213,48.859344,50.151443507440916,37.61358263058069,37.61358263058069,0,27.982063271506725,0.09962661447278287,5.407684563766852,0.01815091073710003,33.389747835273575,0.1177775252098829
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,206.0112608695652,152.78016326232856,100.1047,12469,44.30624734607528,29.030362999999998,-52.67546326232856,-21.02095297332524,-21.02095297332524,0,28.608900194701537,0.10193324434682972,-9.863761361441139,-0.03514448965852973,18.7451388332604,0.06678875468829999
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,172.40660869565218,127.8585923548293,72.0338,6504,37.078991782900495,20.889802,-55.8247923548293,-21.36615928981213,-21.36615928981213,0,24.747611284003685,0.08811080817370645,-24.64697044582468,-0.05659986377188375,0.10064083817900382,0.0315109444018227
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,66.9441,49.6464634228188,40.0907,3024,14.39747439261745,11.626302999999998,-9.5557634228188,-3.2364453168683416,-3.2364453168683416,0,10.261465305821082,0.03673297146837282,-4.218925117938804,-0.009688435642181217,6.0425401878822775,0.027044535826191606
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,65.61029565217392,48.65729979573972,25.5058,1590,5.838875975488766,3.060696,-23.151499795739717,-5.755567910726967,-5.755567910726967,0,11.342275341907243,0.0409059973090792,-10.221521785790397,-0.023472935218903767,1.1207535561168456,0.017433062090175432
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,60.62031304347826,44.956675109425156,36.1171,450,5.394801013131018,4.334052,-8.839575109425155,-1.607740055751899,-1.607740055751899,0,11.538226019941874,0.04180575166435577,-3.9027238129404673,-0.008962303770244415,7.635502207001407,0.03284344789411135
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,26.110521739130434,19.363843303180623,27.3831,7,2.3236611963816745,3.2859719999999997,8.019256696819376,1.4068441927339774,1.4068441927339774,0,4.99968286067875,0.018207240942681644,0.28647472975883587,0.008130596056798016,5.286157590437585,0.026337836999479662
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,28.821334782608695,21.37421136562591,22.7553,0,2.564905363875109,2.7306359999999996,1.3810886343740876,0.24966150688250305,0,0,5.4755043337283995,0.0200682897996089,0.353798167025701,0.0012967068809910996,5.829302500754101,0.0213649966806
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,27.694947826086956,20.538870703238985,21.3027,0,2.464664484388678,2.556324,0.763829296761017,0.14336567648190224,0,0,5.188457548849288,0.019084780274061772,0.19295588048991227,7.097524740382272e-4,5.381413429339201,0.0197945327481
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,14.569178260869565,10.804659045812663,12.9224,0,0.5402329522906332,0.64612,2.1177409541873367,0.424170457250741,0,0,2.68247700155821,0.009889191089520003,0.5257723895569898,0.001938306880879998,3.2082493911151997,0.011827497970400001
