Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,12.71575,9.899510067114093,0.05,0,0,0,9.899510067114093,0,9.899510067114093,0,3062.3999999999996,0,9.899510067114093,12.7045
2,0.05,SOP,0,11.146645454545455,8.677925320317266,0.05,0,0,0,8.677925320317266,0,8.677925320317266,0,3062.3999999999996,0,8.677925320317266,7.1082
3,0.05,SOP,0,11.036809090909092,8.592415131177548,0.05,0,0,0,8.592415131177548,0,8.592415131177548,0,3062.3999999999996,0,8.592415131177548,8.0229
4,0.05,SOP,0,27.751772727272726,21.605406955460644,0.05,0,0,0,21.605406955460644,0,21.605406955460644,0,3062.3999999999996,0,21.605406955460644,23.5241
5,0.05,SOP,0,94.48343636363637,73.55757461866993,0.05,0,0,0,73.55757461866993,0,73.55757461866993,0,3062.3999999999996,0,73.55757461866993,57.6257
6,0.05,SOP,0,97.14877272727273,75.63260158633314,0.05,0,0,0,75.63260158633314,0,75.63260158633314,0,3062.3999999999996,0,75.63260158633314,88.6439
7,0.05,SOP,0,250.70868636363636,195.1826014643075,0.05,0,0,0,195.1826014643075,0,195.1826014643075,0,3062.3999999999996,0,195.1826014643075,170.7364
8,0.05,SOP,0,712.0176590909091,554.3224728492984,0.05,0,0,0,554.3224728492984,0,554.3224728492984,0,3062.3999999999996,2843,554.3224728492984,385.5096
9,0.12,OP,0,596.8184363636364,464.63717193410616,0.12,0,0,0,464.63717193410616,0,464.63717193410616,0,3062.3999999999996,10667,464.63717193410616,616.1075
10,0.12,OP,0,707.3702545454546,550.7043592434412,0.12,0,0,0,550.7043592434412,0,550.7043592434412,0,3062.3999999999996,24759,550.7043592434412,551.8895
11,0.12,OP,0,618.6500545454545,481.6335995118975,0.12,0,0,0,481.6335995118975,0,481.6335995118975,0,3062.3999999999996,7233,481.6335995118975,391.4685
12,0.12,OP,1,276.8094,215.50262013422815,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.16666666666666669,251.41972348993286,0,251.41972348993286,35.91710335570471,3062.3999999999996,29088,251.41972348993286,260.0032
13,0.29,P,1,376.3461,292.99427919463085,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,310.6749684563758,0,310.6749684563758,17.68068926174493,3062.3999999999996,30410,310.6749684563758,276.8022
14,0.29,P,1,388.00785454545456,302.07322904209883,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,320.30178596705304,0,320.30178596705304,18.228556924954205,3062.3999999999996,21709,320.30178596705304,224.5389
15,0.29,P,1,181.1503181818182,141.02977791336184,0.24,-0.17241379310344826,-0.17241379310344826,0.060344827586206885,149.5401955460647,0,149.5401955460647,8.510417632702854,3062.3999999999996,21660,149.5401955460647,184.9629
16,0.29,P,0,180.03888636363635,140.16450213544843,0.29,0,0,0,140.16450213544843,0,140.16450213544843,0,3062.3999999999996,39583,140.16450213544843,109.1613
17,0.29,P,0,158.43778636363638,123.34753837705921,0.29,0,0,0,123.34753837705921,0,123.34753837705921,0,3062.3999999999996,23362,123.34753837705921,102.5616
18,0.29,P,0,61.98425454545455,48.256198169615615,0.29,0,0,0,48.256198169615615,0,48.256198169615615,0,3062.3999999999996,21054,48.256198169615615,67.1689
19,0.12,OP,0,58.10758181818182,45.238117388651624,0.12,0,0,0,45.238117388651624,0,45.238117388651624,0,3062.3999999999996,7609,45.238117388651624,60.2637
20,0.12,OP,0,58.90638181818182,45.86000195241001,0.12,0,0,0,45.86000195241001,0,45.86000195241001,0,3062.3999999999996,1959,45.86000195241001,48.4603
21,0.12,OP,0,26.912804545454545,20.952250518608906,0.12,0,0,0,20.952250518608906,0,20.952250518608906,0,3062.3999999999996,319,20.952250518608906,36.0541
22,0.12,OP,0,28.233568181818182,21.980496034167174,0.12,0,0,0,21.980496034167174,0,21.980496034167174,0,3062.3999999999996,0,21.980496034167174,26.5481
23,0.12,OP,0,25.822054545454545,20.10307602196461,0.12,0,0,0,20.10307602196461,0,20.10307602196461,0,3062.3999999999996,0,20.10307602196461,32.1601
24,0.05,SOP,0,12.353372727272728,9.617390848078097,0.05,0,0,0,9.617390848078097,0,9.617390848078097,0,3062.3999999999996,0,9.617390848078097,13.1934
