Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.06,SOP,0,15.446395454545454,11.247878569249542,0.06,0,0,0,11.247878569249542,0,11.247878569249542,0,2864.3999999999996,0,11.247878569249542,7.9267
2,0.06,SOP,0,13.573590909090909,9.884124923733985,0.06,0,0,0,9.884124923733985,0,9.884124923733985,0,2864.3999999999996,0,9.884124923733985,6.9763
3,0.06,SOP,0,12.328109090909091,8.977180109823063,0.06,0,0,0,8.977180109823063,0,8.977180109823063,0,2864.3999999999996,0,8.977180109823063,7.2444
4,0.06,SOP,0,13.384354545454546,9.74632528981086,0.06,0,0,0,9.74632528981086,0,9.74632528981086,0,2864.3999999999996,0,9.74632528981086,18.822
5,0.06,SOP,0,39.25389545454546,28.584212461866993,0.06,0,0,0,28.584212461866993,0,28.584212461866993,0,2864.3999999999996,0,28.584212461866993,69.8172
6,0.06,SOP,0,61.62849545454545,44.87712588468578,0.06,0,0,0,44.87712588468578,0,44.87712588468578,0,2864.3999999999996,0,44.87712588468578,114.7357
7,0.06,SOP,0,154.2949909090909,112.35574841366686,0.06,0,0,0,112.35574841366686,0,112.35574841366686,0,2864.3999999999996,0,112.35574841366686,191.45
8,0.06,SOP,0,460.0004272727273,334.9667540878585,0.06,0,0,0,334.9667540878585,0,334.9667540878585,0,2864.3999999999996,11,334.9667540878585,379.5558
9,0.09,OP,0,524.5077863636363,381.9402336943258,0.09,0,0,0,381.9402336943258,0,381.9402336943258,0,2864.3999999999996,11488,381.9402336943258,553.192
10,0.09,OP,0,868.3904636363636,632.3514449969493,0.09,0,0,0,632.3514449969493,0,632.3514449969493,0,2864.3999999999996,32469,632.3514449969493,495.9439
11,0.09,OP,0,924.8135772727272,673.4380747254422,0.09,0,0,0,673.4380747254422,0,673.4380747254422,0,2864.3999999999996,43260,673.4380747254422,483.0798
12,0.09,OP,1,406.64176363636363,296.1116198291641,0.039999999999999994,-0.5555555555555556,-0.5555555555555556,0.22222222222222224,361.9142020134228,0,361.9142020134228,65.80258218425871,2864.3999999999996,52447,361.9142020134228,322.1857
13,0.11,P,1,458.60941818181817,333.9538380719951,0.06,-0.4545454545454546,-0.4545454545454546,0.1590909090909091,387.0828577652671,0,387.0828577652671,53.12901969327197,2864.3999999999996,67105,387.0828577652671,302.7489
14,0.11,P,1,563.294559090909,410.1842930292861,0.06,-0.4545454545454546,-0.4545454545454546,0.1590909090909091,475.4408851021271,0,475.4408851021271,65.25659207284099,2864.3999999999996,67271,475.4408851021271,293.6639
15,0.11,P,1,289.77900454545454,211.01357042403905,0.06,-0.4545454545454546,-0.4545454545454546,0.1590909090909091,244.583911173318,0,244.583911173318,33.570340749278955,2864.3999999999996,45859,244.583911173318,226.7567
16,0.11,P,0,300.87995454545455,219.09714810860282,0.11,0,0,0,219.09714810860282,0,219.09714810860282,0,2864.3999999999996,45860,219.09714810860282,161.7155
17,0.11,P,0,264.3555090909091,192.50048816351435,0.11,0,0,0,192.50048816351435,0,192.50048816351435,0,2864.3999999999996,12377,192.50048816351435,148.8429
18,0.11,P,0,113.60088181818182,82.72278978035388,0.11,0,0,0,82.72278978035388,0,82.72278978035388,0,2864.3999999999996,1730,82.72278978035388,101.725
19,0.09,OP,0,113.3183,82.51701711409396,0.09,0,0,0,82.51701711409396,0,82.51701711409396,0,2864.3999999999996,0,82.51701711409396,68.2584
20,0.09,OP,0,96.65654545454545,70.38412873703477,0.09,0,0,0,70.38412873703477,0,70.38412873703477,0,2864.3999999999996,0,70.38412873703477,57.6154
21,0.09,OP,0,40.67313636363637,29.617686546674808,0.09,0,0,0,29.617686546674808,0,29.617686546674808,0,2864.3999999999996,0,29.617686546674808,35.0893
22,0.09,OP,0,40.595881818181816,29.56143071995119,0.09,0,0,0,29.56143071995119,0,29.56143071995119,0,2864.3999999999996,0,29.56143071995119,37.4111
23,0.09,OP,0,37.76314545454545,27.49866632092739,0.09,0,0,0,27.49866632092739,0,27.49866632092739,0,2864.3999999999996,0,27.49866632092739,28.8446
24,0.06,SOP,0,15.984959090909092,11.640054103111654,0.06,0,0,0,11.640054103111654,0,11.640054103111654,0,2864.3999999999996,0,11.640054103111654,10.4166
