Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,15.446395454545454,11.247878569249542,7.9267,0,0.6748727141549725,0.475602,-3.3211785692495415,-0.7257558606622948,0,0,2.678923953185717,0.010005966552782991,-0.7910100351095172,-0.002954477279882992,1.8879139180762001,0.007051489272899999
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,13.573590909090909,9.884124923733985,6.9763,0,0.5930474954240391,0.418578,-2.907824923733985,-0.634672219710908,0,0,2.3468232448823865,0.008769867752831605,-0.6904153049179864,-0.0025800200044316054,1.6564079399644,0.0061898477484
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,12.328109090909091,8.977180109823063,7.2444,0,0.5386308065893838,0.434664,-1.7327801098230635,-0.3757666970925162,0,0,2.143760790347992,0.008027313659582794,-0.4137898551983921,-0.001549436379182795,1.7299709351495998,0.006477877280399999
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,13.384354545454546,9.74632528981086,18.822,0,0.5847795173886516,1.1293199999999999,9.075674710189139,1.8238065949369433,0,0,2.387498545649794,0.008928735300224496,2.2232133165122057,0.008314343585775503,4.610711862162,0.017243078885999998
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,39.25389545454546,28.584212461866993,69.8172,0,1.7150527477120197,4.189032,41.232987538133,8.259545078043448,0,0,7.007724535652599,0.026177650446277487,10.1087066447854,0.03776149985132251,17.116431180438,0.0639391502976
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,61.62849545454545,44.87712588468578,114.7357,0,2.692627553081147,6.884142,69.85857411531421,13.186543221515345,0,0,11.15839039168607,0.041672764465141565,17.36985662112593,0.06487046234775842,28.528247012812,0.10654322681289999
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,154.2949909090909,112.35574841366686,191.45,0,6.741344904820012,11.486999999999998,79.09425158633313,15.51744854195114,0,0,27.925962730871973,0.10436972652792025,19.658835023678023,0.07347239037207974,47.584797754549996,0.17784211689999999
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,460.0004272727273,334.9667540878585,379.5558,11,20.09800524527151,22.773348,44.5890459121415,12.264687180445572,11,0,75.1468003614638,0.2789281559959761,10.003154314797996,0.03712947688722387,85.1499546762618,0.3160576328832
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,524.5077863636363,381.9402336943258,553.192,11488,34.37462103248932,49.787279999999996,171.2517663056742,63.77032139016429,63.77032139016429,0,73.59304401107205,0.27019827116377904,32.99714893297595,0.12114966454822093,106.590192944048,0.391347935712
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,868.3904636363636,632.3514449969493,495.9439,32469,56.91163004972544,44.634950999999994,-136.40754499694935,-56.38372548085658,-56.38372548085658,0,113.90704034239853,0.4151450471549472,-24.57143073508753,-0.08955291736594723,89.335609607311,0.325592129789
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,924.8135772727272,673.4380747254422,483.0798,43260,60.6094267252898,43.477182,-190.35827472544224,-83.60067906018698,-83.60067906018698,0,115.36708737844108,0.4148998103337472,-32.610392161763095,-0.11727821019214717,82.756695216678,0.2976216001416
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,406.64176363636363,296.1116198291641,322.1857,52447,26.65004578462477,12.887427999999998,26.074080170835884,19.555560128126913,19.555560128126913,0,50.15371905824418,0.17968941426093168,2.8114923717664975,0.009436783243589264,52.965211430010676,0.18912619750452095
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,458.60941818181817,333.9538380719951,302.7489,67105,36.73492218791946,18.164934,-31.204938071995116,-23.403703553996337,-23.403703553996337,0,57.047833703244464,0.20352315730540632,-3.3647378843680102,-0.011293753596892615,53.68309581887645,0.1922294037085137
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,563.294559090909,410.1842930292861,293.6639,67271,45.12027223322147,17.619834,-116.52039302928608,-87.39029477196456,-87.39029477196456,0,72.62670588787032,0.2601085250014891,-12.564055721646954,-0.04217129368594528,60.062650166223364,0.21793723131554385
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,289.77900454545454,211.01357042403905,226.7567,45859,23.211492746644296,13.605402,15.74312957596095,11.807347181970712,11.807347181970712,0,38.484178716307795,0.13701807472415253,1.69753595987071,0.005697784942390939,40.18171467617851,0.14271585966654346
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,300.87995454545455,219.09714810860282,161.7155,45860,24.10068629194631,17.788705,-57.38164810860283,-22.89902834676115,-22.89902834676115,0,41.027109209329595,0.1461792071494306,-10.745019567283595,-0.03828440441993061,30.282089642046,0.1078948027295
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,264.3555090909091,192.50048816351435,148.8429,12377,21.175053697986577,16.372719,-43.65758816351436,-16.7093318857633,-16.7093318857633,0,37.25934382126544,0.13265728390665815,-19.275079043066764,-0.044263730117576595,17.984264778198675,0.08839355378908156
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,113.60088181818182,82.72278978035388,101.725,1730,9.099506875838927,11.18975,19.002210219646116,6.43586614217161,6.43586614217161,0,17.098036371744367,0.06120584765337581,8.389586309826187,0.019266036906335684,25.487622681570556,0.08047188455971149
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,113.3183,82.51701711409396,68.2584,0,7.426531540268456,6.143255999999999,-14.258617114093965,-3.544756920168224,0,0,19.235155514792314,0.06937172621975034,-6.295262369731004,-0.014456583754106047,12.93989314506131,0.05491514246564429
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,96.65654545454545,70.38412873703477,57.6154,0,6.334571586333129,5.185386,-12.76872873703477,-2.3223736884901203,0,0,18.064235925097027,0.06545104592211348,-5.637467987558457,-0.012946009766819762,12.42676793753857,0.05250503615529372
21,0.258196825,0.035723352,9.4027e-4,0.001013884,0.175433241,40.67313636363637,29.617686546674808,35.0893,0,2.6655917892007324,3.158037,5.471613453325194,0.959902881616041,0,0,7.64719263019665,0.027848622129241923,0.19546437340107148,0.005547581334511161,7.842657003597721,0.033396203463753084
22,0.256173397,0.256173397,9.38902e-4,9.38902e-4,0.180771531,40.595881818181816,29.56143071995119,37.4111,0,2.660528764795607,3.366999,7.849669280048808,1.4189967335980909,0,0,7.5728521277100525,0.027755286425823613,2.0108764447966476,0.007370070186376386,9.5837285725067,0.035125356612199995
23,0.252616496,0.252616496,9.29203e-4,9.29203e-4,0.187693346,37.76314545454545,27.49866632092739,28.8446,0,2.474879968883465,2.596014,1.3459336790726084,0.2526227957192281,0,0,6.94661673066589,0.025551843241404693,0.3400050498557109,0.001250645612395305,7.286621780521601,0.0268024888538
24,0.248270398,0.248270398,9.15271e-4,9.15271e-4,0.200293835,15.984959090909092,11.640054103111654,10.4166,0,0.6984032461866991,0.624996,-1.2234541031116528,-0.24505031425871837,0,0,2.8898808649210634,0.010653803959009106,-0.3037474371142631,-0.0011197920604091055,2.5861334278068004,0.0095340118986
