Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.06,SOP,0,13.931926086956521,8.81264452144733,0.06,0,0,-0.29315902948732825,6.22913820632301,0,6.22913820632301,-2.5835063151243203,2488.2,0,6.22913820632301,13.5893
2,0.06,SOP,0,12.012034782608696,7.598216632623286,0.06,0,0,-0.29803910119134885,5.333650976779085,0,5.333650976779085,-2.2645656558442013,2488.2,0,5.333650976779085,7.8298
3,0.06,SOP,0,14.7411,9.324487751677852,0.06,0,0,-0.3025971302643322,6.502924516835218,0,6.502924516835218,-2.8215632348426336,2488.2,0,6.502924516835218,11.5736
4,0.06,SOP,0,28.76694347826087,18.196539750510652,0.06,0,0,-0.3079449670679142,12.593006916289658,0,12.593006916289658,-5.603532834220994,2488.2,0,12.593006916289658,23.7541
5,0.06,SOP,0,119.78432608695653,75.76961566238693,0.06,0,0,-0.31545314994818996,51.86785173132326,0,51.86785173132326,-23.901763931063662,2488.2,0,51.86785173132326,62.3712
6,0.06,SOP,0,131.65546086956522,83.27870595272833,0.06,0,0,-0.327625122331799,55.994509727331796,0,55.994509727331796,-27.284196225396535,2488.2,0,55.994509727331796,125.6815
7,0.06,SOP,0,321.27894782608695,203.22510625911877,0.06,0,0,-0.3504051621615875,132.0139799450864,0,132.0139799450864,-71.21112631403238,2488.2,0,132.0139799450864,159.582
8,0.06,SOP,0,893.3508739130435,565.0893950758681,0.06,0,0,-0.40243004922421227,337.6804419994061,0,337.6804419994061,-227.40895307646196,2488.2,0,337.6804419994061,343.4928
9,0.09,OP,0,722.460695652174,456.9927554712577,0.09,0,0,0.7219726502628449,786.9290262897619,0,786.9290262897619,329.93627081850417,2488.2,2478,786.9290262897619,545.6519
10,0.09,OP,0,835.8135695652174,528.6941539028305,0.09,0,0,0.7437022528964587,921.8851872535527,0,921.8851872535527,393.19103335072214,2488.2,19243,921.8851872535527,521.7156
11,0.09,OP,0,751.4010304347826,475.2989739495185,0.09,0,0,0.7637860591756667,838.325704192659,0,838.325704192659,363.02673024314055,2488.2,96604,838.325704192659,504.118
12,0.09,OP,1,366.9755173913044,232.13048667201636,0.039999999999999994,-0.5555555555555556,-0.5555555555555556,0.7813183378180719,413.49829267549626,0,413.49829267549626,181.3678060034799,2488.2,115965,413.49829267549626,388.5061
13,0.11,P,1,509.4604086956522,322.25935248030345,0.06,-0.4545454545454546,-0.4545454545454546,0.8928339571868322,609.983445395759,0,609.983445395759,287.7240929154555,2488.2,102532,609.983445395759,370.4724
14,0.11,P,1,522.1947739130435,330.31447947184125,0.06,-0.4545454545454546,-0.4545454545454546,0.8113027828324596,598.2995358772015,0,598.2995358772015,267.98505640536024,2488.2,49401,598.2995358772015,298.2577
15,0.11,P,1,237.01102608695652,149.92140408520572,0.06,-0.4545454545454546,-0.4545454545454546,0.8454714638049575,276.67567305281915,0,276.67567305281915,126.75426896761343,2488.2,34274,276.67567305281915,222.528
16,0.11,P,0,237.55124782608695,150.26312152757512,0.11,0,0,0.9966916341571861,300.02911767645384,0,300.02911767645384,149.7659961488787,2488.2,30575,300.02911767645384,187.3957
17,0.11,P,0,205.63855652173913,130.0767379340531,0.11,0,0,1.1308502941696483,277.17405529140535,0,277.17405529140535,147.09731735735224,2488.2,29585,277.17405529140535,134.516
18,0.11,P,0,83.07760869565217,52.55076925882696,0.11,0,0,1.2497278198152904,118.22492755427716,0,118.22492755427716,65.6741582954502,2488.2,14459,118.22492755427716,87.6297
19,0.09,OP,0,76.71740434782609,48.52761986431281,0.09,0,0,0.4237707574004314,69.09220608905288,0,69.09220608905288,20.56458622474007,2488.2,834,69.09220608905288,70.847
20,0.09,OP,0,62.68129130434782,39.649071848555586,0.09,0,0,0.3777408884111052,54.62614747330472,0,54.62614747330472,14.977075624749133,2488.2,10,54.62614747330472,46.9473
21,0.09,OP,0,25.044404347826088,15.841846374379923,0.09,0,0,0.5589215539101255,24.69619576675384,0,24.69619576675384,8.854349392373916,2488.2,0,24.69619576675384,33.9226
22,0.09,OP,0,25.253195652173915,15.973917384009338,0.09,0,0,0.5255510447720679,24.369026354278144,0,24.369026354278144,8.395108970268806,2488.2,0,24.369026354278144,15.8501
23,0.09,OP,0,24.800408695652173,15.68750684271958,0.09,0,0,0.48066511397969447,23.227944107332625,0,23.227944107332625,7.540437264613045,2488.2,0,23.227944107332625,10.3276
24,0.06,SOP,0,12.545043478260869,7.935371461920046,0.06,0,0,-0.2864064821932916,5.662629636614487,0,5.662629636614487,-2.272741825305559,2488.2,0,5.662629636614487,11.6576
