Hr,P0,Period,I01,Xi,X0,P1,P1p,P1pC,X1p,X1,Tp,Xt,Xint_effect,MT,Curt,Xf,Event_Usage
1,0.05,SOP,0,13.39869,9.307143724832214,0.05,0,0,-0.1414136231957761,7.990986809099859,0,7.990986809099859,-1.3161569157323552,2732.3999999999996,0,7.990986809099859,7.392
2,0.05,SOP,0,12.224585,8.491574144295301,0.05,0,0,-0.14402511013623842,7.268574242933136,0,7.268574242933136,-1.222999901362165,2732.3999999999996,0,7.268574242933136,7.128
3,0.05,SOP,0,12.940825,8.989096560402684,0.05,0,0,-0.14651391014144421,7.67206887469908,0,7.67206887469908,-1.3170276857036045,2732.3999999999996,0,7.67206887469908,7.752
4,0.05,SOP,0,30.71186,21.33340610738255,0.05,0,0,-0.14948247889007799,18.144435679282278,0,18.144435679282278,-3.188970428100273,2732.3999999999996,0,18.144435679282278,29.3
5,0.05,SOP,0,106.95275,74.29268204697986,0.05,0,0,-0.15369322010192266,62.87440051317123,0,62.87440051317123,-11.418281533808631,2732.3999999999996,0,62.87440051317123,83.136
6,0.05,SOP,0,125.51483,87.18647587248323,0.05,0,0,-0.16055590338710227,73.1881724756389,0,73.1881724756389,-13.998303396844335,2732.3999999999996,0,73.1881724756389,130.022
7,0.05,SOP,0,321.52589,223.34180949664432,0.05,0,0,-0.17343091599944632,184.60743489466748,0,184.60743489466748,-38.73437460197684,2732.3999999999996,0,184.60743489466748,237.756
8,0.05,SOP,0,835.67528,580.4858488590604,0.05,0,0,-0.2028643939686308,462.7259389229009,0,462.7259389229009,-117.75990993615949,2732.3999999999996,47,462.7259389229009,518.524
9,0.12,OP,0,659.315925,457.9811962248322,0.12,0,0,0.34338814297280795,615.2465087129425,0,615.2465087129425,157.26531248811028,2732.3999999999996,374,615.2465087129425,762.324
10,0.12,OP,0,749.25987,520.4590372147651,0.12,0,0,0.3562880433039023,705.8923692038467,0,705.8923692038467,185.43333198908158,2732.3999999999996,45097,705.8923692038467,650.076
11,0.12,OP,0,666.015405,462.6348618624161,0.12,0,0,0.36826538284454546,633.0072663834121,0,633.0072663834121,170.37240452099604,2732.3999999999996,117871,633.0072663834121,493.716
12,0.12,OP,1,320.501285,222.63008723154363,0.06999999999999999,-0.4166666666666667,-0.4166666666666667,0.3787376070650924,306.94847373031126,0,306.94847373031126,84.31838649876764,2732.3999999999996,102274,306.94847373031126,373.03
13,0.29,P,1,456.78637,317.2979147315436,0.24,-0.17241379310344826,-0.17241379310344826,0.4177106217431608,449.83662397186504,0,449.83662397186504,132.53870924032145,2732.3999999999996,93877,449.83662397186504,359.368
14,0.29,P,1,496.9659,345.20785671140936,0.24,-0.17241379310344826,-0.17241379310344826,0.3951039406067892,481.600841226511,0,481.600841226511,136.39298451510166,2732.3999999999996,68622,481.600841226511,337.406
15,0.29,P,1,235.228905,163.39725951342282,0.24,-0.17241379310344826,-0.17241379310344826,0.4158832912682089,231.35144958407076,0,231.35144958407076,67.95419007064794,2732.3999999999996,52139,231.35144958407076,305.822
16,0.29,P,0,233.297725,162.05580226510068,0.29,0,0,0.480267096556467,239.88587189908952,0,239.88587189908952,77.83006963398884,2732.3999999999996,38783,239.88587189908952,145.828
17,0.29,P,0,200.31405,139.14432332214764,0.29,0,0,0.5374144866601854,213.9224984119985,0,213.9224984119985,74.77817508985086,2732.3999999999996,55195,213.9224984119985,106.992
18,0.29,P,0,76.332535,53.02293538590604,0.29,0,0,0.5880653114808845,84.20388439924969,0,84.20388439924969,31.18094901334365,2732.3999999999996,26782,84.20388439924969,74.468
19,0.12,OP,0,72.748475,50.533336661073825,0.12,0,0,0.16249229876709118,58.74461469950303,0,58.74461469950303,8.211278038429207,2732.3999999999996,2596,58.74461469950303,45.148
20,0.12,OP,0,63.26354,43.94480798657718,0.12,0,0,0.13635590056216723,49.93694185461843,0,49.93694185461843,5.99213386804125,2732.3999999999996,243,49.93694185461843,28.692
21,0.12,OP,0,26.365715,18.31443961409396,0.12,0,0,0.24104588088344392,22.729059843759877,0,22.729059843759877,4.414620229665918,2732.3999999999996,113,22.729059843759877,30.492
22,0.12,OP,0,26.34243,18.29826513422819,0.12,0,0,0.22133973825046327,22.348398349475836,0,22.348398349475836,4.050133215247648,2732.3999999999996,0,22.348398349475836,14.476
23,0.12,OP,0,24.3369,16.90516208053691,0.12,0,0,0.1947360896789792,20.197207239490027,0,20.197207239490027,3.2920451589531154,2732.3999999999996,0,20.197207239490027,17.722
24,0.05,SOP,0,11.40541,7.9225498993288594,0.05,0,0,-0.13786297516506674,6.830323599313683,0,6.830323599313683,-1.0922263000151764,2732.3999999999996,0,6.830323599313683,11.33
