Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,Xi,X0,Xf,curt,Pbase,Pnew,Xdelta,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,13.39869,9.307143724832214,7.392,0,0.4653571862416107,0.36960000000000004,-1.9151437248322134,-0.4185040802011637,0,0,2.2166962513588633,0.008279514064742314,-0.45613262684686334,-0.001703686960742314,1.760563624512,0.006575827104
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,12.224585,8.491574144295301,7.128,0,0.4245787072147651,0.35640000000000005,-1.3635741442953009,-0.2976185470578461,0,0,2.0161849168480632,0.007534302007860603,-0.32375830158406305,-0.001209855703860603,1.6924266152640002,0.006324446304000001
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,12.940825,8.989096560402684,7.752,0,0.44945482802013426,0.3876,-1.2370965604026845,-0.2682739061071613,0,0,2.1466064522596606,0.008037969242443037,-0.29542006149166056,-0.001106200610443037,1.851186390768,0.006931768632
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,30.71186,21.33340610738255,29.3,0,1.0666703053691275,1.465,7.96659389261745,1.6009307235557897,0,0,5.225915875020082,0.01954381066925255,1.951528475279918,0.0072983002307474495,7.1774443503,0.0268421109
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,106.95275,74.29268204697986,83.136,0,3.7146341023489935,4.1568,8.843317953020133,1.7714404808744544,0,0,18.213643335271144,0.06803783256008054,2.1680337101688547,0.008098781327919462,20.38167704544,0.076136613888
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,125.51483,87.18647587248323,130.022,0,4.359323793624162,6.5011,42.83552412751676,8.085657308025954,0,0,21.678320870197986,0.08096109993576031,10.65076007932201,0.03977693919823968,32.32908094952,0.120738039134
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,321.52589,223.34180949664432,237.756,0,11.167090474832216,11.8878,14.414190503355684,2.8279104350024764,0,0,55.51149038930819,0.20746712036124182,3.5826395398158026,0.013389658670758168,59.094129929123994,0.220856779032
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,835.67528,580.4858488590604,518.524,47,29.024292442953023,25.9262,-61.96184885906041,-17.043259792457086,-17.043259792457086,0,130.22681703338574,0.483372888288335,-13.90058753418174,-0.05159587939233504,116.326229499204,0.431777008896
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,659.315925,457.9811962248322,762.324,374,54.95774354697986,91.47887999999999,304.34280377516774,113.33044223838229,113.33044223838229,0,88.24477590122557,0.3239923855325104,58.64140872523043,0.21530305573148956,146.886184626456,0.539295441264
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,749.25987,520.4590372147651,650.076,45097,62.45508446577181,78.00912,129.61696278523493,53.57685491303677,53.57685491303677,0,93.7515823164983,0.3416865625218654,23.348226252741703,0.08509483223813459,117.09980856924,0.42678139476
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,666.015405,462.6348618624161,493.716,117871,55.51618342348993,59.24592,31.081138137583935,13.650072517274204,13.650072517274204,0,79.25426039291624,0.28502563731453967,5.324528733843768,0.019148840557460363,84.57878912676,0.304174477872
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,320.501285,222.63008723154363,373.03,102274,26.715610467785233,44.7636,150.39991276845635,112.79993457634225,112.79993457634225,0,37.70783076788774,0.13509861583471763,16.21718598287588,0.05443303722898526,53.92501675076362,0.1895316530637029
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,456.78637,317.2979147315436,359.368,93877,92.01639527214763,104.21672,42.07008526845641,31.552563951342307,31.552563951342307,0,54.202577154058694,0.19337245466441824,4.53629516504012,0.01522608940053028,58.73887231909882,0.20859854406494852
