Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
6/1/2017,15,0.14,0.15,0.14,0.14,0.18,0.11,0.14,4.04,2.05,0.68,2.24,0.26,0.14,1.32,2.6,1.65,0.18,0.11,0.15,0.18,0.11,0.14,0.18,0.1
6/2/2017,15,0.15,0.14,0.14,0.14,0.18,0.11,0.14,0.18,0.11,0.14,0.18,0.11,2.37,2.94,0.11,0.14,0.18,0.11,0.15,0.17,0.11,0.14,0.18,0.11
6/3/2017,15,0.14,0.14,0.14,0.15,0.17,0.11,0.15,0.19,0.11,0.14,0.19,0.1,0.15,0.18,0.11,0.14,0.18,0.11,0.15,0.18,0.1,0.15,0.18,0.1
6/4/2017,15,0.15,0.14,0.14,0.15,0.17,0.11,0.15,0.19,0.11,0.14,0.19,0.11,0.14,0.19,0.1,0.15,0.19,0.11,0.14,0.18,0.11,0.15,0.18,0.1
6/5/2017,15,0.15,0.14,0.14,0.14,0.18,0.11,0.14,3.35,0.81,0.15,0.17,0.11,0.14,0.18,0.11,0.14,0.18,0.11,0.14,0.17,0.11,0.14,0.18,0.11
6/6/2017,15,0.14,0.14,0.15,0.14,0.17,0.11,0.15,2.68,4.14,6.43,3.35,0.16,0.14,0.18,0.1,0.15,0.9,0.11,0.15,0.17,0.11,0.14,0.18,0.11
6/7/2017,15,0.15,0.14,0.14,0.14,0.18,0.11,0.14,2.98,1.5,1.79,0.18,0.11,0.14,0.18,1.56,3.13,0.32,0.11,0.14,0.17,0.11,0.14,0.18,0.11
6/8/2017,15,0.14,0.15,0.14,0.14,0.18,0.11,0.14,5.96,7.69,6.25,4.64,7.71,21.74,1.78,0.11,0.14,0.18,0.11,0.15,0.17,0.11,0.14,0.18,0.11
6/9/2017,15,0.14,0.14,0.15,0.14,0.17,0.11,1.75,1.78,0.11,0.54,0.18,0.11,0.14,0.18,0.1,0.14,0.19,0.1,0.15,0.18,0.1,0.15,0.18,0.1
6/10/2017,15,0.14,0.15,0.14,0.14,0.18,0.11,0.14,0.19,0.1,0.15,0.19,0.11,0.14,0.18,0.11,0.15,0.19,0.11,0.14,0.18,0.11,0.14,0.18,0.11
6/11/2017,15,0.14,0.15,0.14,0.14,0.18,0.11,0.15,0.19,0.11,0.15,0.18,0.11,0.15,0.18,0.11,0.15,0.19,0.11,0.14,0.18,0.11,0.14,0.18,0.11
6/12/2017,15,0.14,0.14,0.14,0.14,0.18,0.11,0.15,5.39,2.02,0.17,0.58,0.11,2.79,0.79,0.11,0.14,0.19,0.11,0.14,0.18,0.11,0.14,0.18,0.11
6/13/2017,15,0.14,0.15,0.14,0.14,0.18,0.1,0.55,2.25,2.61,0.36,0.17,0.11,0.14,5.59,6.89,6.55,7.78,4.91,3.34,0.58,0.1,0.15,0.17,0.11
6/14/2017,15,0.14,0.14,0.14,0.14,0.18,0.11,0.15,3.4,0.83,0.15,0.17,0.11,2.62,0.31,4.1,31.08,11.28,0.11,0.15,0.17,0.11,0.14,0.17,0.11
6/15/2017,15,0.14,0.15,0.14,0.14,0.18,0.1,0.15,2.75,2.16,4.79,5.42,2.51,3.74,4.72,1.38,24.16,8.96,2.91,0.14,0.18,0.1,0.14,0.18,0.1
6/16/2017,15,0.15,0.14,0.14,0.14,0.18,0.11,3.34,3.78,0.51,0.14,0.18,0.1,0.14,0.18,1.31,6.54,4.98,0.5,0.15,0.17,0.11,0.14,0.17,0.11
6/17/2017,15,0.14,0.15,0.14,0.14,0.18,0.11,0.15,0.18,0.11,0.14,0.18,0.11,0.14,0.18,0.11,0.14,0.18,0.11,0.14,0.18,0.11,0.14,0.17,0.11
6/18/2017,15,0.14,0.14,0.15,0.14,0.18,0.11,0.15,0.18,0.11,0.15,0.18,0.11,0.14,0.18,0.11,0.14,0.18,0.11,0.15,0.17,0.11,0.14,0.17,0.11
6/19/2017,15,0.14,0.14,0.15,0.14,0.18,0.11,0.14,0.18,1.31,3.34,4.57,3.82,3.34,6.72,1.08,0.54,1.21,0.51,0.15,0.57,0.11,0.14,0.17,0.11
6/20/2017,15,0.14,0.54,0.15,0.14,0.18,0.11,0.14,1.81,1.79,3.34,13.97,5.8,9.55,8.18,0.9,6.94,8.58,4.51,0.94,0.18,0.1,0.14,0.58,0.11
6/21/2017,15,0.14,0.14,0.14,0.15,0.17,0.11,0.15,3.37,4.43,3.34,4.57,2.51,2.14,4.33,2.78,12.54,18.75,7.91,0.56,0.17,0.11,0.14,0.17,0.11
6/22/2017,15,0.14,0.14,0.15,0.14,0.18,0.1,0.15,0.18,0.3,3.46,1.41,0.11,1.71,0.57,1.3,6.55,8.18,2.11,0.15,0.17,0.11,0.14,0.18,0.1
6/23/2017,15,0.15,0.14,0.14,0.15,0.17,0.11,0.15,0.17,0.11,0.14,0.18,0.11,0.14,6.98,4.91,0.55,0.18,0.11,0.15,0.18,0.11,0.14,0.18,0.11
6/24/2017,15,0.14,0.14,0.15,0.14,0.18,0.11,0.15,0.19,0.11,0.15,0.18,0.11,0.15,0.18,0.11,0.15,0.18,0.11,0.15,0.18,0.11,0.15,0.18,0.11
6/25/2017,15,0.14,0.15,0.14,0.15,0.18,0.11,0.15,0.18,0.11,0.15,0.19,0.11,0.14,0.19,0.1,0.15,0.18,0.11,0.15,0.18,0.11,0.14,0.18,0.11
6/26/2017,15,0.14,0.14,0.15,0.14,0.18,0.11,0.14,1.48,4.99,8.5,9.09,11.44,12.98,9.1,9.91,11.48,6.95,0.1,0.15,0.17,0.11,0.14,0.18,0.1
6/27/2017,15,0.15,0.14,0.14,0.15,0.17,0.11,0.15,0.17,0.59,3.46,2.26,0.11,0.26,4.3,4.51,6.55,0.98,0.11,0.14,0.18,0.1,0.15,0.18,0.1
6/28/2017,15,0.15,0.14,0.14,0.14,0.18,0.1,1.75,4.58,2.5,3.75,4.17,0.91,0.14,0.58,3.71,12.54,2.18,0.11,0.54,0.18,0.1,0.15,0.17,0.11
6/29/2017,15,0.14,0.15,0.14,0.14,0.18,0.11,0.15,0.18,0.1,0.15,0.18,0.1,0.14,0.18,0.11,6.14,15.78,1.31,0.15,0.17,0.11,0.14,0.18,0.11
6/30/2017,15,0.14,0.14,0.15,0.14,0.18,0.1,6.15,2.58,0.11,0.14,0.18,0.11,0.14,0.18,1.3,6.14,7.78,0.51,0.15,0.17,0.11,0.14,0.18,0.11
7/1/2017,15,0.14,0.15,0.14,0.14,0.18,0.11,0.15,0.99,2.51,3.75,4.19,2.91,3.34,0.59,0.51,0.14,0.19,0.51,0.15,0.17,0.11,0.14,0.19,0.1
7/2/2017,15,0.15,0.14,0.15,0.14,0.18,0.11,0.15,0.19,0.11,0.14,0.59,0.11,0.15,0.58,0.11,0.55,0.18,0.11,0.55,0.18,0.11,0.14,0.58,0.11
7/3/2017,15,0.15,0.14,0.15,0.14,0.18,0.11,0.15,0.18,0.12,0.14,2,2.61,1.21,0.58,7.19,9.68,4.18,0.12,0.14,0.18,0.11,0.14,0.18,0.11
7/4/2017,15,0.15,0.14,0.15,0.14,0.18,0.11,0.15,0.18,0.11,0.15,0.18,0.1,0.15,0.18,0.1,0.15,0.18,0.11,0.14,0.18,0.1,0.14,0.18,0.1
7/5/2017,15,0.14,0.15,0.14,0.15,0.18,0.11,0.14,0.19,2.02,2.12,2.76,0.58,0.14,2.25,0.91,6.54,7.78,0.91,0.15,0.17,0.11,0.14,0.18,0.11
7/6/2017,15,0.14,0.14,0.14,0.14,0.18,0.11,0.15,4.58,4.1,3.34,4.58,2.51,4.95,1.07,5.57,8.48,4.23,0.11,0.55,0.18,0.1,0.14,0.18,0.1
7/7/2017,15,0.14,0.15,0.14,0.14,0.18,0.1,0.15,0.18,0.11,0.54,0.18,0.1,0.14,0.58,4.51,6.54,4.58,0.1,0.15,0.57,0.11,0.14,0.18,0.1
7/8/2017,15,0.14,0.15,0.14,0.14,0.17,0.11,0.15,0.58,0.11,0.14,0.18,0.1,0.54,0.18,0.5,0.15,0.58,0.1,0.15,0.57,0.11,0.14,0.17,0.11
7/9/2017,15,0.14,0.14,0.14,0.14,0.18,0.11,0.14,0.19,0.11,0.14,0.19,0.5,0.15,0.17,0.11,0.55,0.17,0.11,0.55,0.17,0.11,0.14,0.17,0.11
7/10/2017,15,0.14,0.14,0.14,0.14,0.18,0.1,0.15,0.53,2.03,0.14,0.18,0.1,0.14,2.58,7.93,12.73,11.05,0.9,0.2,0.18,0.1,0.14,0.18,0.1
7/11/2017,15,0.15,0.14,0.14,0.14,0.18,0.11,0.14,0.18,0.51,0.54,0.18,0.1,0.14,6.37,10.18,14.98,8.33,4.75,5.07,0.36,0.1,0.14,0.18,0.11
7/12/2017,15,0.14,0.15,0.14,0.15,0.18,0.11,0.95,0.18,2.2,0.54,0.57,1.31,12.35,7.3,5.38,10.95,10.97,4.95,2.52,0.22,0.11,0.14,0.18,0.11
7/13/2017,15,0.14,0.14,0.15,0.15,0.18,0.11,0.14,0.73,2.6,1.22,0.18,0.1,0.15,3.93,11.71,7.17,3.42,0.11,0.15,0.17,0.11,0.14,0.17,0.11
7/14/2017,15,0.14,0.15,0.14,0.15,0.18,0.11,0.14,0.59,2.5,3.75,4.18,2.51,3.74,2.58,5.31,6.55,4.18,0.11,0.15,0.17,0.11,0.54,0.18,0.11
7/15/2017,15,0.14,0.14,0.14,0.14,0.18,0.1,0.15,0.17,0.11,0.14,0.19,0.11,0.55,0.18,0.51,0.15,0.58,0.11,0.15,0.58,0.11,0.14,0.18,0.11
