HR,CO2Baseline,NOXBaseline,CO2Marginal_gas,NOXMarginal_gas,CO2Marginal_nogas,NOXMarginal_nogas,SolarPerc
1,0.238171486,0.000889587,0.238171486,0.000889587,0.238171486,0.000889587,0.218523589
2,0.237433588,0.000887268,0.237433588,0.000887268,0.237433588,0.000887268,0.21826356
3,0.238801134,0.000894191,0.238801134,0.000894191,0.238801134,0.000894191,0.216857693
4,0.244963971,0.000916113,0.244963971,0.000916113,0.244963971,0.000916113,0.200955483
5,0.245160665,0.000915808,0.245160665,0.000915808,0.245160665,0.000915808,0.20031401
6,0.24864316,0.000928597,0.24864316,0.000928597,0.24864316,0.000928597,0.188760555
7,0.248549479,0.000928922,0.248549479,0.000928922,0.248549479,0.000928922,0.196189334
8,0.224341071,0.000832704,0.224341071,0.000832704,0.224341071,0.000832704,0.275060543
9,0.192682094,0.000707436,0.192682094,0.000707436,0.192682094,0.000707436,0.372377598
10,0.18013249,0.00065651,0.18013249,0.00065651,0.18013249,0.00065651,0.413347557
11,0.17131061,0.000616092,0.17131061,0.000616092,0.17131061,0.000616092,0.43917544
12,0.16937437,0.00060683,0.107827097,0.000361922,0,0,0.75
13,0.170825507,0.000609435,0.107827097,0.000361922,0,0,0.75
14,0.17705872,0.000634126,0.107827097,0.000361922,0,0,0.75
15,0.182377743,0.000649333,0.107827097,0.000361922,0,0,0.75
16,0.187255332,0.000667189,0.187255332,0.000667189,0.187255332,0.000667189,0.399065365
17,0.193554542,0.000689127,0.441505815,0.001013884,0.441505815,0.001013884,0.382736028
18,0.206690761,0.000739891,0.441505815,0.001013884,0.441505815,0.001013884,0.338690398
19,0.233105318,0.000840696,0.441505815,0.001013884,0.441505815,0.001013884,0.248604538
20,0.256652121,0.000929912,0.441505815,0.001013884,0.441505815,0.001013884,0.181879789
21,0.258196825,0.00094027,0.035723352,0.001013884,0.035723352,0.001013884,0.175433241
22,0.256173397,0.000938902,0.256173397,0.000938902,0.256173397,0.000938902,0.180771531
23,0.252616496,0.000929203,0.252616496,0.000929203,0.252616496,0.000929203,0.187693346
24,0.248270398,0.000915271,0.248270398,0.000915271,0.248270398,0.000915271,0.200293835
