Hr,Jul_11_18_LR,Jul_31_18_LR,Aug_30_18_LR,Sep_27_18_LR,Oct_16_18_LS,Oct_30_18_LS,Nov_14_18_LS,Nov_28_18_LS
1,1.19799375,1.31361875,0.326857143,0.381066667,1.7136,0.807571429,0.981,0.541042857
2,1.02386875,1.21281875,0.327285714,0.384666667,0.6606,0.561285714,0.527166667,0.544557143
3,0.4058,0.92284375,0.328857143,0.382266667,0.1596,0.371857143,0.401,0.354328571
4,0.298025,0.71218125,0.327571429,0.3796,0.16,0.369285714,0.397833333,0.349471429
5,0.47280625,0.15891875,0.504428571,0.5316,0.1598,0.370857143,0.5395,0.444042857
6,0.6844375,0.6024375,1.247714286,1.7448,1.1074,0.530142857,1.545833333,0.264107143
7,1.7146875,1.66265625,2.677428571,2.8224,3.2676,1.622714286,2.192166667,1.040728571
8,2.48519375,2.81481875,6.021714286,5.476533333,6.851,3.266,2.3995,2.5019
9,3.36161875,3.95986875,8.209714286,9.080533333,5.7054,4.428571429,3.033666667,2.726978571
10,2.8909,3.18106875,6.904142857,8.8336,3.1914,4.571857143,3.046166667,3.365035714
11,3.07015625,1.79006875,5.074142857,6.105066667,5.8878,4.279142857,3.393,2.668285714
12,2.98948125,2.22824375,4.793142857,5.307333333,7.2256,3.855857143,4.555166667,2.257814286
13,2.55615625,1.65603125,5.645285714,5.737333333,7.6938,4.596,3.056166667,2.204621429
14,3.13306875,1.01455,4.973,6.181333333,5.7118,4.025857143,2.997,2.391021429
15,2.69553125,0.6613125,3.789714286,6.032266667,2.5476,2.79,3.884166667,2.047964286
16,1.2911875,0.98469375,2.264285714,3.792666667,2.345,2.342571429,2.983333333,2.557735714
17,1.6631125,1.9141125,1.575571429,3.007333333,2.3296,2.861,3.490166667,2.541742857
18,0.4495625,2.14018125,1.229714286,2.009466667,2.8926,2.425714286,3.5035,2.977835714
19,1.1349625,1.0990375,1.365714286,1.879733333,3.1224,2.005428571,4.299,2.773764286
20,2.34055,1.03989375,1.344142857,1.014666667,4.0056,0.920285714,4.490666667,2.17235
21,2.256525,1.050075,0.376,1.25,2.4304,0.889285714,2.889333333,1.671764286
22,0.658975,1.04095625,0.328142857,1.0084,1.8578,0.889428571,1.487,1.070492857
23,1.3461625,1.21854375,0.715571429,1.008133333,1.5506,0.734,0.844166667,0.574471429
24,1.129575,1.31743125,0.525142857,0.3828,1.6732,0.983,1.787833333,0.662921429
