Hr,Jul_11_18_LR,Jul_31_18_LR,Aug_30_18,Sep_27_18_LR,Oct_16_18_LS,Oct_30_18_LS,Nov_14_18_LS,Nov_28_18_LS
1,19.1679,21.0179,4.576,5.716,17.136,11.306,11.772,7.5746
2,16.3819,19.4051,4.582,5.77,6.606,7.858,6.326,7.6238
3,6.4928,14.7655,4.604,5.734,1.596,5.206,4.812,4.9606
4,4.7684,11.3949,4.586,5.694,1.6,5.17,4.774,4.8926
5,7.5649,2.5427,7.062,7.974,1.598,5.192,6.474,6.2166
6,10.951,9.639,17.468,26.172,11.074,7.422,18.55,3.6975
7,27.435,26.6025,37.484,42.336,32.676,22.718,26.306,14.5702
8,39.7631,45.0371,84.304,82.148,68.51,45.724,28.794,35.0266
9,53.7859,63.3579,114.936,136.208,57.054,62,36.404,38.1777
10,46.2544,50.8971,96.658,132.504,31.914,64.006,36.554,47.1105
11,49.1225,28.6411,71.038,91.576,58.878,59.908,40.716,37.356
12,47.8317,35.6519,67.104,79.61,72.256,53.982,54.662,31.6094
13,40.8985,26.4965,79.034,86.06,76.938,64.344,36.674,30.8647
14,50.1291,16.2328,69.622,92.72,57.118,56.362,35.964,33.4743
15,43.1285,10.581,53.056,90.484,25.476,39.06,46.61,28.6715
16,20.659,15.7551,31.7,56.89,23.45,32.796,35.8,35.8083
17,26.6098,30.6258,22.058,45.11,23.296,40.054,41.882,35.5844
18,7.193,34.2429,17.216,30.142,28.926,33.96,42.042,41.6897
19,18.1594,17.5846,19.12,28.196,31.224,28.076,51.588,38.8327
20,37.4488,16.6383,18.818,15.22,40.056,12.884,53.888,30.4129
21,36.1044,16.8012,5.264,18.75,24.304,12.45,34.672,23.4047
22,10.5436,16.6553,4.594,15.126,18.578,12.452,17.844,14.9869
23,21.5386,19.4967,10.018,15.122,15.506,10.276,10.13,8.0426
24,18.0732,21.0789,7.352,5.742,16.732,13.762,21.454,9.2809
