Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,69.12,77.92,102.71,111.3996,155.1692,252.5199,373.5364,425.8421,353.0829,411.0874,402.4741,445.8578,503.8003,561.4296,516.868,505.7365,543.5104,688.9757
2,44.7,47.13,56.76,73.8074,90.1157,187.7238,319.7646,346.0344,304.4359,326.2784,351.2561,400.7013,410.9196,492.8124,434.8249,412.0759,443.9982,586.4017
3,14.75,25.25,40.59,47.5812,57.9692,126.985,275.8568,295.616,287.5008,314.9226,316.6936,360.6283,382.4882,407.9283,368.7336,324.0523,349.2419,474.0628
4,13.09,25.2,38.67,47.8826,55.5592,108.6916,243.5854,292.568,240.5396,274.4348,278.7247,315.7315,319.3836,373.547,311.7632,298.6359,326.3654,404.4984
5,29.51,36.98,62.02,71.3858,67.589,123.7848,276.9783,321.6584,263.371,367.3291,411.5722,485.2232,489.0901,539.1344,483.0205,433.4449,513.4817,413.3252
6,22.37,34.62,77.73,62.7774,80.9294,77.3036,168.7065,196.5248,169.1171,311.7448,319.7427,432.02,532.1648,484.6037,427.1392,496.6759,731.0895,293.7108
7,48.14,126.19,178.65,190.6516,187.9225,183.5133,222.6491,292.7281,295.6723,615.7995,691.8844,1009.9122,1063.5082,1107.127,1078.6203,1167.853,1685.596,775.392
8,234.66,484.03,443.93,451.8492,443.949,399.1545,411.6654,617.1091,818.7309,1775.646,2339.7859,2741.9609,2518.5995,2767.7624,2906.0501,3154.5706,4144.8232,2280.8229
9,177.63,326.3,289.82,287.547,330.4794,330.2111,415.1092,695.4493,988.2771,1364.0591,1968.2023,1974.5601,1754.6578,1958.3887,2077.8303,2379.3587,2927.5138,2244.4411
10,228.41,379.31,306.02,316.2832,412.9692,488.1014,648.164,1110.948,1266.6616,1645.2287,2421.7607,2292.0915,2166.1646,2448.8226,2508.347,3016.6896,3454.2262,3267.1784
11,246.49,374.27,343.34,373.1676,456.3625,598.1444,848.2262,1344.3963,1395.8759,1726.1452,2383.7395,2417.3699,2032.2162,2473.3833,2536.3604,3025.3735,3844.3766,3765.9136
12,90.3,144.04,194.71,189.6037,198.39,288.0603,466.8381,711.2132,749.2749,940.6788,1212.6957,1274.092,1106.0888,1264.8409,1452.9828,1701.5031,2235.1509,2170.8876
13,143.21,249.32,279.24,299.8964,340.7,344.822,503.6302,838.4599,849.3129,1258.1998,1680.0096,1722.6799,1549.643,1689.6512,1922.946,2312.6445,2953.0204,2871.6452
14,213.82,408.82,400.5,418.6974,478.76,430.6525,627.5876,1095.4638,1090.3948,1419.8439,1867.6549,1964.2405,1776.9298,1876.2379,2103.1206,2710.9141,3436.6026,3247.5544
15,132.88,263.11,239.14,258.1582,276.13,284.0308,353.1385,629.3583,621.9711,773.1714,975.1252,1038.0709,985.9878,946.2033,1126.9899,1474.238,1916.8573,1698.2685
16,160.64,290.3,264.57,354.9086,337.56,386.5513,517.2381,766.3195,823.8024,968.7619,1146.5624,1273.1476,1206.1718,1202.2651,1386.3968,1738.689,2180.8038,2257.1602
17,179.8,264.01,231.59,391.3208,368.22,434.2056,617.3839,799.8365,947.9677,1230.0248,1346.9157,1426.3027,1517.7866,1634.0193,1651.6458,2126.4502,2448.0471,2651.1636
18,105.12,152.02,140.25,205.7418,225.34,228.4693,391.1197,467.702,522.6878,797.3699,771.3246,824.6804,785.3671,915.6313,868.2821,1123.3372,1430.1806,1493.4975
19,123.22,207.71,175.23,228.8745,263.16,327.123,534.7016,657.0826,800.7626,1086.1983,1090.8829,1070.8479,1063.0412,1193.0886,1104.7392,1460.7953,1905.5237,1963.84
20,135.88,342.15,252.76,314.3343,261.37,470.3658,752.6433,986.3824,1081.7809,1219.4349,1154.9132,1203.7587,1385.8029,1415.5835,1251.5358,1542.1477,1844.8772,2129.685
21,95.18,226.99,196.02,228.3767,200.43,261.7981,463.2536,599.0395,656.5006,612.4934,585.5744,585.7307,766.3445,686.2403,642.9966,718.0515,811.9615,1016.4167
22,103.6,255.7,274.94,292.0789,248.87,346.2346,564.6726,709.9516,675.2118,682.8376,644.2107,670.7979,877.4837,748.7312,844.7756,734.3849,873.4732,1109.2647
23,77.91,167.67,281.31,288.2077,237.7398,404.979,646.604,769.2916,630.2989,723.2734,699.3026,735.815,813.7218,800.2082,956.8221,782.1322,929.3773,1180.8302
24,31.97,68.91,127.89,130.9519,134.9194,225.3186,333.3368,401.7111,332.7367,373.2303,364.4085,384.3346,431.0635,458.3373,468.7741,402.652,495.423,593.0888
