ELAST,HR24
-0.19,2
-0.14531845389752848,3
-0.10406064948192019,4
-0.06625493678152518,5
-0.03192966582469345,6
-0.001113186639774999,7
0.026166150744880046,8
0.049879996300921714,9
0.07,10
0.08653221069657535,11
0.09962027277635013,12
0.10944222950783725,13
0.11617612415954957,14
0.12000000000000001,15
0.12092979036872865,16
0.11833298888938472,17
0.11141497925664459,18
0.09938114516518472,19
0.0814368703096815,20
0.05679117966803176,21
0.024736847732201833,22
-0.015349601491772502,23
-0.06408800271463505,24
-0.12209819064712965,1
-0.19,2
