Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,0.142666667,0.141290323,0.282245161,0.34993,0.381932258,0.395116667,0.352903226,2.874319355,1.935335714,0.439232258,1.270106667,2.242603226,1.841356667,2.765793548,6.430129032,9.28216,8.879148387,15.16164
2,0.156333333,0.155483871,0.323122581,0.346666667,0.432625806,0.409776667,0.352903226,1.86856129,1.337132143,0.812522581,1.27024,1.523383871,1.362046667,2.034967742,4.944664516,5.8401,7.060441935,12.31785333
3,0.143,0.140645161,0.269032258,0.348293333,0.355196774,0.393753333,0.365793548,0.860354839,1.6932,1.119325806,0.972566667,1.041580645,0.93957,1.689541935,2.696212903,3.855743333,5.654870968,9.362603333
4,0.142,0.140967742,0.320864516,0.7794,0.94556129,0.639453333,0.365183871,0.742980645,1.623917857,0.874848387,0.521743333,0.665603226,0.716553333,1.47966129,1.84113871,3.495686667,5.167232258,7.138963333
5,0.177666667,0.177096774,0.334193548,0.74359,0.872912903,1.55516,0.560929032,0.647583871,1.254607143,0.583516129,0.507706667,1.007109677,0.958646667,1.629706452,2.881777419,6.425666667,10.73864516,6.208936667
6,0.108333333,0.105806452,0.255058065,0.256686667,0.389348387,0.313756667,0.262903226,0.255545161,0.473578571,0.384770968,0.502746667,1.017958065,1.954703333,3.388380645,3.452112903,6.085293333,12.06943548,5.940963333
7,0.573333333,0.208387097,0.8273,0.421016667,0.869329032,0.392103333,0.360954839,0.389467742,0.832860714,1.197035484,3.743583333,4.943129032,5.562296667,10.15732258,10.05895161,10.43697667,19.44429032,12.37657
8,1.824333333,0.944193548,2.598693548,2.837953333,2.623258065,0.76852,0.579677419,2.715567742,3.418525,3.93966129,7.772993333,10.79761935,9.967063333,16.72406774,16.75259355,15.94746,21.04191613,19.55907
9,1.388,1.392258065,1.702187097,3.10166,2.462548387,0.858443333,0.755816129,3.330835484,2.882864286,3.333158065,5.810403333,7.612832258,6.420176667,10.10339032,10.68590323,11.27770333,11.96513871,12.13842667
10,1.746,1.378709677,1.190635484,2.7174,2.766448387,2.31671,1.10936129,4.524248387,5.437828571,5.410580645,8.079703333,9.929729032,9.370923333,12.31779032,13.77442903,14.71065333,15.44935161,17.15708333
11,1.984,1.346451613,1.401409677,2.821943333,2.275525806,2.04885,1.393909677,7.895922581,9.286771429,5.015077419,10.93963,9.912319355,13.50849667,13.42169032,14.78678387,18.09364333,19.94597742,19.71850333
12,1.246666667,1.015806452,1.057080645,1.163086667,1.151687097,0.983666667,0.730616129,3.907148387,5.939314286,3.273525806,6.66956,4.538564516,7.566226667,8.150364516,10.46954194,12.33636,13.30168065,12.72049
13,2.197666667,1.653225806,1.672819355,1.495603333,1.609625806,1.02549,0.570929032,3.794258065,7.682792857,4.321864516,5.980713333,8.275129032,10.46245,15.44409677,21.98624516,19.74095,20.47546774,19.06049
14,2.031,3.305806452,2.958348387,4.20534,3.722670968,0.972496667,0.580967742,5.588241935,6.566046429,6.788932258,10.08453333,14.58491935,21.64809333,24.60466129,36.94376774,30.00860667,33.08276774,26.62418667
15,1.661666667,4.825806452,2.490190323,4.785086667,3.642209677,0.942453333,0.898693548,3.679754839,4.469682143,5.688764516,6.880756667,9.841148387,20.69096667,23.4478,28.30569032,26.20942,29.7151,18.03985667
16,4.836666667,5.938709677,3.941535484,4.794956667,4.870603226,3.556063333,2.750635484,7.813622581,8.839242857,9.517270968,9.979046667,15.80050323,33.46889667,36.14212258,34.17910323,33.01965333,34.07466452,29.64289333
17,3.578666667,4.393548387,3.296016129,3.310006667,3.37686129,4.439183333,4.818929032,9.068503226,8.755357143,10.15275484,10.43920667,27.93396774,55.92476,62.96065484,62.00187742,58.70443333,61.01315484,40.08585667
18,0.915666667,1.341935484,0.687754839,0.611386667,0.879322581,1.116096667,1.629067742,3.1317,3.052153571,4.639764516,6.009693333,16.39335161,31.64459,34.36826452,35.5259871,31.75929333,36.09288387,30.62696
19,0.306333333,1.07,0.713151613,0.469563333,0.782919355,1.070796667,1.060374194,5.707529032,5.749971429,6.059564516,7.941143333,20.12578387,33.48069,36.80738065,35.93040323,29.2062,33.25880323,39.22115667
20,0.202,0.349032258,0.650854839,1.098153333,1.273916129,0.95751,0.69613871,11.0536871,7.421775,4.950845161,6.90456,16.42666452,24.76229,31.05995484,25.11507097,18.02040333,20.86452258,32.71908
21,0.107666667,0.118709677,0.413432258,0.27993,0.344229032,0.55877,0.301290323,6.362383871,2.827471429,2.467654839,2.225213333,5.885758065,7.743086667,11.91690323,7.058312903,5.922636667,7.635993548,12.29371667
22,0.142333333,0.180967742,0.379270968,0.355303333,0.417467742,0.485473333,0.352903226,5.867516129,2.969267857,3.508770968,1.85167,4.5361,5.920533333,11.16455806,21.74395806,24.61734,26.86137419,20.6965
23,0.190666667,0.203870968,0.341612903,0.436336667,0.4394,0.493123333,0.467716129,5.941180645,3.034285714,2.088283871,1.8477,3.139587097,3.736573333,6.909206452,20.30066452,24.29944667,27.29257419,30.91827667
24,0.107333333,0.106451613,0.262154839,0.272413333,0.262858065,0.298113333,0.267096774,2.479316129,1.307121429,0.429025806,0.938296667,1.77136129,1.487476667,3.254677419,7.653051613,10.31308333,10.7088871,13.03174
