Hr,Jul_11_18_LR,Jul_31_18_LR,Aug_30_18,Sep_27_18_LR,Oct_16_18_LS,Oct_30_18_LS,Nov_14_18_LS,Nov_28_18_LS
1,0.136,0.096416667,0.048,5.904,0.807142857,0.1432,1.118716667,2.840683333
2,0.085,0.093083333,0,0.454,0.620857143,0.1432,0.747516667,1.4558
3,0.0825,0.09475,0,0.014,0.623142857,0.1432,0.68855,0.572633333
4,0.085,0.093083333,0,0.014,0.616,0.1408,0.636283333,0.34135
5,0.08,0.092133333,0,0.014,1.197142857,0.532,1.3029,1.0387
6,0.0875,1.75445,0.472,4.604,2.504857143,1.646,2.82635,3.082983333
7,0.085,2.871266667,6.608,2.856,1.353142857,2.1212,2.00145,3.59765
8,1.739325,1.66555,6.588,0.796,0.566857143,0.8,2.885416667,1.72635
9,3.335175,1.655883333,6.632,8.666,0.996857143,0.3376,2.176816667,1.346683333
10,3.33645,0.672416667,6.612,6.59,1.279428571,0.7104,2.501816667,2.441416667
11,2.8309,0.654416667,6.62,1.08,1.103714286,3.41,3.82765,1.937016667
12,1.780075,0.948533333,6.584,0.014,1.422285714,1.5664,2.862433333,3.4023
13,1.7295,2.116983333,3.564,0.17,1.873428571,7.0008,3.188016667,4.40135
14,2.340875,2.18205,0,8.284,3.554857143,9.1708,6.204266667,4.2043
15,2.9526,13.09188333,3.144,11.828,4.711428571,10.6668,7.461833333,5.29635
16,1.170525,6.577233333,1.756,10.456,5.704,9.1,8.584016667,6.36145
17,3.788925,8.794833333,0,4.946,8.781714286,6.702,8.382883333,11.70631667
18,4.7815,5.126416667,5.604,5.962,7.362285714,4.4828,6.776816667,6.879983333
19,4.713,4.358883333,5.812,8.062,4.45,2.0676,7.38595,5.765333333
20,4.6565,5.849883333,8.664,2.134,2.162857143,0.7848,4.772916667,2.97035
21,4.722,3.601216667,0.172,0.608,1.23,0.1856,10.1067,1.58065
22,1.479,4.641983333,2.748,15.21,7.221428571,6.9764,7.717316667,10.17401667
23,0.7485,2.819716667,9.36,5.42,8.794285714,6.7512,6.192466667,8.778083333
24,1.4565,0.332916667,3.04,10.77,1.352,2.3312,1.255566667,2.910316667
