Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,4.28,4.38,8.7496,10.4979,11.8399,11.8535,10.94,89.1039,54.1894,13.6162,38.1032,69.5207,55.2407,85.7396,199.334,278.4648,275.2536,454.8492
2,4.69,4.82,10.0168,10.4,13.4114,12.2933,10.94,57.9254,37.4397,25.1882,38.1072,47.2249,40.8614,63.084,153.2846,175.203,218.8737,369.5356
3,4.29,4.36,8.34,10.4488,11.0111,11.8126,11.3396,26.671,47.4096,34.6991,29.177,32.289,28.1871,52.3758,83.5826,115.6723,175.301,280.8781
4,4.26,4.37,9.9468,23.382,29.3124,19.1836,11.3207,23.0324,45.4697,27.1203,15.6523,20.6337,21.4966,45.8695,57.0753,104.8706,160.1842,214.1689
5,5.33,5.49,10.36,22.3077,27.0603,46.6548,17.3888,20.0751,35.129,18.089,15.2312,31.2204,28.7594,50.5209,89.3351,192.77,332.898,186.2681
6,3.25,3.28,7.9068,7.7006,12.0698,9.4127,8.15,7.9219,13.2602,11.9279,15.0824,31.5567,58.6411,105.0398,107.0155,182.5588,374.1525,178.2289
7,17.2,6.46,25.6463,12.6305,26.9492,11.7631,11.1896,12.0735,23.3201,37.1081,112.3075,153.237,166.8689,314.877,311.8275,313.1093,602.773,371.2971
8,54.73,29.27,80.5595,85.1386,81.321,23.0556,17.97,84.1826,95.7187,122.1295,233.1898,334.7262,299.0119,518.4461,519.3304,478.4238,652.2994,586.7721
9,41.64,43.16,52.7678,93.0498,76.339,25.7533,23.4303,103.2559,80.7202,103.3279,174.3121,235.9978,192.6053,313.2051,331.263,338.3311,370.9193,364.1528
10,52.38,42.74,36.9097,81.522,85.7599,69.5013,34.3902,140.2517,152.2592,167.728,242.3911,307.8216,281.1277,381.8515,427.0073,441.3196,478.9299,514.7125
11,59.52,41.74,43.4437,84.6583,70.5413,61.4655,43.2112,244.7736,260.0296,155.4674,328.1889,307.2819,405.2549,416.0724,458.3903,542.8093,618.3253,591.5551
12,37.4,31.49,32.7695,34.8926,35.7023,29.51,22.6491,121.1216,166.3008,101.4793,200.0868,140.6955,226.9868,252.6613,324.5558,370.0908,412.3521,381.6147
13,65.93,51.25,51.8574,44.8681,49.8984,30.7647,17.6988,117.622,215.1182,133.9778,179.4214,256.529,313.8735,478.767,681.5736,592.2285,634.7395,571.8147
14,60.93,102.48,91.7088,126.1602,115.4028,29.1749,18.01,173.2355,183.8493,210.4569,302.536,452.1325,649.4428,762.7445,1145.2568,900.2582,1025.5658,798.7256
15,49.85,149.6,77.1959,143.5526,112.9085,28.2736,27.8595,114.0724,125.1511,176.3517,206.4227,305.0756,620.729,726.8818,877.4764,786.2826,921.1681,541.1957
16,145.1,184.1,122.1876,143.8487,150.9887,106.6819,85.2697,242.2223,247.4988,295.0354,299.3714,489.8156,1004.0669,1120.4058,1059.5522,990.5896,1056.3146,889.2868
17,107.36,136.2,102.1765,99.3002,104.6827,133.1755,149.3868,281.1236,245.15,314.7354,313.1762,865.953,1677.7428,1951.7803,1922.0582,1761.133,1891.4078,1202.5757
18,27.47,41.6,21.3204,18.3416,27.259,33.4829,50.5011,97.0827,85.4603,143.8327,180.2908,508.1939,949.3377,1065.4162,1101.3056,952.7788,1118.8794,918.8088
19,9.19,33.17,22.1077,14.0869,24.2705,32.1239,32.8716,176.9334,160.9992,187.8465,238.2343,623.8993,1004.4207,1141.0288,1113.8425,876.186,1031.0229,1176.6347
20,6.06,10.82,20.1765,32.9446,39.4914,28.7253,21.5803,342.6643,207.8097,153.4762,207.1368,509.2266,742.8687,962.8586,778.5672,540.6121,646.8002,981.5724
21,3.23,3.68,12.8164,8.3979,10.6711,16.7631,9.34,197.2339,79.1692,76.4973,66.7564,182.4585,232.2926,369.424,218.8077,177.6791,236.7158,368.8115
22,4.27,5.61,11.7574,10.6591,12.9415,14.5642,10.94,181.893,83.1395,108.7719,55.5501,140.6191,177.616,346.1013,674.0627,738.5202,832.7026,620.895
23,5.72,6.32,10.59,13.0901,13.6214,14.7937,14.4992,184.1766,84.96,64.7368,55.431,97.3272,112.0972,214.1854,629.3206,728.9834,846.0698,927.5483
24,3.22,3.3,8.1268,8.1724,8.1486,8.9434,8.28,76.8588,36.5994,13.2998,28.1489,54.9122,44.6243,100.895,237.2446,309.3925,331.9755,390.9522
