Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,0,0,0,0,3.070967742,4.146666667,8.012903226,7.04516129,7.242857143,6.916129032,9.6,7.260258065,9.708666667,9.464741935,9.516677419,10.0932,8.745096774,9.922866667
2,0,0,0,0,2.374193548,4.413333333,8.232258065,7.477419355,8.364285714,5.412903226,5.386666667,4.566451613,5.743833333,5.935967742,6.601419355,5.079933333,4.546354839,7.471933333
3,0,0,0,0,1.341935484,1.52,4.580645161,4.064516129,5.828571429,3.258064516,2.093333333,2.338193548,3.306733333,3.771580645,2.858354839,3.3666,2.999516129,3.356266667
4,0,0,0,0,1.212903226,0.4,2.619354839,2.070967742,2.457142857,1.761290323,1.306666667,1.451612903,2.1349,2.814258065,1.214258065,2.717866667,2.089612903,2.024933333
5,0,0,0,0,1.187096774,0.533333333,2.15483871,1.677419355,1.528571429,1.361290323,1.413333333,0.922580645,1.293866667,3.215290323,1.167225806,2.1947,1.800290323,2.190833333
6,0,0,0,0,0.438709677,0.413333333,1.058064516,0.612903226,0.657142857,0.438709677,0.626666667,0.271225806,0.6875,0.964322581,0.544419355,1.1078,0.864967742,0.797433333
7,0,0,0,0,0.322580645,0.413333333,1.032258065,0.593548387,0.6,0.35483871,0.386666667,0.747483871,0.679,0.916516129,0.883290323,1.288133333,0.740483871,0.962893333
8,0,0,0,0,0.232258065,0,1.019354839,0.309677419,0.592857143,1.432258065,0.52,0.524516129,0.321566667,0.881032258,0.993516129,1.290633333,1.318322581,1.20768
9,0,0,0,0,0.15483871,0.413333333,0.335483871,0.283870968,0.442857143,1.316129032,0.793333333,0.966451613,0.247833333,1.026096774,0.912580645,1.267433333,1.688806452,0.592393333
10,0,0,0,0,0.683870968,1.426666667,0.141935484,0.8,1.828571429,2.025806452,1.12,1.435096774,1.238466667,1.887806452,1.376064516,2.1933,2.624129032,1.188266667
11,0,0,0,0,0.941935484,2.626666667,1.070967742,1,2.464285714,2.916129032,1.553333333,1.744387097,2.547266667,3.301129032,0.940612903,2.508766667,4.968451613,3.417066667
12,0,0,0,0,1.277419355,2.613333333,0.8,0.574193548,0.485714286,3.038709677,2.96,1.975483871,3.033666667,2.779290323,1.525193548,3.493133333,4.365677419,2.894523333
13,0,0,0,0,1.329032258,4.08,2.980645161,2.819354839,3.328571429,4.593548387,3.693333333,2.956129032,5.4481,5.403645161,4.343032258,4.884366667,6.409354839,4.158066667
14,0,0,0,0,1.367741935,3.906666667,3.6,3.387096774,4.521428571,3.961290323,3.113333333,3.899612903,3.906533333,4.540677419,3.319129032,3.212266667,5.069903226,6.063963333
15,0,0,0,0,1.470967742,2.64,2.516129032,0.748387097,1.521428571,2.451612903,2.22,2.647483871,1.433333333,3.346419355,2.094129032,3.357433333,3.628677419,3.58229
16,0,0,0,0,1.238709677,4.413333333,3.35483871,1.767741935,1.371428571,3.741935484,3.36,3.042064516,2.135233333,5.633806452,4.128741935,5.486433333,5.806419355,5.585233333
17,0,0,0,0,1.832258065,4.586666667,3.264516129,3.516129032,2.378571429,4.677419355,4.633333333,4.063612903,4.6592,7.453645161,6.631032258,8.885766667,11.63822581,6.894786667
18,0,0,0,0,1.109677419,2.853333333,1.741935484,2.877419355,2.221428571,3.864516129,4.786666667,4.832258065,5.221166667,5.903741935,4.465516129,5.8902,7.070451613,4.278446667
19,0,0,0,0,2.232258065,3.453333333,3.277419355,5.135483871,5.65,8.025806452,9.826666667,8.658193548,9.428533333,10.85796774,6.752709677,9.117333333,10.33609677,7.457546667
20,0,0,0,0,3.870967742,4.6,4.851612903,7.432258065,10.67857143,12.4,11.27333333,12.61212903,14.22853333,13.46480645,10.47316129,13.93566667,13.037,11.74439
21,0,0,0,0,2.980645161,2.986666667,3.135483871,4.141935484,6.021428571,7.432258065,6.96,7.401677419,8.7191,7.882290323,5.618903226,8.787666667,9.154870968,6.91502
22,0,0,0,0,3.070967742,4.173333333,4.696774194,4.961290323,7.478571429,7.935483871,7.62,8.111870968,11.24973333,10.25025806,6.241645161,10.7285,10.91941935,8.60797
23,0,0,0,0,2.967741935,2.853333333,7.367741935,5.761290323,7.778571429,7.987096774,8.926666667,8.127225806,11.46673333,10.95316129,5.755193548,12.39933333,11.87167742,13.63671
24,0,0,0,0,2.348387097,1.48,3.961290323,3.219354839,3.464285714,5.212903226,8.153333333,5.794709677,8.133533333,7.152354839,5.210612903,8.8296,7.712387097,7.893536667
