Hour,7/11/2018,7/31/2018,8/30/2018,9/27/2018,10/16/2018,10/30/2018,11/14/2018,11/28/2018
event_type,LR,LR,LR,LR,LS,LS,LS,LS
participating_chargers,23,22,35,22,0,0,10,10
1,5.721,5.964,5.652,6.008,0,0,16.856,6.188
2,0.03,0.088,3.312,0.596,0,0,4.208,2.584
3,0.045,0,0.2,0,0,0,0,0
4,0.045,0,0,0,0,0,0,0
5,0.045,0,0,0,0,0,0,0
6,0.03,0,0,0,0,0,0,0
7,0.045,0,0,0,0,0,0,0
8,0.03,0,0,0,0,0,0,0
9,3.398,0,0,0,0,0,2.184,0
10,3.666,2.608,0,3.744,0,0,1.7,0
11,0.297,6.012,0,6.688,0,0,0.032,0.76
12,0.554,6.736,0,12.04,0,0,4.696,0
13,5.21,3.336,0,11.44,0,0,1.024,0
14,5.901,2.948,0,0.624,0,0,0,1.2
15,1.834,1.284,0.276,0,0,0,3.584,3.748
16,0.03,1.732,5.36,4.796,0,0,0,5.9
17,0.885,9.576,3.692,1.888,0,0,0,8.572
18,5.789,9.248,3.692,6.652,0,0,0,7.864
19,4.593,9.256,5.06,14.176,0,0,0,6.296
20,5.929,10.16,5.884,17.144,0,0,2.06,6.624
21,1.214,8.88,10.328,11.956,0,0,0,12.472
22,0.045,6.26,16.536,8.108,0,0,4.996,12.536
23,0.045,6.244,12.376,9.688,0,0,0,9.2
24,4.305,6.04,9.24,6.104,0,0,24.608,7.06
