Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,0,0,0,0,95.2,124.4,248.4,218.4,202.8,214.4,288,225.068,291.26,293.407,295.017,302.796,271.098,297.686
2,0,0,0,0,73.6,132.4,255.2,231.8,234.2,167.8,161.6,141.56,172.315,184.015,204.644,152.398,140.937,224.158
3,0,0,0,0,41.6,45.6,142,126,163.2,101,62.8,72.484,99.202,116.919,88.609,100.998,92.985,100.688
4,0,0,0,0,37.6,12,81.2,64.2,68.8,54.6,39.2,45,64.047,87.242,37.642,81.536,64.778,60.748
5,0,0,0,0,36.8,16,66.8,52,42.8,42.2,42.4,28.6,38.816,99.674,36.184,65.841,55.809,65.725
6,0,0,0,0,13.6,12.4,32.8,19,18.4,13.6,18.8,8.408,20.625,29.894,16.877,33.234,26.814,23.923
7,0,0,0,0,10,12.4,32,18.4,16.8,11,11.6,23.172,20.37,28.412,27.382,38.644,22.955,28.8868
8,0,0,0,0,7.2,0,31.6,9.6,16.6,44.4,15.6,16.26,9.647,27.312,30.799,38.719,40.868,36.2304
9,0,0,0,0,4.8,12.4,10.4,8.8,12.4,40.8,23.8,29.96,7.435,31.809,28.29,38.023,52.353,17.7718
10,0,0,0,0,21.2,42.8,4.4,24.8,51.2,62.8,33.6,44.488,37.154,58.522,42.658,65.799,81.348,35.648
11,0,0,0,0,29.2,78.8,33.2,31,69,90.4,46.6,54.076,76.418,102.335,29.159,75.263,154.022,102.512
12,0,0,0,0,39.6,78.4,24.8,17.8,13.6,94.2,88.8,61.24,91.01,86.158,47.281,104.794,135.336,86.8357
13,0,0,0,0,41.2,122.4,92.4,87.4,93.2,142.4,110.8,91.64,163.443,167.513,134.634,146.531,198.69,124.742
14,0,0,0,0,42.4,117.2,111.6,105,126.6,122.8,93.4,120.888,117.196,140.761,102.893,96.368,157.167,181.9189
15,0,0,0,0,45.6,79.2,78,23.2,42.6,76,66.6,82.072,43,103.739,64.918,100.723,112.489,107.4687
16,0,0,0,0,38.4,132.4,104,54.8,38.4,116,100.8,94.304,64.057,174.648,127.991,164.593,179.999,167.557
17,0,0,0,0,56.8,137.6,101.2,109,66.6,145,139,125.972,139.776,231.063,205.562,266.573,360.785,206.8436
18,0,0,0,0,34.4,85.6,54,89.2,62.2,119.8,143.6,149.8,156.635,183.016,138.431,176.706,219.184,128.3534
19,0,0,0,0,69.2,103.6,101.6,159.2,158.2,248.8,294.8,268.404,282.856,336.597,209.334,273.52,320.419,223.7264
20,0,0,0,0,120,138,150.4,230.4,299,384.4,338.2,390.976,426.856,417.409,324.668,418.07,404.147,352.3317
21,0,0,0,0,92.4,89.6,97.2,128.4,168.6,230.4,208.8,229.452,261.573,244.351,174.186,263.63,283.801,207.4506
22,0,0,0,0,95.2,125.2,145.6,153.8,209.4,246,228.6,251.468,337.492,317.758,193.491,321.855,338.502,258.2391
23,0,0,0,0,92,85.6,228.4,178.6,217.8,247.6,267.8,251.944,344.002,339.548,178.411,371.98,368.022,409.1013
24,0,0,0,0,72.8,44.4,122.8,99.8,97,161.6,244.6,179.636,244.006,221.723,161.529,264.888,239.084,236.8061
