Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,22.18,29.22,39.1499,119.2743,143.0117,145.4127,153.8899,154.882,300.5378,364.9143,367.8882,373.0029,326.7007,406.1272,516.0245,385.324,426.0618,489.9873
2,22.88,27.19,45.5866,108.9852,137.3149,142.6373,131.2284,144.298,263.1172,299.5119,298.816,337.5802,319.1927,362.6287,444.7501,369.3242,369.2621,413.4069
3,24.72,27.66,47.09,96.0435,121.6531,134.1802,142.1846,147.7873,239.8662,281.3815,316.8735,344.5826,336.2324,355.9175,442.969,379.1818,437.2127,381.8947
4,18.98,30.99,45.0133,93.8086,129.5362,138.502,139.9588,158.4724,233.6406,468.3622,672.8317,592.4412,641.684,743.749,920.6384,752.2199,781.2242,404.5531
5,29.11,91.22,134.69,236.3666,299.401,227.2465,200.1228,199.8981,647.4886,1414.6736,1917.2953,2094.7308,1871.8081,2305.2548,2962.8518,2428.2782,3033.4541,1052.4805
6,49.47,92.2,200.0033,316.3662,342.2066,239.354,167.2715,191.4465,797.1466,1442.4034,1784.8925,2024.1065,1724.338,2293.2833,3008.03,2765.7897,3262.8602,1504.1269
7,283.55,371.29,598.9733,963.1507,1217.8691,602.7241,343.5093,513.7687,1525.5798,3517.454,4536.1368,4783.3473,5053.3486,5803.5055,7193.542,6839.7947,7749.6968,3640.083
8,277.49,528.89,1125.9032,3190.417,4249.1767,2139.0475,1361.1411,1900.8751,4115.9831,11163.0292,13682.3677,14234.1662,14871.3924,16055.495,19181.8482,17292.3993,21010.351,10578.9979
9,120.53,326.63,971.3166,3032.2532,3941.9173,2788.3541,2226.2764,2867.452,5780.8904,10977.6267,11964.9212,12419.7946,12498.5167,13380.2572,15404.5922,13569.7101,16900.8306,11886.6482
10,142.79,330.88,1053.9768,3502.9477,4479.8809,4864.9474,4659.5471,5607.5288,11721.422,14974.3343,13921.9694,14495.4877,14851.1718,15935.9261,17850.3941,15494.7602,19643.1744,19628.0168
11,120.02,263.98,677.5334,2592.9771,3407.802,4675.2623,4701.6291,5292.1279,12665.5034,13337.4608,11985.4471,12591.2418,12741.0808,14124.2637,15484.1509,13901.448,17792.3177,20906.1871
12,46.87,132.55,294.2801,935.9117,1181.2499,1711.2459,1693.0008,1847.9369,5068.8446,5456.7915,5185.9028,5355.2547,5407.9492,6428.8308,7101.2707,6739.2113,8714.9037,9240.0732
13,79.76,212.54,448.9934,1346.0147,1762.1474,1580.0013,1451.8204,1584.1439,4816.2066,6498.622,7074.6454,7125.0012,7499.3846,8689.9801,9987.743,9547.7079,12093.8546,10531.0503
14,96.74,213.94,480.1499,1353.0753,1798.8779,2041.1746,2164.7717,2308.0743,5756.3071,6937.3719,7258.9592,7470.7604,7963.4237,9048.5205,10669.7242,10464.6206,12508.8738,12897.351
15,51.13,114.62,232.1799,647.3667,748.6861,1009.9096,1187.19,1177.1346,2966.4743,3367.2893,3342.5182,3498.9061,3650.0114,4278.7931,4972.6716,5015.4065,5749.9949,6674.2389
16,46.66,86.29,207.3032,610.2302,720.8147,1006.4458,1251.831,1179.7519,3220.6385,3514.3382,3395.6399,3682.6109,3589.7933,4309.0055,5036.7313,4999.6708,5809.7917,7013.1973
17,49.79,94.45,211.1067,499.8894,527.6892,864.9099,1131.0612,1029.4174,2810.4893,2986.9157,3098.8477,3406.6306,3070.1,3827.2066,4290.2251,4370.5426,5074.3506,6270.2207
18,41.56,69.23,128.3967,215.1521,232.5597,315.3421,490.5727,529.63,1219.8301,1277.1672,1301.4911,1509.8868,1233.6065,1561.5733,1709.2117,1749.8959,2118.9291,2732.7242
19,49.52,81.47,129.1433,232.4414,261.7656,318.2216,445.0574,553.2933,1273.5399,1278.893,1256.4742,1467.02,1282.3869,1554.5295,1752.0691,1727.4971,2018.4495,2780.5761
20,52.97,81.23,91.9167,207.611,261.8207,254.5016,409.1787,408.5543,1142.4045,1134.9543,1144.8327,1322.0151,1225.4146,1608.4242,1706.0718,1573.7624,1702.341,2472.55
21,25.33,40.18,35.22,131.1735,167.8938,132.0713,183.572,174.7358,508.3241,548.188,521.2062,570.7079,563.1756,751.4566,727.4493,684.2231,692.0876,1061.6665
22,29.93,42.17,45.5367,154.1712,189.2139,199.442,203.5065,196.8365,483.7277,555.6887,596.9723,581.3663,563.4721,809.6328,836.4465,700.0575,716.0872,1086.0674
23,24.25,48.05,56.1965,181.39,227.8518,206.9395,227.2843,226.3868,490.083,566.6615,602.9273,565.5651,598.5351,739.0808,823.506,663.3897,720.5518,1026.4327
24,15.29,24.91,34.4467,102.6941,119.7535,123.8317,125.4417,123.8977,262.9198,284.5075,290.3067,275.2014,267.3951,352.4627,417.9364,325.9673,368.0048,455.7759
