Hr,Jun_17,Jul_17,Aug_17,Sep_17,Oct_17,Nov_17,Dec_17,Jan_18,Feb_18,Mar_18,Apr_18,May_18,June_18,Jul_18,Aug_18,Sep_18,Oct_18,Nov_18
1,0.739333333,0.942580645,1.2629,3.97581,4.613280645,4.84709,4.964190323,4.996193548,10.73349286,11.77142903,12.26294,12.03235161,10.89002333,13.10087742,16.64595161,12.84413333,13.74392903,16.33291
2,0.762666667,0.877096774,1.470535484,3.63284,4.429512903,4.754576667,4.233174194,4.654774194,9.397042857,9.661674194,9.960533333,10.88968387,10.63975667,11.6977,14.34677742,12.31080667,11.91168065,13.78023
3,0.824,0.892258065,1.519032258,3.20145,3.924293548,4.472673333,4.5866,4.767332258,8.56665,9.076822581,10.56245,11.11556774,11.20774667,11.48120968,14.28932258,12.63939333,14.10363548,12.72982333
4,0.632666667,0.999677419,1.452041935,3.126953333,4.178587097,4.616733333,4.5148,5.112012903,8.344307143,15.10845806,22.42772333,19.11100645,21.38946667,23.99190323,29.6980129,25.07399667,25.20078065,13.48510333
5,0.970333333,2.942580645,4.34483871,7.878886667,9.658096774,7.574883333,6.455574194,6.448325806,23.12459286,45.63463226,63.90984333,67.57196129,62.39360333,74.36305806,95.57586452,80.94260667,97.85335806,35.08268333
6,1.649,2.974193548,6.451719355,10.54554,11.03892258,7.978466667,5.395854839,6.175693548,28.46952143,46.52914194,59.49641667,65.29375806,57.47793333,73.97688065,97.03322581,92.19299,105.2535548,50.13756333
7,9.451666667,11.97709677,19.32171935,32.10502333,39.2861,20.09080333,11.08094516,16.57318387,54.48499286,113.4662581,151.20456,154.3015258,168.4449533,187.2098548,232.0497419,227.9931567,249.9902194,121.3361
8,9.249666667,17.06096774,36.31945806,106.3472333,137.0702161,71.30158333,43.90777742,61.31855161,146.9993964,360.0977161,456.0789233,459.1666516,495.71308,517.9191935,618.7692968,576.41331,677.7532581,352.6332633
9,4.017666667,10.53645161,31.33279355,101.0751067,127.1586226,92.94513667,71.81536774,92.49845161,206.4603714,354.1169903,398.8307067,400.6385355,416.6172233,431.6212,496.922329,452.32367,545.1880839,396.2216067
10,4.759666667,10.67354839,33.99925161,116.7649233,144.5122871,162.1649133,150.307971,180.8880258,418.6222143,483.0430419,464.0656467,467.5963774,495.03906,514.0621323,575.8191645,516.4920067,633.6507871,654.2672267
11,4.000666667,8.515483871,21.85591613,86.43257,109.9290968,155.8420767,151.6654548,170.7138032,452.3394071,430.240671,399.5149033,406.1690903,424.7026933,455.6214097,499.4887387,463.3816,573.9457323,696.8729033
12,1.562333333,4.275806452,9.492906452,31.19705667,38.10483548,57.04153,54.61292903,59.61086774,181.0301643,176.0255323,172.8634267,172.7501516,180.2649733,207.3816387,229.0732484,224.6403767,281.1259258,308.00244
13,2.658666667,6.856129032,14.48365806,44.86715667,56.84346452,52.66671,46.83291613,51.10141613,172.0073786,209.6329677,235.8215133,229.8387484,249.9794867,280.3219387,322.1852581,318.25693,390.1243419,351.03501
14,3.224666667,6.901290323,15.48870645,45.10251,58.02831935,68.03915333,69.83134516,74.45400968,205.5823964,223.7861903,241.9653067,240.992271,265.4474567,291.8877581,344.1846516,348.8206867,403.5120581,429.9117
15,1.704333333,3.697419355,7.489674194,21.57889,24.15116452,33.66365333,38.29645161,37.97208387,105.9455107,108.6222355,111.4172733,112.8679387,121.6670467,138.0255839,160.4087613,167.1802167,185.4837065,222.47463
16,1.555333333,2.783548387,6.6872,20.34100667,23.2520871,33.54819333,40.38164516,38.0565129,115.0228036,113.3657484,113.1879967,118.7939,119.6597767,139.0001774,162.4752032,166.6556933,187.4126355,233.7732433
17,1.659666667,3.046774194,6.809893548,16.66298,17.02223226,28.83033,36.48584516,33.2070129,100.3746179,96.35211935,103.2949233,109.8913097,102.3366667,123.4582774,138.3943581,145.6847533,163.688729,209.0073567
18,1.385333333,2.233225806,4.141829032,7.171736667,7.501925806,10.51140333,15.82492581,17.08483871,43.56536071,41.19894194,43.38303667,48.70602581,41.12021667,50.37333226,55.13586129,58.32986333,68.35255161,91.09080667
19,1.650666667,2.628064516,4.165912903,7.748046667,8.444051613,10.60738667,14.35669032,17.84817097,45.48356786,41.2546129,41.88247333,47.32322581,42.74623,50.1461129,56.51835806,57.58323667,65.11127419,92.68587
20,1.765666667,2.620322581,2.965054839,6.920366667,8.445829032,8.483386667,13.1993129,13.17917097,40.80016071,36.61142903,38.16109,42.64564839,40.84715333,51.88465161,55.03457419,52.45874667,54.91422581,82.41833333
21,0.844333333,1.296129032,1.136129032,4.37245,5.415929032,4.402376667,5.921677419,5.63663871,18.15443214,17.68348387,17.37354,18.40993226,18.77252,24.24053548,23.46610645,22.80743667,22.32540645,35.38888333
22,0.997666667,1.360322581,1.468925806,5.13904,6.103674194,6.648066667,6.564725806,6.349564516,17.27598929,17.92544194,19.89907667,18.75375161,18.78240333,26.1171871,26.98214516,23.33525,23.0995871,36.20224667
23,0.808333333,1.55,1.812790323,6.046333333,7.350058065,6.897983333,7.331751613,7.3028,17.50296429,18.27940323,20.09757667,18.24403548,19.95117,23.84131613,26.56470968,22.11299,23.24360645,34.21442333
24,0.509666667,0.803548387,1.111183871,3.423136667,3.863016129,4.127723333,4.046506452,3.9967,9.389992857,9.17766129,9.67689,8.877464516,8.91317,11.36976452,13.48181935,10.86557667,11.87112258,15.19253
