Hr,Jul_11_18_LR,Jul_31_18_LR,Aug_30_18,Sep_27_18_LR,Oct_16_18_LS,Oct_30_18_LS,Nov_14_18_LS,Nov_28_18_LS
1,0.60497619,0.579244444,0.447965,0.410666667,0.4887,0.754961111,0.598116,0.49541875
2,0.338485714,0.5923,0.347935,0.396,0.4177,0.434988889,0.545792,0.43601875
3,0.382042857,0.585188889,0.367765,0.430666667,0.5961,0.642977778,0.41472,0.452775
4,1.120195238,1.503805556,1.40129,1.627777778,1.5648,1.319672222,0.7453,1.176375
5,2.744080952,3.996161111,3.991365,4.618666667,4.254,3.465066667,2.241376,4.363575
6,4.221138095,6.958572222,6.176085,7.223444444,7.3695,6.982305556,4.592988,7.17098125
7,8.130304762,13.03786111,11.11842,13.20866667,8.8445,8.865666667,8.766164,11.965625
8,18.3576,26.44302222,19.704825,28.80688889,22.1237,19.08293333,18.45588,23.7222375
9,29.33845238,36.25655,27.877035,42.35133333,37.7075,30.31399444,26.838328,34.5745
10,26.28045238,32.17628889,27.9499,36.11533333,34.4634,28.9842,24.022972,30.99649375
11,18.64135714,23.20586111,22.0106,27.42866667,27.9947,28.00655556,22.604532,30.1924875
12,12.38110476,16.3709,15.249275,20.72388889,21.1851,21.58367222,18.0656,20.13660625
13,13.18105714,17.11397778,13.98256,19.96488889,20.6482,20.5818,17.871904,18.92180625
14,10.69232857,14.54715556,13.348725,18.74477778,17.8109,16.56987222,16.13198,18.35399375
15,8.807757143,9.751633333,10.17903,16.99011111,13.1677,12.36266667,12.341352,14.17229375
16,5.198157143,4.634455556,5.005235,8.101555556,9.3296,10.41087222,8.810452,10.10721875
17,4.883885714,5.183877778,3.60169,5.944,7.2262,7.473111111,6.149456,9.30268125
18,3.198519048,4.776438889,2.004535,4.137111111,4.5062,4.868316667,4.820756,6.3578125
19,2.8697,2.779983333,1.27529,2.508222222,3.5447,3.935944444,2.97942,4.26615
20,2.307633333,1.591072222,1.805855,1.594,2.6353,2.608183333,2.142168,3.6009625
21,1.716861905,1.893305556,1.369155,1.694,1.275,1.884588889,1.82308,2.19308125
22,1.264195238,1.557233333,1.137765,0.804222222,0.9768,0.880561111,1.334208,2.33819375
23,1.531433333,1.601811111,1.065135,0.984555556,0.7939,0.573755556,1.12154,1.8027875
24,0.628257143,0.591488889,0.64612,0.629444444,0.5183,0.647644444,0.480592,0.6510375
