Hr,Jul_11_18_LR,Jul_31_18_LR,Aug_30_18,Sep_27_18_LR,Oct_16_18_LS,Oct_30_18_LS,Nov_14_18_LS,Nov_28_18_LS
1,12.7045,10.4264,8.9593,7.392,9.774,13.5893,14.9529,7.9267
2,7.1082,10.6614,6.9587,7.128,8.354,7.8298,13.6448,6.9763
3,8.0229,10.5334,7.3553,7.752,11.922,11.5736,10.368,7.2444
4,23.5241,27.0685,28.0258,29.3,31.296,23.7541,18.6325,18.822
5,57.6257,71.9309,79.8273,83.136,85.08,62.3712,56.0344,69.8172
6,88.6439,125.2543,123.5217,130.022,147.39,125.6815,114.8247,114.7357
7,170.7364,234.6815,222.3684,237.756,176.89,159.582,219.1541,191.45
8,385.5096,475.9744,394.0965,518.524,442.474,343.4928,461.397,379.5558
9,616.1075,652.6179,557.5407,762.324,754.15,545.6519,670.9582,553.192
10,551.8895,579.1732,558.998,650.076,689.268,521.7156,600.5743,495.9439
11,391.4685,417.7055,440.212,493.716,559.894,504.118,565.1133,483.0798
12,260.0032,294.6762,304.9855,373.03,423.702,388.5061,451.64,322.1857
13,276.8022,308.0516,279.6512,359.368,412.964,370.4724,446.7976,302.7489
14,224.5389,261.8488,266.9745,337.406,356.218,298.2577,403.2995,293.6639
15,184.9629,175.5294,203.5806,305.822,263.354,222.528,308.5338,226.7567
16,109.1613,83.4202,100.1047,145.828,186.592,187.3957,220.2613,161.7155
17,102.5616,93.3098,72.0338,106.992,144.524,134.516,153.7364,148.8429
18,67.1689,85.9759,40.0907,74.468,90.124,87.6297,120.5189,101.725
19,60.2637,50.0397,25.5058,45.148,70.894,70.847,74.4855,68.2584
20,48.4603,28.6393,36.1171,28.692,52.706,46.9473,53.5542,57.6154
21,36.0541,34.0795,27.3831,30.492,25.5,33.9226,45.577,35.0893
22,26.5481,28.0302,22.7553,14.476,19.536,15.8501,33.3552,37.4111
23,32.1601,28.8326,21.3027,17.722,15.878,10.3276,28.0385,28.8446
24,13.1934,10.6468,12.9224,11.33,10.366,11.6576,12.0148,10.4166
