Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,227.0472290138588,0.05,18.110632258064516,338.839094127378,0.13,227.0472290138588,-111.79186511351921,0,1,151.12765740631662,0.05,18.110632258064516,338.839094127378,0.13,151.12765740631662,-187.7114367210614,0,1,293.34065815071585,0.05,18.110632258064516,338.839094127378,0.13,293.34065815071585,-45.498435976662165,0,1
2,199.29781016830853,0.05,15.897174193548388,297.42661803143096,0.13,199.29781016830853,-98.12880786312243,0,1,132.6570304679067,0.05,15.897174193548388,297.42661803143096,0.13,132.6570304679067,-164.76958756352425,0,1,257.4889420879017,0.05,15.897174193548388,297.42661803143096,0.13,257.4889420879017,-39.93767594352926,0,1
3,164.96990923053238,0.05,13.158977419354839,246.19659462365593,0.13,164.96990923053238,-81.22668539312356,0,1,109.80762034766451,0.05,13.158977419354839,246.19659462365593,0.13,109.80762034766451,-136.38897427599142,0,1,213.13795353914838,0.05,13.158977419354839,246.19659462365593,0.13,213.13795353914838,-33.05864108450754,0,1
4,151.06579926751263,0.05,12.049903225806451,225.4464800110284,0.13,151.06579926751263,-74.38068074351577,0,1,100.55273722859883,0.05,12.049903225806451,225.4464800110284,0.13,100.55273722859883,-124.89374278242957,0,1,195.17411057455013,0.05,12.049903225806451,225.4464800110284,0.13,195.17411057455013,-30.27236943647827,0,1
5,218.03084765400564,0.05,17.391432258064516,325.38329241797624,0.13,218.03084765400564,-107.35244476397058,0,1,145.12615455109608,0.05,17.391432258064516,325.38329241797624,0.13,145.12615455109608,-180.25713786688016,0,1,281.6916666447428,0.05,17.391432258064516,325.38329241797624,0.13,281.6916666447428,-43.691625773233454,0,1
6,195.97813733879244,0.05,15.632377419354839,292.47242881169007,0.13,195.97813733879244,-96.49429147289761,0,1,130.44738280887475,0.05,15.632377419354839,292.47242881169007,0.13,130.44738280887475,-162.02504600281532,0,1,253.19998856539098,0.05,15.632377419354839,292.47242881169007,0.13,253.19998856539098,-39.272440246299084,0,1
7,223.86610673575677,0.05,35.71377419354839,668.1833479459609,0.13,447.73221347151355,-444.31724121020414,0,1,149.01023205873284,0.05,35.71377419354839,668.1833479459609,0.13,298.0204641174657,-519.173115887228,0,1,289.2307092789796,0.05,35.71377419354839,668.1833479459609,0.13,578.4614185579592,-378.95263866698133,0,1
8,559.654125369189,0.05,89.28265806451613,1670.4251154121862,0.13,1119.308250738378,-1110.770990042997,15844.13384,1,372.5181641378408,0.05,89.28265806451613,1670.4251154121862,0.13,745.0363282756816,-1297.9069512743454,15844.13384,1,723.0623786319823,0.05,89.28265806451613,1670.4251154121862,0.13,1446.1247572639645,-947.3627367802039,15844.13384,1
9,652.346466856895,0.12,63.17382903225806,1181.9445448855804,0.13,1304.69293371379,-529.5980780286854,34305.6488,1,566.460712489438,0.12,63.17382903225806,1181.9445448855804,0.13,1132.921424978876,-615.4838323961424,34305.6488,1,739.868725264861,0.12,63.17382903225806,1181.9445448855804,0.13,1479.737450529722,-442.07581962071936,34305.6488,1
10,815.7117997409377,0.12,78.99427741935484,1477.9356689826304,0.13,1631.4235994818755,-662.2238692416927,119482.4552,1,708.3179119427303,0.12,78.99427741935484,1477.9356689826304,0.13,1416.6358238854607,-769.6177570399001,119482.4552,1,925.1520167889973,0.12,78.99427741935484,1477.9356689826304,0.13,1850.3040335779947,-552.7836521936331,119482.4552,1
11,823.89305909386,0.12,79.78655806451613,1492.7587658395369,0.13,1647.78611818772,-668.8657067456769,193048.615,1,715.4220540475328,0.12,79.78655806451613,1492.7587658395369,0.13,1430.8441080950656,-777.336711792004,193048.615,1,934.430917244567,0.12,79.78655806451613,1492.7587658395369,0.13,1868.861834489134,-558.3278485949699,193048.615,1
12,883.2294851259862,0.12,40.80131935483871,763.3682740832644,0.08,883.2294851259862,119.86121104272182,200250.4949,1,873.4968704243435,0.12,40.80131935483871,763.3682740832644,0.08,873.4968704243435,110.12859634107906,200250.4949,1,890.0161598755052,0.12,40.80131935483871,763.3682740832644,0.08,890.0161598755052,126.6478857922408,200250.4949,1
13,1359.6379444238323,0.29,54.50487741935484,1019.7536467604081,0.08,1359.6379444238323,339.8842976634243,207610.6119,1,1299.4017442290804,0.29,54.50487741935484,1019.7536467604081,0.08,1299.4017442290804,279.6480974686723,207610.6119,1,1403.2710375745871,0.29,54.50487741935484,1019.7536467604081,0.08,1403.2710375745871,383.51739081417907,207610.6119,1
14,1509.7815700696617,0.29,60.523803225806454,1132.364147532396,0.08,1509.7815700696617,377.41742253726574,213641.9251,1,1442.8935391213918,0.29,60.523803225806454,1132.364147532396,0.08,1442.8935391213918,310.52939158899585,213641.9251,1,1558.2330274258761,0.29,60.523803225806454,1132.364147532396,0.08,1558.2330274258761,425.8688798934802,213641.9251,1
