Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,1,18.110632258064516,338.839094127378,226.0039829065684,0,-112.83511122080961,16.9419547063689,29.380517777853893,-24.657133469185485,0,0,80.7018105632115,0.3014268532274918,-26.8741061124355,-0.10037664808558636,53.827704450776,0.20105020514190544
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,1,15.897174193548388,297.42661803143096,198.3820682517362,0,-99.04454977969476,14.871330901571548,25.789668872725706,-21.617816033513392,0,0,70.61906908590815,0.2638971205275117,-23.516502826037538,-0.0878790595939302,47.10256625987061,0.17601806093358147
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,1,13.158977419354839,246.19659462365593,164.21189858943225,0,-81.98469603422369,12.309829731182797,21.347546816626192,-17.779012043288,0,0,58.79202598306734,0.22014677914312153,-19.57803838361792,-0.07330997733153852,39.213987599449425,0.146836801811583
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,1,12.049903225806451,225.4464800110284,150.37167581260394,0,-75.07480419842446,11.272324000551421,19.548317855638512,-15.086693538824814,0,0,55.22626499147364,0.20653445114234326,-18.390622158493528,-0.06877700409863123,36.83564283298011,0.137757447043712
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,1,17.391432258064516,325.38329241797624,217.02903039302342,0,-108.3542620249528,16.269164620898813,28.213773951093046,-21.704876726809015,0,0,79.77118434908051,0.297988622262722,-26.564202933621676,-0.09923169999654798,53.20698141545884,0.19875692226617403
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,1,15.632377419354839,292.47242881169007,195.07764879382881,0,-97.39478001786127,14.623621440584504,25.360094343197748,-18.384292730274403,0,0,72.72126891261367,0.27158901997724894,-24.216545871145883,-0.09044050054024591,48.504723041467784,0.18114851943700302
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,1,35.71377419354839,668.1833479459609,222.8374773822046,0,-445.3458705637563,33.40916739729805,28.9688720596866,-87.37210974555354,0,0,166.0766230084443,0.6206902119406579,-110.69048410342306,-0.41369157677582563,55.38613890502124,0.20699863516483225
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1,89.28265806451613,1670.4251154121862,557.0826031786021,15844.13384,-1113.342512233584,83.52125577060932,72.42073841321827,-306.2365959599538,-306.2365959599538,0,374.7449594168685,1.3909696753041891,-249.76845158431286,-0.9270847633069544,124.97650783255563,0.4638849119972347
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1,63.17382903225806,1181.9445448855804,652.7217823945558,34305.6488,-529.2227624910246,141.83334538626966,84.85383171129226,-197.07070110333223,-197.07070110333223,0,227.73954990043063,0.8361501210556754,-101.97175006923527,-0.37439123420560044,125.76779983119536,0.461758886850075
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1,78.99427741935484,1477.9356689826304,816.1811045172343,119482.4552,-661.7545644653961,177.35228027791564,106.10354358724047,-273.5346325553705,-273.5346325553705,0,266.224232113657,0.9702795460437867,-119.20349746601732,-0.4344484891171772,147.0207346476397,0.5358310569266096
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,1,79.78655806451613,1492.7587658395369,824.3670708072041,193048.615,-668.3916950323328,179.1310519007444,107.16771920493653,-293.54121675817055,-293.54121675817055,0,255.72541475881823,0.919676733563612,-114.5025889949229,-0.41179077617586,141.22282576389534,0.507885957387752
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,40.80131935483871,763.3682740832644,882.7256467977257,200250.4949,119.35737271446139,91.60419288999172,70.61805174381806,89.51802953584604,89.51802953584604,0,129.29502050084022,0.4632347697619474,12.869959005347381,0.04319805904756329,142.1649795061876,0.5064328288095107
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,54.50487741935484,1019.7536467604081,1357.3448300245893,207610.6119,337.5911832641812,295.7285575605183,108.58758640196714,253.19338744813592,253.19338744813592,0,174.1999337229456,0.6214735637134292,36.401477264171646,0.12218167622933898,210.60141098711722,0.7436552399427682
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,60.523803225806454,1132.364147532396,1507.2352290586318,213641.9251,374.87108152623597,328.3856027843948,120.57881832469054,281.153311144677,281.153311144677,0,200.4949465359772,0.7180615474181281,40.421260470224354,0.13567409156813837,240.91620700620155,0.8537356389862665
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,1,30.522687096774195,571.0612141439207,760.112002647177,217693.7204,189.05078850325623,165.607752101737,60.808960211774156,141.78809137744219,141.78809137744219,0,104.14885535040793,0.3708088913637144,20.384797709867094,0.0684216394766755,124.53365306027501,0.43923053084038993
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,1,38.78274516129032,725.6019586159359,1012.8002366254005,196257.2769,287.1982780094646,210.4245679986214,131.6640307613021,114.61088564121847,114.61088564121847,0,135.87283566047734,0.48411364516700767,53.779408898490594,0.19161553190685668,189.65224455896794,0.6757291770738644
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,1,52.710300000000004,986.178176923077,925.6665623237973,191468.9715,-60.511614599279746,285.9916713076923,388.77995617599487,-23.15997501959514,-23.15997501959514,0,190.87926536474114,0.6796020085284693,-26.716229720620905,-0.06135175785637615,164.16303564412024,0.6182502506720932
18,0.206690761,0.441505815,7.39891e-4,0.001013884,0.338690398,1,29.536493548387096,552.6101228839261,518.702121711212,183253.2804,-33.908001172714116,160.25693563633857,217.85489111870905,-11.484314412571011,-11.484314412571011,0,114.21940683518221,0.408871256430711,-14.970579692780102,-0.03437877986099608,99.2488271424021,0.3744924765697149
19,0.233105318,0.441505815,8.40696e-4,0.001013884,0.248604538,1,38.48672903225806,720.0636739454094,30.418587085076222,96967.2459,-741.0136011471654,86.40764087344913,12.775806575732013,-184.21934396490735,-184.21934396490735,0,167.850671695293,0.60535465043121,-327.16181390056425,-0.7513018339854928,-159.31114220527127,-0.14594718355428282
20,0.256652121,0.441505815,9.29912e-4,0.001013884,0.181879789,1,45.66398387096774,854.3458178935759,36.09124248689241,19349.10479,-879.202623392352,102.52149814722911,15.158321844494813,-159.90918763084744,-159.90918763084744,0,219.26966622986603,0.794466428209051,-388.1730707909785,-0.8914094726155315,-168.90340456111247,-0.0969430444064805
