Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,18.00128800132957,0.05,18.110632258064516,18.110632258064516,0.05,18.00128800132957,-0.10934425673494602,0,0,17.618626736258285,0.05,18.110632258064516,18.110632258064516,0.05,17.618626736258285,-0.4920055218062309,0,0,18.925090663266097,0.05,18.110632258064516,18.110632258064516,0.05,18.925090663266097,0.8144584052015809,0,0
2,15.801193850531623,0.05,15.897174193548388,15.897174193548388,0.05,15.801193850531623,-0.09598034301676461,0,0,15.465300950643881,0.05,15.897174193548388,15.897174193548388,0.05,15.465300950643881,-0.4318732429045067,0,0,16.612090545246915,0.05,15.897174193548388,15.897174193548388,0.05,16.612090545246915,0.7149163516985269,0,0
3,13.079529138101677,0.05,13.158977419354839,13.158977419354839,0.05,13.079529138101677,-0.0794482812531618,0,0,12.801491857316378,0.05,13.158977419354839,13.158977419354839,0.05,12.801491857316378,-0.3574855620384607,0,0,13.750753543475463,0.05,13.158977419354839,13.158977419354839,0.05,13.750753543475463,0.5917761241206243,0,0
4,11.977151060493883,0.05,12.049903225806451,12.049903225806451,0.05,11.977151060493883,-0.07275216531256799,0,0,11.722547513435476,0.05,12.049903225806451,12.049903225806451,0.05,11.722547513435476,-0.3273557123709754,0,0,12.59180285825874,0.05,12.049903225806451,12.049903225806451,0.05,12.59180285825874,0.5418996324522887,0,0
5,17.28643022352939,0.05,17.391432258064516,17.391432258064516,0.05,17.28643022352939,-0.10500203453512447,0,0,16.918965003406605,0.05,17.391432258064516,17.391432258064516,0.05,16.918965003406605,-0.47246725465791073,0,0,18.17354731507845,0.05,17.391432258064516,17.391432258064516,0.05,18.17354731507845,0.7821150570139359,0,0
6,15.537995806081321,0.05,15.632377419354839,15.632377419354837,0.05,15.537995806081321,-0.09438161327351607,0,0,15.20769782232659,0.05,15.632377419354839,15.632377419354837,0.05,15.20769782232659,-0.42467959702824665,0,0,16.335385519848266,0.05,15.632377419354839,15.632377419354837,0.05,16.335385519848266,0.7030081004934292,0,0
7,17.74907484486746,0.05,35.71377419354839,35.71377419354839,0.05,35.49814968973492,-17.964699348680927,0,0,17.371774985352953,0.05,35.71377419354839,35.71377419354839,0.05,34.74354997070591,-18.341999208195436,0,0,18.659934256004497,0.05,35.71377419354839,35.71377419354839,0.05,37.319868512008995,-17.05383993754389,0,0
8,44.37180376814042,0.05,89.28265806451613,89.28265806451613,0.05,88.74360753628083,-44.91085429637571,2843,0,43.42857289698512,0.05,89.28265806451613,89.28265806451613,0.05,86.85714579397025,-45.854085167531004,2843,0,46.64890696391762,0.05,89.28265806451613,89.28265806451613,0.05,93.29781392783524,-42.63375110059851,2843,0
9,31.396206227147104,0.12,63.17382903225806,63.17382903225806,0.12,62.79241245429421,-31.77762280511096,10667,0,30.728803317286893,0.12,63.17382903225806,63.17382903225806,0.12,61.457606634573786,-32.445025714971166,10667,0,33.00741865179163,0.12,63.17382903225806,63.17382903225806,0.12,66.01483730358326,-30.16641038046643,10667,0
10,39.25867186799973,0.12,78.99427741935484,78.99427741935484,0.12,78.51734373599946,-39.735605551355114,24759,0,38.42413308161302,0.12,78.99427741935484,78.99427741935484,0.12,76.84826616322604,-40.57014433774182,24759,0,41.273375792134054,0.12,78.99427741935484,78.99427741935484,0.12,82.54675158426811,-37.72090162722079,24759,0
