Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,989.8751928353404,0.06,15.16164,799.7308424096385,0.06,989.8751928353404,190.14435042570187,0,0,604.1862273058755,0.06,15.16164,799.7308424096385,0.06,604.1862273058755,-195.54461510376302,0,0,1475.3416452850283,0.06,15.16164,799.7308424096385,0.06,1475.3416452850283,675.6108028753898,0,0
2,800.5669166522342,0.06,12.317853333333334,649.7296613654619,0.06,800.5669166522342,150.8372552867724,0,0,490.86229022544865,0.06,12.317853333333334,649.7296613654619,0.06,490.86229022544865,-158.86737114001323,0,0,1182.4995655879611,0.06,12.317853333333334,649.7296613654619,0.06,1182.4995655879611,532.7699042224992,0,0
3,606.6639165228713,0.06,9.3626033333333325,493.8491252208835,0.06,606.6639165228713,112.81479130198782,0,0,373.09657700143794,0.06,9.3626033333333325,493.8491252208835,0.06,373.09657700143794,-120.75254821944554,0,0,890.7344336993713,0.06,9.3626033333333325,493.8491252208835,0.06,890.7344336993713,396.8853084784878,0,0
4,461.5079494758527,0.06,7.138963333333334,376.5588129317269,0.06,461.5079494758527,84.94913654412579,0,0,284.48527489385344,0.06,7.138963333333334,376.5588129317269,0.06,284.48527489385344,-92.07353803787345,0,0,674.4932794707671,0.06,7.138963333333334,376.5588129317269,0.06,674.4932794707671,297.9344665390402,0,0
5,400.5216388566637,0.06,6.208936666666666,327.5027075502008,0.06,400.5216388566637,73.01893130646292,0,0,247.42402670255012,0.06,6.208936666666666,327.5027075502008,0.06,247.42402670255012,-80.07868084765067,0,0,582.848284659834,0.06,6.208936666666666,327.5027075502008,0.06,582.848284659834,255.3455771096332,0,0
6,382.26390764318415,0.06,5.940963333333333,313.3679213654618,0.06,382.26390764318415,68.89598627772236,0,0,236.7453799806093,0.06,5.940963333333333,313.3679213654618,0.06,236.7453799806093,-76.62254138485252,0,0,553.4229419995644,0.06,5.940963333333333,313.3679213654618,0.06,553.4229419995644,240.05502063410256,0,0
7,793.246490259802,0.06,12.376570000000001,652.8267886746988,0.06,793.246490259802,140.41970158510316,0,0,493.2021295379049,0.06,12.376570000000001,652.8267886746988,0.06,493.2021295379049,-159.62465913679392,0,0,1139.141044952039,0.06,12.376570000000001,652.8267886746988,0.06,1139.141044952039,486.3142562773402,0,0
8,1243.4304028297352,0.06,19.55907,1031.6820296385542,0.06,1243.4304028297352,211.74837319118095,11,0,779.4223258771169,0.06,19.55907,1031.6820296385542,0.06,779.4223258771169,-252.25970376143732,11,0,1754.7844602830248,0.06,19.55907,1031.6820296385542,0.06,1754.7844602830248,723.1024306444706,11,0
9,512.6844825443291,0.09,12.138426666666668,640.2654451405623,0.09,313.3577351139202,-326.90771002664206,11488,0,0,0.09,12.138426666666668,640.2654451405623,0.09,-887.4776623041931,-1527.7431074447554,11488,0,793.9994572959216,0.09,12.138426666666668,640.2654451405623,0.09,793.9994572959216,153.73401215535932,11488,0
10,724.6549023420881,0.09,17.157083333333333,904.9844678714859,0.09,452.00126392096297,-452.9832039505229,32469,0,0,0.09,17.157083333333333,904.9844678714859,0.09,-1230.735099476776,-2135.719567348262,32469,0,1122.280113357434,0.09,17.157083333333333,904.9844678714859,0.09,1122.280113357434,217.29564548594806,32469,0
