Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0,18.810022727272727,18.810022727272727,22.675907763325146,0,3.8658850360524175,1.1286013636363637,1.3605544657995088,0,0,4.480011064648318,0.016733151687886364,0.9207435837417678,0.003439041071566762,5.400754648390086,0.020172192759453127
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0,15.033554545454546,15.033554545454546,18.051511415008388,0,3.0179568695538412,0.9020132727272727,1.0830906849005033,0,0,3.569470796120982,0.013338791874436364,0.7165643279674165,0.0026777365557352976,4.286035124088398,0.01601652843017166
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0,11.226845454545455,11.226845454545455,13.444640369340723,0,2.2177949147952685,0.6736107272727272,0.8066784221604434,0,0,2.6809834257882,0.010038944163845456,0.5296119406325435,0.001983132252655696,3.2105953664207436,0.012022076416501153
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0,8.192490909090909,8.192490909090909,9.790552843259471,0,1.5980619341685618,0.4915494545454545,0.5874331705955682,0,0,2.006865105472309,0.007505247424199999,0.3914675972978715,0.0014640053126969636,2.3983327027701806,0.008969252736896962
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0,6.39425,6.39425,7.626835733752502,0,1.232585733752502,0.383655,0.4576101440251501,0,0,1.56761858217625,0.005855905304,0.3021815381562763,0.0011288118756564113,1.8698001203325263,0.006984717179656412
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0,6.65565,6.65565,7.920811498577833,0,1.2651614985778337,0.39933899999999994,0.47524868991466995,0,0,1.654881847854,0.00618041662305,0.31457375291672807,0.0011748251720948807,1.969455600770728,0.007355241795144881
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0,14.504945454545455,14.504945454545455,17.203578112711927,0,2.6986326581664724,0.8702967272727272,1.0322146867627155,0,0,3.605196635650691,0.013473962941527274,0.6707437411996617,0.002506819246089316,4.275940376850353,0.015980782187616588
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0,21.916486363636363,21.916486363636366,25.814083583368415,11,3.8975972197320474,1.314989181818182,1.548845015002105,3.8975972197320474,0,4.916768023375078,0.018249945860945457,0.8743911346013099,0.0032455447952597547,5.791159157976388,0.02149549065620521
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0,11.592540909090909,11.592540909090909,9.752068353739583,11488,-4.863139801977207,1.0433286818181817,0.8776861518365624,-4.863139801977207,0,2.2336750571443,0.008200980770563636,-0.9370399604597135,-0.003440360168951547,1.2966350966845863,0.004760620601612088
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0,14.962440909090908,14.962440909090908,12.58695118080775,32469,-6.160651025257607,1.3466196818181817,1.1328256062726976,-6.160651025257607,0,2.695221737432409,0.009822992081227272,-1.1097334092007056,-0.004044529004591872,1.5854883282317034,0.0057784630766354005
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0,19.358895454545454,19.358895454545454,16.28540914421761,43260,-7.8140804610056795,1.7423005909090907,1.4656868229795847,-7.8140804610056795,0,3.3163841892444093,0.011926860618381819,-1.3386348903639642,-0.004814192459381911,1.977749298880445,0.007112668158999908
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0,13.231086363636363,13.231086363636363,11.130472570618872,52447,-5.20750665053077,1.1907977727272727,1.0017425313556985,-5.20750665053077,0,2.2410069172564997,0.008029020138045455,-0.5615103247349265,-0.0018847112219733972,1.6794965925215732,0.006144308916072058
