Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,1,18.810022727272727,18.810022727272727,17.20410515895778,0,-1.6059175683149485,1.1286013636363637,2.2365336706645116,-0.3509308706663352,0,0,4.480011064648318,0.016733151687886364,-0.38248377363907776,-0.00142860339184459,4.09752729100924,0.015304548296041774
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,1,15.033554545454546,15.033554545454546,13.750055332890494,0,-1.2834992125640527,0.9020132727272727,1.7875071932757642,-0.2801411073914269,0,0,3.569470796120982,0.013338791874436364,-0.30474582323425775,-0.0011388077793332819,3.2647249728867243,0.012199984095103082
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,1,11.226845454545455,11.226845454545455,10.268346434442172,0,-0.9584990201032817,0.6736107272727272,1.3348850364774825,-0.2078578862423583,0,0,2.6809834257882,0.010038944163845456,-0.22889065293855246,-8.570811972851735e-4,2.4520927728496478,0.009181862966560282
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,1,8.192490909090909,8.192490909090909,7.493051824411124,0,-0.6994390846797852,0.4915494545454545,0.9740967371734461,-0.14055611909090412,0,0,2.006865105472309,0.007505247424199999,-0.17133737565576546,-6.40765238183252e-4,1.8355277298165436,0.006864482186016747
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,1,6.39425,6.39425,5.8483368684698975,0,-0.5459131315301025,0.383655,0.7602837929010867,-0.10935404848845225,0,0,1.56761858217625,0.005855905304,-0.13383642635815238,-0.00049995161316032015,1.4337821558180976,0.00535595369083968
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,1,6.65565,6.65565,6.087419678403514,0,-0.5682303215964856,0.39933899999999994,0.7913645581924569,-0.1072594708723811,0,0,1.654881847854,0.00618041662305,-0.1412865827695664,-5.276569719435317e-4,1.5135952650844335,0.0056527596511064685
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,1,14.504945454545455,14.504945454545455,13.2665765769188,0,-1.2383688776266553,0.8702967272727272,1.724654954999444,-0.24295476534790098,0,0,3.605196635650691,0.013473962941527274,-0.3077959393439199,-0.001150348094542708,3.297400696306771,0.012323614846984566
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1,21.916486363636363,21.916486363636366,20.045352500726796,11,-1.8711338629095704,1.314989181818182,2.6058958250944837,-0.514675096357594,-0.514675096357594,0,4.916768023375078,0.018249945860945457,-0.4197721747895002,-0.0015581006521802508,4.496995848585578,0.016691845208765207
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1,11.592540909090909,11.592540909090909,15.172974306381759,11488,3.5804333972908506,1.0433286818181817,1.0621082014467231,1.3332731882821467,1.3332731882821467,0,2.2336750571443,0.008200980770563636,0.689885404417535,0.00253292748084585,2.9235604615618347,0.010733908251409486
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1,14.962440909090908,14.962440909090908,19.583690344914647,32469,4.621249435823738,1.3466196818181817,1.3708583241440253,1.91018216458537,1.91018216458537,0,2.695221737432409,0.009822992081227272,0.8324371677860251,0.0030338964671126423,3.527658905218434,0.012856888548339915
11,0.17131061,0.17131061,6.16092e-4,6.16092e-4,0.43917544,1,19.358895454545454,19.358895454545454,25.338019131026158,43260,5.979123676480703,1.7423005909090907,1.7736613391718312,2.62588427143283,2.62588427143283,0,3.3163841892444093,0.011926860618381819,1.024287324283352,0.0036836902640903497,4.340671513527761,0.015610550882472169
12,0.16937437,0.107827097,6.0683e-4,3.61922e-4,0.75,1,13.231086363636363,13.231086363636363,17.31759542755117,52447,4.086509063914807,1.1907977727272727,1.212231679928582,3.0648817979361054,3.0648817979361054,0,2.2410069172564997,0.008029020138045455,0.4406364092261211,0.0014789975334301747,2.6816433264826207,0.009508017671475629
13,0.170825507,0.107827097,6.09435e-4,3.61922e-4,0.75,1,19.955722727272725,19.955722727272725,27.02871394266203,67105,7.072991215389303,2.1951294999999997,1.8920099759863422,5.304743411541978,5.304743411541978,0,3.4089464524377857,0.012161715880295453,0.7626601098619302,0.002559871126656127,4.171606562299716,0.01472158700695158
14,0.17705872,0.107827097,6.34126e-4,3.61922e-4,0.75,1,28.679100000000002,28.679100000000002,38.8439547204982,67271,10.1648547204982,3.154701,2.7190768304348745,7.62364104037365,7.62364104037365,0,5.077884736752001,0.018186162966600004,1.0960467759380672,0.0036788845501521494,6.173931512690068,0.021865047516752154
15,0.182377743,0.107827097,6.49333e-4,3.61922e-4,0.75,1,19.010431818181818,19.010431818181818,25.748379578249413,45859,6.737947760067595,2.0911475,1.802386570477459,5.053460820050696,5.053460820050696,0,3.4670796484553863,0.012344100723795454,0.7265333467057412,0.002438611529219184,4.193612995161128,0.014782712253014639
16,0.187255332,0.187255332,6.67189e-4,6.67189e-4,0.399065365,1,33.99541363636364,33.99541363636364,46.04455188606045,45860,12.049138249696808,3.7394955,3.2231186320242315,4.808393753550718,4.808393753550718,0,6.3658224669546,0.022681366028631817,2.2562653832608746,0.008039052499676964,8.622087850215475,0.03072041852830878
17,0.193554542,0.441505815,6.89127e-4,0.001013884,0.382736028,1,46.85318636363636,46.85318636363636,2.2685460961156982,12377,-44.58464026752066,5.1538505,0.8847329774851224,-17.064148125799715,-17.064148125799715,0,9.068647027854281,0.03228779575921364,-9.068647027854281,-0.03228779575921364,0,0
