Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,2.924163333601934,0.05,2.9327681818181817,2.9327681818181817,0.05,2.924163333601934,-0.008604848216247608,0,0,2.878947312158141,0.05,2.9327681818181817,2.9327681818181817,0.05,2.878947312158141,-0.05382086966004085,0,0,3.0132367750803977,0.05,2.9327681818181817,2.9327681818181817,0.05,3.0132367750803977,0.080468593262216,0,0
2,1.9338366293629057,0.05,1.9395272727272728,1.9395272727272728,0.05,1.9338366293629057,-0.005690643364367194,0,0,1.9039339226647956,0.05,1.9395272727272728,1.9395272727272728,0.05,1.9039339226647956,-0.035593350062477214,0,0,1.992743559032353,0.05,1.9395272727272728,1.9395272727272728,0.05,1.992743559032353,0.05321628630508024,0,0
3,1.709990788387449,0.05,1.7150227272727272,1.715022727272727,0.05,1.709990788387449,-0.005031938885277953,0,0,1.6835493857243577,0.05,1.7150227272727272,1.715022727272727,0.05,1.6835493857243577,-0.03147334154836923,0,0,1.7620791114533574,0.05,1.7150227272727272,1.715022727272727,0.05,1.7620791114533574,0.047056384180630406,0,0
4,1.4346102334411903,0.05,1.4388318181818183,1.438831818181818,0.05,1.4346102334411903,-0.004221584740627719,0,0,1.412427010522907,0.05,1.4388318181818183,1.438831818181818,0.05,1.412427010522907,-0.026404807658910956,0,0,1.4783101421311144,0.05,1.4388318181818183,1.438831818181818,0.05,1.4783101421311144,0.0394783239492964,0,0
5,1.7988112372837461,0.05,1.8041045454545455,1.8041045454545455,0.05,1.7988112372837461,-0.005293308170799424,0,0,1.7709964136233416,0.05,1.8041045454545455,1.8041045454545455,0.05,1.7709964136233416,-0.03310813183120387,0,0,1.8536051352968341,0.05,1.8041045454545455,1.8041045454545455,0.05,1.8536051352968341,0.04950058984228867,0,0
6,4.398547434759927,0.05,4.411490909090909,4.411490909090909,0.05,4.398547434759927,-0.012943474330981686,0,0,4.330533171382011,0.05,4.411490909090909,4.411490909090909,0.05,4.330533171382011,-0.08095773770889814,0,0,4.5325323435432985,0.05,4.411490909090909,4.411490909090909,0.05,4.5325323435432985,0.12104143445238957,0,0
7,6.331373401805052,0.05,12.700009090909091,12.70000909090909,0.05,12.662746803610103,-6.368635689104038,0,0,6.233472059491164,0.05,12.700009090909091,12.70000909090909,0.05,12.466944118982328,-6.466537031417926,0,0,6.524234454299444,0.05,12.700009090909091,12.70000909090909,0.05,13.048468908598888,-6.1757746366096455,0,0
8,9.334406919197056,0.05,18.72375,18.72375,0.05,18.66881383839411,-9.389343080802943,2843,0,9.190069994315499,0.05,18.72375,18.72375,0.05,18.380139988630997,-9.5336800056845,2843,0,9.618743891382909,0.05,18.72375,18.72375,0.05,19.237487782765818,-9.10500610861709,2843,0
9,5.184684093863035,0.12,10.399881818181818,10.399881818181816,0.12,10.36936818772607,-5.215197724318781,10667,0,5.104513884328728,0.12,10.399881818181818,10.399881818181816,0.12,10.209027768657457,-5.295367933853088,10667,0,5.342615646424489,0.12,10.399881818181818,10.399881818181816,0.12,10.685231292848979,-5.057266171757327,10667,0
10,5.930165388295045,0.12,11.895231818181818,11.895231818181818,0.12,11.86033077659009,-5.9650664298867735,24759,0,5.838467882112276,0.12,11.895231818181818,11.895231818181818,0.12,11.676935764224552,-6.056763936069542,24759,0,6.110805174589491,0.12,11.895231818181818,11.895231818181818,0.12,12.221610349178983,-5.784426643592327,24759,0
