Hr,CO2Baseline,CO2Marginal,NOXBaseline,NOXMarginal,PercSolar,I01,Xi,X0,Xf,curt,Xdelta,Pbase,Pnew,Xcurtpot,Xcurt,Xextra,CO2X0,NOXX0,CO2Xdelta,NOXXdelta,CO2Xf,NOXXf
1,0.238171486,0.238171486,8.89587e-4,8.89587e-4,0.218523589,1,2.9327681818181817,2.9327681818181817,2.9580478248022035,0,0.02527964298402207,0.14663840909090908,0.38454621722428645,0.005524198313507173,0,0,0.6985017559571545,0.002608952448559091,0.006020890135054011,2.248844176322724e-5,0.7045226460922085,0.002631440890322318
2,0.237433588,0.237433588,8.87268e-4,8.87268e-4,0.21826356,1,1.9395272727272728,1.9395272727272728,1.857242591554442,0,-0.08228468117283076,0.09697636363636364,0.24144153690207745,-0.017959747446247017,0,0,0.46050891938749094,0.0017208804842181818,-0.019537147088301256,-7.30085644948552e-5,0.4409717722991897,0.0016478719197233265
3,0.238801134,0.238801134,8.94191e-4,8.94191e-4,0.216857693,1,1.7150227272727272,1.715022727272727,1.5925039576568532,0,-0.12251876961587392,0.08575113636363635,0.20702551449539092,-0.026569137728096912,0,0,0.40954937210849995,0.001533557887522727,-0.029257621120555438,-1.0955518112158792e-4,0.38029175098794454,0.0014240027064011391
4,0.244963971,0.244963971,9.16113e-4,9.16113e-4,0.200955483,1,1.4388318181818183,1.438831818181818,1.3142679310742953,0,-0.12456388710752274,0.0719415909090909,0.1708548310396584,-0.025031796098049702,0,0,0.35246195578296813,0.0013181325334499997,-0.030513664429054475,-1.1411459630973397e-4,0.3219482913539137,0.0012040179371402657
5,0.245160665,0.245160665,9.15808e-4,9.15808e-4,0.20031401,1,1.8041045454545455,1.8041045454545455,1.6403469604133365,0,-0.163757585041209,0.09020522727272728,0.21324510485373374,-0.032802938527520586,0,0,0.4422954700931591,0.0016522133755636364,-0.04014691844749685,-1.4997050644141954e-4,0.40214855164566227,0.0015022428691222169
6,0.24864316,0.24864316,9.28597e-4,9.28597e-4,0.188760555,1,4.411490909090909,4.411490909090909,4.044476735385786,0,-0.36701417370512335,0.22057454545454547,0.5257819756001522,-0.0692777991214455,0,0,1.0968870399476363,0.0040964972237090905,-0.09125556391483078,-3.408082606600564e-4,1.0056314760328056,0.003755688963049034
7,0.248549479,0.248549479,9.28922e-4,9.28922e-4,0.196189334,1,12.700009090909091,12.70000909090909,11.974162094013266,0,-0.7258469968958231,0.6350004545454545,1.5566410722217248,-0.1424034389068916,0,0,3.156580642840718,0.011797317844745454,-0.18040889291217144,-6.742552440504618e-4,2.9761717499285467,0.011123062600694992
8,0.224341071,0.224341071,8.32704e-4,8.32704e-4,0.275060543,1,18.72375,18.72375,18.952292868750565,2843,0.22854286875056615,0.9361875,2.4637980729375735,0.06286312557730846,0.06286312557730846,0,4.20050612813625,0.01559134152,0.051271551944914444,1.9030856098007143e-4,4.251777680081164,0.01578165008098007
9,0.192682094,0.192682094,7.07436e-4,7.07436e-4,0.372377598,1,10.399881818181818,10.399881818181816,18.434032219451595,10667,8.03415040126978,1.247985818181818,2.3964241885287074,2.991737628395577,2.991737628395577,0,2.0038710060797995,0.007357250793927271,1.5480369228276016,0.0056836472232726885,3.551907928907401,0.013040898017199959
10,0.18013249,0.18013249,6.5651e-4,6.5651e-4,0.413347557,1,11.895231818181818,11.895231818181818,24.792296562749893,24759,12.897064744568077,1.427427818181818,3.222998553157486,5.330970204638043,5.330970204638043,0,2.1427177265363184,0.007809338640954545,2.323180386130262,0.008467051975456389,4.46589811266658,0.016276390616410934
