Hr,Xf_mean,P0_mean,Xi_mean,X0_mean,P1_mean,X1_mean,Xint_effect_mean,Curt_mean,I01_mean,Xf_min,P0_min,Xi_min,X0_min,P1_min,X1_min,Xint_effect_min,Curt_min,I01_min,Xf_max,P0_max,Xi_max,X0_max,P1_max,X1_max,Xint_effect_max,Curt_max,I01_max
1,516.1652211916031,0.06,10.54640909090909,556.247748051948,0.13,515.8045125927947,-40.082526860344835,0,1,0,0.06,10.54640909090909,556.247748051948,0.13,-47.25657299280516,-556.247748051948,0,1,835.6144558964841,0.06,10.54640909090909,556.247748051948,0.13,835.6144558964841,279.3667078445361,0,1
2,401.0151786777851,0.06,8.193636363636363,432.15579220779216,0.13,400.7349396820856,-31.14061353000704,0,1,0,0.06,8.193636363636363,432.15579220779216,0.13,-36.71421917707045,-432.15579220779216,0,1,649.199261359533,0.06,8.193636363636363,432.15579220779216,0.13,649.199261359533,217.04346915174085,0,1
3,195.94928410694547,0.06,4.003681818181818,211.16561818181813,0.13,195.8123500617873,-15.216334074872675,0,1,0,0.06,4.003681818181818,211.16561818181813,0.13,-17.939782199797747,-211.16561818181813,0,1,317.22023821041284,0.06,4.003681818181818,211.16561818181813,0.13,317.22023821041284,106.05462002859471,0,1
4,113.64840462628055,0.06,2.322090909090909,122.47370909090908,0.13,113.56898440363379,-8.825304464628534,0,1,0,0.06,2.322090909090909,122.47370909090908,0.13,-10.404874075667493,-122.47370909090908,0,1,183.984208730795,0.06,2.322090909090909,122.47370909090908,0.13,183.984208730795,61.51049963988591,0,1
5,128.74932015310185,0.06,2.6306363636363637,138.74727792207793,0.13,128.6593470496007,-9.997957768976075,0,1,0,0.06,2.6306363636363637,138.74727792207793,0.13,-11.78741107652155,-138.74727792207793,0,1,208.4309222895907,0.06,2.6306363636363637,138.74727792207793,0.13,208.4309222895907,69.68364436751278,0,1
6,52.75309515137202,0.06,1.0778636363636365,56.8496077922078,0.13,52.716230027079206,-4.096512640835776,0,1,0,0.06,1.0778636363636365,56.8496077922078,0.13,-4.829714186984745,-56.8496077922078,0,1,85.40143173537453,0.06,1.0778636363636365,56.8496077922078,0.13,85.40143173537453,28.55182394316673,0,1
7,61.45147165547796,0.06,1.255590909090909,66.22345194805193,0.13,61.4085278976936,-4.771980292573972,0,1,0,0.06,1.255590909090909,66.22345194805193,0.13,-5.626078310929856,-66.22345194805193,0,1,99.48314210881159,0.06,1.255590909090909,66.22345194805193,0.13,99.48314210881159,33.25969016075966,0,1
8,76.83491757002852,0.06,1.569909090909091,82.8014909090909,0.13,76.78122349239916,-5.966573339062375,13043.25005,1,0,0.06,1.569909090909091,82.8014909090909,0.13,-7.034481870285468,-82.8014909090909,13043.25005,1,124.38724114520997,0.06,1.569909090909091,82.8014909090909,0.13,124.38724114520997,41.58575023611907,13043.25005,1
9,55.72091015780583,0.09,0.7808181818181819,41.18258181818182,0.07,55.72091015780583,14.53832833962401,27328.01218,1,15.134209569940317,0.09,0.7808181818181819,41.18258181818182,0.07,15.134209569940317,-26.048372248241506,27328.01218,1,77.75879509605792,0.09,0.7808181818181819,41.18258181818182,0.07,77.75879509605792,36.5762132778761,27328.01218,1
10,113.1837069586866,0.09,1.5860454545454545,83.65256883116882,0.07,113.1837069586866,29.531138127517778,92025.2229,1,30.7415283807153,0.09,1.5860454545454545,83.65256883116882,0.07,30.7415283807153,-52.91104045045352,92025.2229,1,157.94840128575785,0.09,1.5860454545454545,83.65256883116882,0.07,157.94840128575785,74.29583245458903,92025.2229,1
